compound,amino_acid,acyl_n,category,formula,neutral_mass,adduct,target_mz
N-C7:0-serine,serine,7,short_medium_chain,C10H19N1O4,217.1314080997,[M+H]+,218.1386845516
N-C6:0-threonine,threonine,6,short_medium_chain,C10H19N1O4,217.1314080997,[M+H]+,218.1386845516
N-C6:0-homoserine,homoserine,6,short_medium_chain,C10H19N1O4,217.1314080997,[M+H]+,218.1386845516
N-C4:0-isoleucine,isoleucine,4,short_medium_chain,C10H19N1O3,201.1364934776,[M+NH4]+,219.1703190304
N-C7:0-alanine,alanine,7,short_medium_chain,C10H19N1O3,201.1364934776,[M+NH4]+,219.1703190304
N-C5:0-valine,valine,5,short_medium_chain,C10H19N1O3,201.1364934776,[M+NH4]+,219.1703190304
N-C4:0-leucine,leucine,4,short_medium_chain,C10H19N1O3,201.1364934776,[M+NH4]+,219.1703190304
N-C8:0-glycine,glycine,8,short_medium_chain,C10H19N1O3,201.1364934776,[M+NH4]+,219.1703190304
N-C6:0-cysteine,cysteine,6,short_medium_chain,C9H17N1O3S1,219.0929141038,[M+H]+,220.1001905557
N-C4:0-methionine,methionine,4,short_medium_chain,C9H17N1O3S1,219.0929141038,[M+H]+,220.1001905557
N-C4:0-asparagine,asparagine,4,short_medium_chain,C8H14N2O4,202.0953569454,[M+NH4]+,220.1291824982
N-C4:0-aspartate,aspartate,4,short_medium_chain,C8H13N1O5,203.0793725304,[M+NH4]+,221.11319808320002
N-C5:0-threonine,threonine,5,short_medium_chain,C9H17N1O4,203.1157580359,[M+NH4]+,221.1495835887
N-C6:0-serine,serine,6,short_medium_chain,C9H17N1O4,203.1157580359,[M+NH4]+,221.1495835887
N-C5:0-homoserine,homoserine,5,short_medium_chain,C9H17N1O4,203.1157580359,[M+NH4]+,221.1495835887
N-C5:0-proline,proline,5,short_medium_chain,C10H17N1O3,199.1208434138,[M+Na]+,222.1100641138
N-C5:0-cysteine,cysteine,5,short_medium_chain,C8H15N1O3S1,205.07726404000002,[M+NH4]+,223.11108959280003
N-C4:0-isoleucine,isoleucine,4,short_medium_chain,C10H19N1O3,201.1364934776,[M+Na]+,224.1257141776
N-C8:0-glycine,glycine,8,short_medium_chain,C10H19N1O3,201.1364934776,[M+Na]+,224.1257141776
N-C4:0-leucine,leucine,4,short_medium_chain,C10H19N1O3,201.1364934776,[M+Na]+,224.1257141776
N-C7:0-alanine,alanine,7,short_medium_chain,C10H19N1O3,201.1364934776,[M+Na]+,224.1257141776
N-C5:0-valine,valine,5,short_medium_chain,C10H19N1O3,201.1364934776,[M+Na]+,224.1257141776
N-C4:0-asparagine,asparagine,4,short_medium_chain,C8H14N2O4,202.0953569454,[M+Na]+,225.0845776454
N-C4:0-aspartate,aspartate,4,short_medium_chain,C8H13N1O5,203.0793725304,[M+Na]+,226.0685932304
N-C5:0-threonine,threonine,5,short_medium_chain,C9H17N1O4,203.1157580359,[M+Na]+,226.1049787359
N-C5:0-homoserine,homoserine,5,short_medium_chain,C9H17N1O4,203.1157580359,[M+Na]+,226.1049787359
N-C6:0-serine,serine,6,short_medium_chain,C9H17N1O4,203.1157580359,[M+Na]+,226.1049787359
N-C4:0-histidine,histidine,4,short_medium_chain,C10H15N3O3,225.1113413604,[M+H]+,226.1186178123
N-C5:0-cysteine,cysteine,5,short_medium_chain,C8H15N1O3S1,205.07726404000002,[M+Na]+,228.06648474000002
N-C7:0-proline,proline,7,short_medium_chain,C12H21N1O3,227.1521435414,[M+H]+,228.1594199933
N-C9:0-alanine,alanine,9,short_medium_chain,C12H23N1O3,229.1677936052,[M+H]+,230.1750700571
N-C7:0-valine,valine,7,short_medium_chain,C12H23N1O3,229.1677936052,[M+H]+,230.1750700571
N-C6:0-leucine,leucine,6,short_medium_chain,C12H23N1O3,229.1677936052,[M+H]+,230.1750700571
N-C6:0-isoleucine,isoleucine,6,short_medium_chain,C12H23N1O3,229.1677936052,[M+H]+,230.1750700571
N-C10:0-glycine,glycine,10,short_medium_chain,C12H23N1O3,229.1677936052,[M+H]+,230.1750700571
N-C5:0-glutamine,glutamine,5,short_medium_chain,C10H18N2O4,230.126657073,[M+H]+,231.1339335249
N-C6:0-asparagine,asparagine,6,short_medium_chain,C10H18N2O4,230.126657073,[M+H]+,231.1339335249
N-C6:0-proline,proline,6,short_medium_chain,C11H19N1O3,213.1364934776,[M+NH4]+,231.1703190304
N-C5:0-lysine,lysine,5,short_medium_chain,C11H22N2O3,230.1630425785,[M+H]+,231.1703190304
N-C5:0-glutamate,glutamate,5,short_medium_chain,C10H17N1O5,231.110672658,[M+H]+,232.1179491099
N-C6:0-aspartate,aspartate,6,short_medium_chain,C10H17N1O5,231.110672658,[M+H]+,232.1179491099
N-C8:0-serine,serine,8,short_medium_chain,C11H21N1O4,231.1470581635,[M+H]+,232.1543346154
N-C7:0-homoserine,homoserine,7,short_medium_chain,C11H21N1O4,231.1470581635,[M+H]+,232.1543346154
N-C7:0-threonine,threonine,7,short_medium_chain,C11H21N1O4,231.1470581635,[M+H]+,232.1543346154
N-C6:0-valine,valine,6,short_medium_chain,C11H21N1O3,215.1521435414,[M+NH4]+,233.1859690942
N-C9:0-glycine,glycine,9,short_medium_chain,C11H21N1O3,215.1521435414,[M+NH4]+,233.1859690942
N-C5:0-leucine,leucine,5,short_medium_chain,C11H21N1O3,215.1521435414,[M+NH4]+,233.1859690942
N-C5:0-isoleucine,isoleucine,5,short_medium_chain,C11H21N1O3,215.1521435414,[M+NH4]+,233.1859690942
N-C8:0-alanine,alanine,8,short_medium_chain,C11H21N1O3,215.1521435414,[M+NH4]+,233.1859690942
N-C5:0-methionine,methionine,5,short_medium_chain,C10H19N1O3S1,233.1085641676,[M+H]+,234.1158406195
N-C7:0-cysteine,cysteine,7,short_medium_chain,C10H19N1O3S1,233.1085641676,[M+H]+,234.1158406195
N-C5:0-asparagine,asparagine,5,short_medium_chain,C9H16N2O4,216.1110070092,[M+NH4]+,234.144832562
N-C4:0-glutamine,glutamine,4,short_medium_chain,C9H16N2O4,216.1110070092,[M+NH4]+,234.144832562
N-C4:0-lysine,lysine,4,short_medium_chain,C10H20N2O3,216.14739251470002,[M+NH4]+,234.18121806750003
N-C5:0-aspartate,aspartate,5,short_medium_chain,C9H15N1O5,217.09502259419997,[M+NH4]+,235.12884814699999
N-C4:0-glutamate,glutamate,4,short_medium_chain,C9H15N1O5,217.09502259419997,[M+NH4]+,235.12884814699999
N-C6:0-threonine,threonine,6,short_medium_chain,C10H19N1O4,217.1314080997,[M+NH4]+,235.1652336525
N-C7:0-serine,serine,7,short_medium_chain,C10H19N1O4,217.1314080997,[M+NH4]+,235.1652336525
N-C6:0-homoserine,homoserine,6,short_medium_chain,C10H19N1O4,217.1314080997,[M+NH4]+,235.1652336525
N-C6:0-proline,proline,6,short_medium_chain,C11H19N1O3,213.1364934776,[M+Na]+,236.1257141776
N-C4:0-phenylalanine,phenylalanine,4,short_medium_chain,C13H17N1O3,235.1208434138,[M+H]+,236.1281198657
N-C4:0-methionine,methionine,4,short_medium_chain,C9H17N1O3S1,219.0929141038,[M+NH4]+,237.12673965660002
N-C6:0-cysteine,cysteine,6,short_medium_chain,C9H17N1O3S1,219.0929141038,[M+NH4]+,237.12673965660002
N-C5:0-isoleucine,isoleucine,5,short_medium_chain,C11H21N1O3,215.1521435414,[M+Na]+,238.1413642414
N-C5:0-leucine,leucine,5,short_medium_chain,C11H21N1O3,215.1521435414,[M+Na]+,238.1413642414
N-C9:0-glycine,glycine,9,short_medium_chain,C11H21N1O3,215.1521435414,[M+Na]+,238.1413642414
N-C6:0-valine,valine,6,short_medium_chain,C11H21N1O3,215.1521435414,[M+Na]+,238.1413642414
N-C8:0-alanine,alanine,8,short_medium_chain,C11H21N1O3,215.1521435414,[M+Na]+,238.1413642414
N-C4:0-glutamine,glutamine,4,short_medium_chain,C9H16N2O4,216.1110070092,[M+Na]+,239.1002277092
N-C5:0-asparagine,asparagine,5,short_medium_chain,C9H16N2O4,216.1110070092,[M+Na]+,239.1002277092
N-C4:0-lysine,lysine,4,short_medium_chain,C10H20N2O3,216.14739251470002,[M+Na]+,239.13661321470002
N-C4:0-glutamate,glutamate,4,short_medium_chain,C9H15N1O5,217.09502259419997,[M+Na]+,240.08424329419998
N-C5:0-aspartate,aspartate,5,short_medium_chain,C9H15N1O5,217.09502259419997,[M+Na]+,240.08424329419998
N-C6:0-threonine,threonine,6,short_medium_chain,C10H19N1O4,217.1314080997,[M+Na]+,240.1206287997
N-C7:0-serine,serine,7,short_medium_chain,C10H19N1O4,217.1314080997,[M+Na]+,240.1206287997
N-C6:0-homoserine,homoserine,6,short_medium_chain,C10H19N1O4,217.1314080997,[M+Na]+,240.1206287997
N-C5:0-histidine,histidine,5,short_medium_chain,C11H17N3O3,239.1269914242,[M+H]+,240.1342678761
N-C4:0-methionine,methionine,4,short_medium_chain,C9H17N1O3S1,219.0929141038,[M+Na]+,242.08213480380002
N-C6:0-cysteine,cysteine,6,short_medium_chain,C9H17N1O3S1,219.0929141038,[M+Na]+,242.08213480380002
N-C8:0-proline,proline,8,short_medium_chain,C13H23N1O3,241.1677936052,[M+H]+,242.1750700571
N-C4:0-histidine,histidine,4,short_medium_chain,C10H15N3O3,225.1113413604,[M+NH4]+,243.1451669132
N-C11:0-glycine,glycine,11,short_medium_chain,C13H25N1O3,243.18344366899998,[M+H]+,244.19072012089998
N-C8:0-valine,valine,8,short_medium_chain,C13H25N1O3,243.18344366899998,[M+H]+,244.19072012089998
N-C10:0-alanine,alanine,10,short_medium_chain,C13H25N1O3,243.18344366899998,[M+H]+,244.19072012089998
N-C7:0-isoleucine,isoleucine,7,short_medium_chain,C13H25N1O3,243.18344366899998,[M+H]+,244.19072012089998
N-C7:0-leucine,leucine,7,short_medium_chain,C13H25N1O3,243.18344366899998,[M+H]+,244.19072012089998
N-C7:0-asparagine,asparagine,7,short_medium_chain,C11H20N2O4,244.1423071368,[M+H]+,245.1495835887
N-C6:0-glutamine,glutamine,6,short_medium_chain,C11H20N2O4,244.1423071368,[M+H]+,245.1495835887
N-C4:0-arginine,arginine,4,short_medium_chain,C10H20N4O3,244.1535405251,[M+H]+,245.160816977
N-C7:0-proline,proline,7,short_medium_chain,C12H21N1O3,227.1521435414,[M+NH4]+,245.1859690942
N-C6:0-lysine,lysine,6,short_medium_chain,C12H24N2O3,244.1786926423,[M+H]+,245.1859690942
N-C6:0-glutamate,glutamate,6,short_medium_chain,C11H19N1O5,245.12632272180002,[M+H]+,246.13359917370002
N-C7:0-aspartate,aspartate,7,short_medium_chain,C11H19N1O5,245.12632272180002,[M+H]+,246.13359917370002
N-C8:0-threonine,threonine,8,short_medium_chain,C12H23N1O4,245.1627082273,[M+H]+,246.16998467919998
N-C9:0-serine,serine,9,short_medium_chain,C12H23N1O4,245.1627082273,[M+H]+,246.16998467919998
N-C8:0-homoserine,homoserine,8,short_medium_chain,C12H23N1O4,245.1627082273,[M+H]+,246.16998467919998
N-C9:0-alanine,alanine,9,short_medium_chain,C12H23N1O3,229.1677936052,[M+NH4]+,247.201619158
N-C10:0-glycine,glycine,10,short_medium_chain,C12H23N1O3,229.1677936052,[M+NH4]+,247.201619158
N-C6:0-leucine,leucine,6,short_medium_chain,C12H23N1O3,229.1677936052,[M+NH4]+,247.201619158
N-C6:0-isoleucine,isoleucine,6,short_medium_chain,C12H23N1O3,229.1677936052,[M+NH4]+,247.201619158
N-C7:0-valine,valine,7,short_medium_chain,C12H23N1O3,229.1677936052,[M+NH4]+,247.201619158
N-C4:0-histidine,histidine,4,short_medium_chain,C10H15N3O3,225.1113413604,[M+Na]+,248.1005620604
N-C6:0-methionine,methionine,6,short_medium_chain,C11H21N1O3S1,247.1242142314,[M+H]+,248.1314906833
N-C8:0-cysteine,cysteine,8,short_medium_chain,C11H21N1O3S1,247.1242142314,[M+H]+,248.1314906833
N-C6:0-asparagine,asparagine,6,short_medium_chain,C10H18N2O4,230.126657073,[M+NH4]+,248.1604826258
N-C5:0-glutamine,glutamine,5,short_medium_chain,C10H18N2O4,230.126657073,[M+NH4]+,248.1604826258
N-C5:0-lysine,lysine,5,short_medium_chain,C11H22N2O3,230.1630425785,[M+NH4]+,248.19686813130002
N-C5:0-glutamate,glutamate,5,short_medium_chain,C10H17N1O5,231.110672658,[M+NH4]+,249.1444982108
N-C6:0-aspartate,aspartate,6,short_medium_chain,C10H17N1O5,231.110672658,[M+NH4]+,249.1444982108
N-C7:0-threonine,threonine,7,short_medium_chain,C11H21N1O4,231.1470581635,[M+NH4]+,249.1808837163
N-C7:0-homoserine,homoserine,7,short_medium_chain,C11H21N1O4,231.1470581635,[M+NH4]+,249.1808837163
N-C8:0-serine,serine,8,short_medium_chain,C11H21N1O4,231.1470581635,[M+NH4]+,249.1808837163
N-C7:0-proline,proline,7,short_medium_chain,C12H21N1O3,227.1521435414,[M+Na]+,250.1413642414
N-C5:0-phenylalanine,phenylalanine,5,short_medium_chain,C14H19N1O3,249.1364934776,[M+H]+,250.1437699295
N-C7:0-cysteine,cysteine,7,short_medium_chain,C10H19N1O3S1,233.1085641676,[M+NH4]+,251.14238972040002
N-C5:0-methionine,methionine,5,short_medium_chain,C10H19N1O3S1,233.1085641676,[M+NH4]+,251.14238972040002
N-C4:0-tyrosine,tyrosine,4,short_medium_chain,C13H17N1O4,251.1157580359,[M+H]+,252.1230344878
N-C6:0-leucine,leucine,6,short_medium_chain,C12H23N1O3,229.1677936052,[M+Na]+,252.1570143052
N-C7:0-valine,valine,7,short_medium_chain,C12H23N1O3,229.1677936052,[M+Na]+,252.1570143052
N-C10:0-glycine,glycine,10,short_medium_chain,C12H23N1O3,229.1677936052,[M+Na]+,252.1570143052
N-C9:0-alanine,alanine,9,short_medium_chain,C12H23N1O3,229.1677936052,[M+Na]+,252.1570143052
N-C6:0-isoleucine,isoleucine,6,short_medium_chain,C12H23N1O3,229.1677936052,[M+Na]+,252.1570143052
N-C6:0-asparagine,asparagine,6,short_medium_chain,C10H18N2O4,230.126657073,[M+Na]+,253.115877773
N-C5:0-glutamine,glutamine,5,short_medium_chain,C10H18N2O4,230.126657073,[M+Na]+,253.115877773
N-C5:0-lysine,lysine,5,short_medium_chain,C11H22N2O3,230.1630425785,[M+Na]+,253.15226327850002
N-C4:0-phenylalanine,phenylalanine,4,short_medium_chain,C13H17N1O3,235.1208434138,[M+NH4]+,253.1546689666
N-C5:0-glutamate,glutamate,5,short_medium_chain,C10H17N1O5,231.110672658,[M+Na]+,254.099893358
N-C6:0-aspartate,aspartate,6,short_medium_chain,C10H17N1O5,231.110672658,[M+Na]+,254.099893358
N-C8:0-serine,serine,8,short_medium_chain,C11H21N1O4,231.1470581635,[M+Na]+,254.1362788635
N-C7:0-homoserine,homoserine,7,short_medium_chain,C11H21N1O4,231.1470581635,[M+Na]+,254.1362788635
N-C7:0-threonine,threonine,7,short_medium_chain,C11H21N1O4,231.1470581635,[M+Na]+,254.1362788635
N-C6:0-histidine,histidine,6,short_medium_chain,C12H19N3O3,253.14264148799998,[M+H]+,254.14991793989998
N-C5:0-methionine,methionine,5,short_medium_chain,C10H19N1O3S1,233.1085641676,[M+Na]+,256.0977848676
N-C7:0-cysteine,cysteine,7,short_medium_chain,C10H19N1O3S1,233.1085641676,[M+Na]+,256.0977848676
N-C9:0-proline,proline,9,short_medium_chain,C14H25N1O3,255.18344366899998,[M+H]+,256.1907201209
N-C5:0-histidine,histidine,5,short_medium_chain,C11H17N3O3,239.1269914242,[M+NH4]+,257.160816977
N-C4:0-phenylalanine,phenylalanine,4,short_medium_chain,C13H17N1O3,235.1208434138,[M+Na]+,258.1100641138
N-C8:0-leucine,leucine,8,short_medium_chain,C14H27N1O3,257.1990937328,[M+H]+,258.2063701847
N-C9:0-valine,valine,9,short_medium_chain,C14H27N1O3,257.1990937328,[M+H]+,258.2063701847
N-C8:0-isoleucine,isoleucine,8,short_medium_chain,C14H27N1O3,257.1990937328,[M+H]+,258.2063701847
N-C11:0-alanine,alanine,11,short_medium_chain,C14H27N1O3,257.1990937328,[M+H]+,258.2063701847
N-C12:0-glycine,glycine,12,long_chain,C14H27N1O3,257.1990937328,[M+H]+,258.2063701847
N-C7:0-glutamine,glutamine,7,short_medium_chain,C12H22N2O4,258.15795720060004,[M+H]+,259.16523365250004
N-C8:0-asparagine,asparagine,8,short_medium_chain,C12H22N2O4,258.15795720060004,[M+H]+,259.16523365250004
N-C5:0-arginine,arginine,5,short_medium_chain,C11H22N4O3,258.1691905889,[M+H]+,259.1764670408
N-C8:0-proline,proline,8,short_medium_chain,C13H23N1O3,241.1677936052,[M+NH4]+,259.20161915799997
N-C7:0-lysine,lysine,7,short_medium_chain,C13H26N2O3,258.19434270610003,[M+H]+,259.201619158
N-C7:0-glutamate,glutamate,7,short_medium_chain,C12H21N1O5,259.1419727856,[M+H]+,260.1492492375
N-C8:0-aspartate,aspartate,8,short_medium_chain,C12H21N1O5,259.1419727856,[M+H]+,260.1492492375
N-C9:0-homoserine,homoserine,9,short_medium_chain,C13H25N1O4,259.1783582911,[M+H]+,260.185634743
N-C10:0-serine,serine,10,short_medium_chain,C13H25N1O4,259.1783582911,[M+H]+,260.185634743
N-C9:0-threonine,threonine,9,short_medium_chain,C13H25N1O4,259.1783582911,[M+H]+,260.185634743
N-C7:0-leucine,leucine,7,short_medium_chain,C13H25N1O3,243.18344366899998,[M+NH4]+,261.2172692218
N-C7:0-isoleucine,isoleucine,7,short_medium_chain,C13H25N1O3,243.18344366899998,[M+NH4]+,261.2172692218
N-C11:0-glycine,glycine,11,short_medium_chain,C13H25N1O3,243.18344366899998,[M+NH4]+,261.2172692218
N-C8:0-valine,valine,8,short_medium_chain,C13H25N1O3,243.18344366899998,[M+NH4]+,261.2172692218
N-C10:0-alanine,alanine,10,short_medium_chain,C13H25N1O3,243.18344366899998,[M+NH4]+,261.2172692218
N-C5:0-histidine,histidine,5,short_medium_chain,C11H17N3O3,239.1269914242,[M+Na]+,262.1162121242
N-C9:0-cysteine,cysteine,9,short_medium_chain,C12H23N1O3S1,261.13986429519997,[M+H]+,262.14714074709997
N-C7:0-methionine,methionine,7,short_medium_chain,C12H23N1O3S1,261.13986429519997,[M+H]+,262.14714074709997
N-C6:0-glutamine,glutamine,6,short_medium_chain,C11H20N2O4,244.1423071368,[M+NH4]+,262.1761326896
N-C7:0-asparagine,asparagine,7,short_medium_chain,C11H20N2O4,244.1423071368,[M+NH4]+,262.1761326896
N-C4:0-arginine,arginine,4,short_medium_chain,C10H20N4O3,244.1535405251,[M+NH4]+,262.1873660779
N-C6:0-lysine,lysine,6,short_medium_chain,C12H24N2O3,244.1786926423,[M+NH4]+,262.2125181951
N-C7:0-aspartate,aspartate,7,short_medium_chain,C11H19N1O5,245.12632272180002,[M+NH4]+,263.16014827460003
N-C6:0-glutamate,glutamate,6,short_medium_chain,C11H19N1O5,245.12632272180002,[M+NH4]+,263.16014827460003
N-C8:0-homoserine,homoserine,8,short_medium_chain,C12H23N1O4,245.1627082273,[M+NH4]+,263.19653378009997
N-C8:0-threonine,threonine,8,short_medium_chain,C12H23N1O4,245.1627082273,[M+NH4]+,263.19653378009997
N-C9:0-serine,serine,9,short_medium_chain,C12H23N1O4,245.1627082273,[M+NH4]+,263.19653378009997
N-C8:0-proline,proline,8,short_medium_chain,C13H23N1O3,241.1677936052,[M+Na]+,264.1570143052
N-C6:0-phenylalanine,phenylalanine,6,short_medium_chain,C15H21N1O3,263.1521435414,[M+H]+,264.1594199933
N-C8:0-cysteine,cysteine,8,short_medium_chain,C11H21N1O3S1,247.1242142314,[M+NH4]+,265.1580397842
N-C6:0-methionine,methionine,6,short_medium_chain,C11H21N1O3S1,247.1242142314,[M+NH4]+,265.1580397842
N-C5:0-tyrosine,tyrosine,5,short_medium_chain,C14H19N1O4,265.1314080997,[M+H]+,266.1386845516
N-C10:0-alanine,alanine,10,short_medium_chain,C13H25N1O3,243.18344366899998,[M+Na]+,266.17266436899996
N-C7:0-isoleucine,isoleucine,7,short_medium_chain,C13H25N1O3,243.18344366899998,[M+Na]+,266.17266436899996
N-C11:0-glycine,glycine,11,short_medium_chain,C13H25N1O3,243.18344366899998,[M+Na]+,266.17266436899996
N-C8:0-valine,valine,8,short_medium_chain,C13H25N1O3,243.18344366899998,[M+Na]+,266.17266436899996
