perm,n_raw_matches,n_distinct_rows
264,11,11
265,14,14
266,21,21
267,19,19
268,20,20
269,28,27
270,31,31
271,25,25
272,12,12
273,16,16
274,31,31
275,27,27
276,23,23
277,13,13
278,17,17
279,26,26
280,48,48
281,28,28
282,11,11
283,21,21
284,46,46
285,20,20
286,25,25
287,14,14
288,26,26
289,32,32
290,16,16
291,34,34
292,25,25
293,39,39
294,32,32
295,47,43
296,34,34
297,19,19
298,25,25
299,21,21
300,18,18
301,43,43
302,42,42
303,31,31
304,24,24
305,26,26
306,29,29
307,26,26
308,16,16
309,25,25
310,25,25
311,34,34
312,20,20
313,30,30
314,15,15
315,34,34
316,31,31
317,34,34
318,31,31
319,22,22
320,27,27
321,9,9
322,24,24
323,21,21
324,28,28
325,39,39
326,32,32
327,40,40
328,22,22
329,55,55
330,16,16
331,22,22
332,32,32
333,36,36
334,26,26
335,27,27
336,32,32
337,17,17
338,15,15
339,56,56
340,51,47
341,22,22
342,34,34
343,16,16
344,14,14
345,31,31
346,43,43
347,42,42
348,21,21
349,23,23
350,39,39
351,30,30
352,45,45
353,35,32
354,27,27
355,33,33
356,27,27
357,28,28
358,21,21
359,17,17
360,26,26
361,38,38
362,15,15
363,19,19
364,16,16
365,23,23
366,38,38
367,26,26
368,51,51
369,26,26
370,18,18
371,33,33
372,28,26
373,21,21
374,23,23
375,34,34
376,27,27
377,20,20
378,24,24
379,40,40
380,25,25
381,24,24
382,27,27
383,34,34
384,26,26
385,47,47
386,36,36
387,29,26
388,26,26
389,45,45
390,25,25
391,16,16
392,24,24
393,29,29
394,28,28
395,38,38
396,28,28
397,24,24
398,20,20
399,30,30
400,39,39
401,27,27
402,32,32
403,30,30
404,16,16
405,24,24
406,26,26
407,15,15
408,24,24
409,22,22
410,30,30
411,20,20
412,27,27
413,23,23
414,18,18
415,33,33
416,25,25
417,20,20
418,36,36
419,65,65
420,40,40
421,29,27
422,41,41
423,25,25
424,18,18
425,53,53
426,24,24
427,15,15
428,51,51
429,28,28
430,30,30
431,37,37
432,25,25
433,31,31
434,28,28
435,11,11
436,20,20
437,30,30
438,19,19
439,25,24
440,15,15
441,21,21
442,25,25
443,28,28
444,22,22
445,19,19
446,35,28
447,36,36
448,23,23
449,32,32
450,26,26
451,46,46
452,33,33
453,16,16
454,25,23
455,39,39
456,22,22
457,30,30
458,41,41
459,32,32
460,27,27
461,24,24
462,28,28
463,28,28
464,43,43
465,40,40
466,23,23
467,28,28
468,37,37
469,33,33
470,25,25
471,38,38
472,32,32
473,27,27
474,29,29
475,56,55
476,31,31
477,26,26
478,31,31
479,10,10
480,31,31
481,42,42
482,37,37
483,43,43
484,31,31
485,35,35
486,26,24
487,21,21
488,36,36
489,24,24
490,25,25
491,21,21
492,35,35
493,29,29
494,33,33
495,48,48
496,20,20
497,25,25
498,38,38
499,44,44
500,33,33
501,30,30
502,29,29
503,19,19
504,19,19
505,23,23
506,34,34
507,20,19
508,28,28
509,13,13
510,20,20
511,28,28
512,28,28
513,15,15
514,30,30
515,36,36
516,38,38
517,25,25
518,28,28
519,22,22
520,32,32
521,29,29
522,15,15
523,23,23
524,19,19
525,45,45
526,41,41
527,29,29
528,31,31
529,32,32
530,30,30
531,21,21
532,32,32
533,47,47
534,41,41
535,46,46
536,30,30
537,37,36
538,37,37
539,44,44
540,39,39
541,20,20
542,25,25
543,29,29
544,22,22
545,40,40
546,30,30
547,21,21
548,18,18
549,27,27
550,32,32
551,24,24
552,21,20
553,17,17
554,21,21
555,25,25
556,15,15
557,30,30
558,27,27
559,45,45
560,25,25
561,16,16
562,37,37
563,32,32
564,29,25
565,20,20
566,26,26
567,37,37
568,25,25
569,31,31
570,15,15
571,23,23
572,36,36
573,21,21
574,31,31
575,25,24
576,19,19
577,32,32
578,14,14
579,34,34
580,20,20
581,23,23
582,20,20
583,31,31
584,25,25
585,18,18
586,26,26
587,27,27
588,27,27
589,14,14
590,40,40
591,34,33
592,27,27
593,17,17
594,35,35
595,32,32
596,16,16
597,17,17
598,23,23
599,24,24
600,41,41
601,20,20
602,28,28
603,41,41
604,32,32
605,26,26
606,37,37
607,34,34
608,37,37
609,18,18
610,31,31
611,28,28
612,32,32
613,22,22
614,21,21
615,27,27
616,25,25
617,32,32
618,42,42
619,26,26
620,15,15
621,36,36
622,21,21
623,27,27
624,15,15
625,17,17
626,27,27
627,42,42
628,14,14
629,31,31
630,43,43
631,10,10
632,14,14
633,27,27
634,28,28
635,20,20
636,35,35
637,33,33
638,34,32
639,27,27
640,50,50
641,32,31
642,36,36
643,27,24
644,26,26
645,18,18
646,41,41
647,45,45
648,30,30
649,14,14
650,27,27
651,39,39
652,24,24
653,42,42
654,32,32
655,29,29
656,23,23
657,24,24
658,29,29
659,18,18
660,28,28
661,21,21
662,12,12
663,17,17
664,36,36
665,31,31
666,19,19
667,40,40
668,25,25
669,38,38
670,20,20
671,45,45
672,39,39
673,26,26
674,19,19
675,15,15
676,55,55
677,8,8
678,26,26
679,32,32
680,22,22
681,25,25
682,15,15
683,28,28
684,12,12
685,21,21
686,15,15
687,38,38
688,31,31
689,25,25
690,20,20
691,21,21
692,41,41
693,61,61
694,22,22
695,18,18
696,20,20
697,22,22
698,32,32
699,38,38
700,18,18
701,38,36
702,37,37
703,25,25
704,33,33
705,34,34
706,16,16
707,29,29
708,37,37
709,23,23
710,14,14
711,24,24
712,47,47
713,25,25
714,15,15
715,22,22
716,29,29
717,20,20
718,16,16
719,37,37
720,16,16
721,25,25
722,25,25
723,21,21
724,28,28
725,26,26
726,39,39
727,18,18
728,26,26
729,16,16
730,12,11
731,27,27
732,24,24
733,33,33
734,26,24
735,32,32
736,24,24
737,20,20
738,33,33
739,33,33
740,21,21
741,48,48
742,28,28
743,19,19
744,26,26
745,42,42
746,25,24
747,20,20
748,31,31
749,27,27
750,21,21
751,27,27
752,28,28
753,16,16
754,28,28
755,23,23
756,20,20
757,25,25
758,32,32
759,18,18
760,24,24
761,29,29
762,28,28
763,27,27
764,36,36
765,36,36
766,33,33
767,51,50
768,44,44
769,24,24
770,33,33
771,40,40
772,40,40
773,26,25
774,21,21
775,31,31
776,27,27
777,21,21
778,29,29
779,32,32
780,29,29
781,28,28
782,31,31
783,25,25
784,19,19
785,40,40
786,34,34
787,29,29
788,21,21
789,38,38
790,34,34
791,20,20
792,33,33
793,24,24
794,42,41
795,29,29
796,49,49
797,17,17
798,14,14
799,23,23
800,27,27
801,22,22
802,30,30
803,10,10
804,28,28
805,31,31
806,13,13
807,30,29
808,18,18
809,19,19
810,19,19
811,33,33
812,11,11
813,32,32
814,24,24
815,24,24
816,40,40
817,13,13
818,20,20
819,32,32
820,15,15
821,19,19
822,32,32
823,23,23
824,18,18
825,55,55
826,21,21
827,24,24
828,53,53
829,36,36
830,31,31
831,28,28
832,41,41
833,24,24
834,36,36
835,13,13
836,21,21
837,16,16
838,45,43
839,25,25
840,32,32
841,33,33
842,37,37
843,30,30
844,26,26
845,32,32
846,17,17
847,25,25
848,23,23
849,36,36
850,22,22
851,35,35
852,34,34
853,25,25
854,28,28
855,32,29
856,29,29
857,16,16
858,29,29
859,36,36
860,24,24
861,33,33
862,23,23
863,24,24
864,21,21
865,13,13
866,24,24
867,23,23
868,24,24
869,27,27
870,23,23
871,34,34
872,25,25
873,23,23
874,32,32
875,27,27
876,31,31
877,26,26
878,23,23
879,13,13
880,16,16
881,23,23
882,30,29
883,25,25
884,22,22
885,23,23
886,29,29
887,41,37
888,9,9
889,25,25
890,38,38
891,28,28
892,37,37
893,47,47
894,46,46
895,41,41
896,12,12
897,34,34
898,31,31
899,25,25
900,33,33
901,25,25
902,34,33
903,44,44
904,38,38
905,35,31
906,44,44
907,25,25
908,33,33
909,38,38
910,11,11
911,30,30
912,28,28
913,12,12
914,40,40
915,42,40
916,37,37
917,21,21
918,24,24
919,14,14
920,9,9
921,12,12
922,52,52
923,38,38
924,35,35
925,22,22
926,21,19
927,36,36
928,37,37
929,25,25
930,35,35
931,32,32
932,39,39
933,28,28
934,28,28
935,43,43
936,17,17
937,43,43
938,23,23
939,31,31
940,25,21
941,15,15
942,16,16
943,21,21
944,28,28
945,18,18
946,13,13
947,14,14
948,49,49
949,30,30
950,40,40
951,45,45
952,22,22
953,14,14
954,18,18
955,22,22
956,17,17
957,58,58
958,23,23
959,23,23
960,29,29
961,28,28
962,22,22
963,43,43
964,22,22
965,60,60
966,24,24
967,19,19
968,22,22
969,13,13
970,18,18
971,19,19
972,26,26
973,34,34
974,39,39
975,28,28
976,38,38
977,27,27
978,33,33
979,38,38
980,36,36
981,25,25
982,14,14
983,31,31
984,26,26
985,35,35
986,28,28
987,36,36
988,23,23
989,17,17
990,20,20
991,55,55
992,13,13
993,26,26
994,49,49
995,28,28
996,30,30
997,27,27
998,40,40
999,26,26
