perm,n_raw_matches,n_distinct_rows
200,239,235
201,254,246
202,232,227
203,204,192
204,258,254
205,191,183
206,180,177
207,212,208
208,217,211
209,230,221
210,264,257
211,231,227
212,195,195
213,241,239
214,221,217
215,243,231
216,223,220
217,234,230
218,308,308
219,253,249
220,225,219
221,194,190
222,260,258
223,207,202
224,235,233
225,258,253
226,211,210
227,215,209
228,192,185
229,232,224
230,251,249
231,257,252
232,147,146
233,260,259
234,209,208
235,288,276
236,240,230
237,263,250
238,197,196
239,252,249
240,258,253
241,222,216
242,220,218
243,254,249
244,220,217
245,245,239
246,259,251
247,243,237
248,312,303
249,227,224
250,228,220
251,201,199
252,194,193
253,205,205
254,214,210
255,245,242
256,170,167
257,200,199
258,231,226
259,236,233
260,197,196
261,250,246
262,226,225
263,250,248
264,246,242
265,199,194
266,251,246
267,247,243
268,234,222
269,198,192
270,222,219
271,266,255
272,220,216
273,198,198
274,213,210
275,219,216
276,250,245
277,216,214
278,253,251
279,248,244
280,281,265
281,179,175
282,282,275
283,251,244
284,226,226
285,186,184
286,234,231
287,227,223
288,275,259
289,210,202
290,245,235
291,216,207
292,160,159
293,225,222
294,226,223
295,249,240
296,269,260
297,239,238
298,238,237
299,193,193
300,247,243
301,232,217
302,219,219
303,233,227
304,185,179
305,219,219
306,207,205
307,220,214
308,189,180
309,229,223
310,235,234
311,224,222
312,255,255
313,227,223
314,259,245
315,232,220
316,293,291
317,198,198
318,254,249
319,241,237
320,209,203
321,261,248
322,210,199
323,200,198
324,230,227
325,227,223
326,222,218
327,226,221
328,221,215
329,226,224
330,235,232
331,235,228
332,277,271
333,243,240
334,222,218
335,253,241
336,279,272
337,228,228
338,215,210
339,214,213
340,200,197
341,202,195
342,223,220
343,246,235
344,268,259
345,294,286
346,250,243
347,299,297
348,207,203
349,179,174
350,241,234
351,172,170
352,239,238
353,248,239
354,233,231
355,219,215
356,208,205
357,224,223
358,227,226
359,224,217
360,222,222
361,216,205
362,228,224
363,249,249
364,245,239
365,250,242
366,217,213
367,215,210
368,218,217
369,223,220
370,242,239
371,208,201
372,227,219
373,210,203
374,238,223
375,214,212
376,248,239
377,255,253
378,229,225
379,229,228
380,179,171
381,238,235
382,222,219
383,194,194
384,214,210
385,192,182
386,251,241
387,194,190
388,178,178
389,165,160
390,214,210
391,234,231
392,222,217
393,212,206
394,208,203
395,221,219
396,221,220
397,214,211
398,233,231
399,223,221
400,244,243
401,254,240
402,193,186
403,205,202
404,226,218
405,244,235
406,223,220
407,191,189
408,206,202
409,229,226
410,240,228
411,223,221
412,245,240
413,270,268
414,276,273
415,231,223
416,208,208
417,249,245
418,235,231
419,206,201
420,223,220
421,241,234
422,266,260
423,198,191
424,226,226
425,212,202
426,256,245
427,251,247
428,227,226
429,260,250
430,227,225
431,205,202
432,195,189
433,224,217
434,281,274
435,196,191
436,214,211
437,231,229
438,213,203
439,281,270
440,226,226
441,263,254
442,278,275
443,206,205
444,201,198
445,236,233
446,299,284
447,294,289
448,229,228
449,246,240
450,206,201
451,212,212
452,245,244
453,226,222
454,240,236
455,232,231
456,219,214
457,240,237
458,205,198
459,221,220
460,199,198
461,198,188
462,262,255
463,228,223
464,190,188
465,190,188
466,200,195
467,194,192
468,269,260
469,232,223
470,229,218
471,243,235
472,210,203
473,209,208
474,210,207
475,243,239
476,249,239
477,249,238
478,244,228
479,217,213
480,253,246
481,261,256
482,198,191
483,210,204
484,215,214
485,230,227
486,227,224
487,212,205
488,181,181
489,235,234
490,198,194
491,188,188
492,246,237
493,173,172
494,222,219
495,228,225
496,242,233
497,256,255
498,217,207
499,236,236
500,224,223
501,200,199
502,230,228
503,210,207
504,258,252
505,223,222
506,180,173
507,168,165
508,221,218
509,236,224
510,209,207
511,277,272
512,225,220
513,240,235
514,202,200
515,228,222
516,242,240
517,270,265
518,239,233
519,218,213
520,243,241
521,220,217
522,193,191
523,207,203
524,225,223
525,264,260
526,300,299
527,235,223
528,243,237
529,187,182
530,218,218
531,225,221
532,201,194
533,214,212
534,286,277
535,232,225
536,244,228
537,226,219
538,251,239
539,186,184
540,200,198
541,274,264
542,202,202
543,245,235
544,214,214
545,215,215
546,276,271
547,196,195
548,243,235
549,229,222
550,205,204
551,192,186
552,177,168
553,250,244
554,227,220
555,262,255
556,240,233
557,267,261
558,203,199
559,221,219
560,236,230
561,221,212
562,242,234
563,233,233
564,239,230
565,262,255
566,255,250
567,235,228
568,227,224
569,233,230
570,198,193
571,234,228
572,210,204
573,256,255
574,244,233
575,230,224
576,271,263
577,249,243
578,233,228
579,184,181
580,257,255
581,214,210
582,214,208
583,204,200
584,267,255
585,253,252
586,233,232
587,216,213
588,246,246
589,201,200
590,208,205
591,195,193
592,189,189
593,228,225
594,226,220
595,258,254
596,198,195
597,217,211
598,262,253
599,200,195
600,215,209
601,240,238
602,220,219
603,226,218
604,233,233
605,243,240
606,201,198
607,245,244
608,193,191
609,192,182
610,231,223
611,189,189
612,234,230
613,223,219
614,200,188
615,232,227
616,237,233
617,217,214
618,218,218
619,234,234
620,246,232
621,250,248
622,234,232
623,168,164
624,202,195
625,174,170
626,203,198
627,219,219
628,192,189
629,262,256
630,157,154
631,214,211
632,224,218
633,195,193
634,225,220
635,191,191
636,240,238
637,195,193
638,235,233
639,235,221
640,222,214
641,255,254
642,212,212
643,203,198
644,185,182
645,267,261
646,293,289
647,194,192
648,220,215
649,233,223
650,263,256
651,218,213
652,261,252
653,245,241
654,232,231
655,210,206
656,193,190
657,216,212
658,234,218
659,254,249
660,249,244
661,271,253
662,233,227
663,204,200
664,209,208
665,211,208
666,252,243
667,194,194
668,225,223
669,228,222
670,218,215
671,246,244
672,239,231
673,230,226
674,215,203
675,211,210
676,179,171
677,210,206
678,206,202
679,221,213
680,259,251
681,247,242
682,278,267
683,246,245
684,227,214
685,245,242
686,196,196
687,273,265
688,201,201
689,206,203
690,213,213
691,217,213
692,212,200
693,162,155
694,233,230
695,226,222
696,223,208
697,225,215
698,234,234
699,251,242
700,182,181
701,181,179
702,219,212
703,192,190
704,249,239
705,227,223
706,230,222
707,216,210
708,258,253
709,246,242
710,191,187
711,191,189
712,240,238
713,215,215
714,187,184
715,259,254
716,201,195
717,195,194
718,188,183
719,290,287
720,298,294
721,253,253
722,252,247
723,210,207
724,225,222
725,279,278
726,237,236
727,239,233
728,192,190
729,195,192
730,247,244
731,232,232
732,262,253
733,251,245
734,206,199
735,275,270
736,245,236
737,224,224
738,255,253
739,216,212
740,228,218
741,249,243
742,240,237
743,226,223
744,259,256
745,256,244
746,192,189
747,230,225
748,244,236
749,268,261
750,196,194
751,290,287
752,227,218
753,200,199
754,192,191
755,207,203
756,239,235
757,252,251
758,227,217
759,221,216
760,219,216
761,169,168
762,249,241
763,285,282
764,239,238
765,155,149
766,176,175
767,229,228
768,209,199
769,231,227
770,239,232
771,216,214
772,236,232
773,156,156
774,272,269
775,273,264
776,231,222
777,239,237
778,261,255
779,257,252
780,231,229
781,248,238
782,207,201
783,238,232
784,225,223
785,211,207
786,241,239
787,242,241
788,221,213
789,247,238
790,285,275
791,256,242
792,257,249
793,216,214
794,250,246
795,258,245
796,260,256
797,209,204
798,228,227
799,253,248
800,206,202
801,199,199
802,225,216
803,185,172
804,263,262
805,203,196
806,222,211
807,232,222
808,220,213
809,229,220
810,237,233
811,217,215
812,216,212
813,242,229
814,206,204
815,207,204
816,199,198
817,211,207
818,219,215
819,239,234
820,198,194
821,193,187
822,236,222
823,254,251
824,221,214
825,166,165
826,227,224
827,289,263
828,262,259
829,256,246
830,262,254
831,244,237
832,253,247
833,241,238
834,199,191
835,194,182
836,245,240
837,283,267
838,201,199
839,252,236
840,235,229
841,199,196
842,261,260
843,229,228
844,210,208
845,212,208
846,236,230
847,231,216
848,237,233
849,218,214
850,252,250
851,260,252
852,229,226
853,205,199
854,233,223
855,209,204
856,201,198
857,243,238
858,251,250
859,209,208
860,259,258
861,190,188
862,235,231
863,272,257
864,217,213
865,190,187
866,256,245
867,267,263
868,198,188
869,211,210
870,227,221
871,244,238
872,239,237
873,249,245
874,195,193
875,240,232
876,247,244
877,257,255
878,239,237
879,217,215
880,216,216
881,204,204
882,221,221
883,214,208
884,193,193
885,211,205
886,231,229
887,243,239
888,194,194
889,250,243
890,249,247
891,203,203
892,211,209
893,235,229
894,216,207
895,196,192
896,178,175
897,234,226
898,250,249
899,228,222
900,206,206
901,252,248
902,259,253
903,244,234
904,234,233
905,221,213
906,250,242
907,215,215
908,257,242
909,243,230
910,213,209
911,240,232
912,241,241
913,276,261
914,300,290
915,180,178
916,245,241
917,221,219
918,175,174
919,215,212
920,242,238
921,213,210
922,170,170
923,181,180
924,210,205
925,263,248
926,233,229
927,211,206
928,236,223
929,234,234
930,228,225
931,263,254
932,234,231
933,214,209
934,251,245
935,211,208
936,277,266
937,203,203
938,207,199
939,229,227
940,225,224
941,180,177
942,273,273
943,266,254
944,239,227
945,243,238
946,244,233
947,221,217
948,185,181
949,257,255
950,245,241
951,224,220
952,230,228
953,248,246
954,244,242
955,271,268
956,241,238
957,233,232
958,194,192
959,214,210
960,209,207
961,276,261
962,269,267
963,262,261
964,232,227
965,220,212
966,223,222
967,221,217
968,255,252
969,216,215
970,254,248
971,236,234
972,196,193
973,222,218
974,271,259
975,192,190
976,214,213
977,205,200
978,227,225
979,211,206
980,223,221
981,264,261
982,208,206
983,204,198
984,204,204
985,196,194
986,180,177
987,239,233
988,238,236
989,213,211
990,246,245
991,259,255
992,194,193
993,228,217
994,205,200
995,224,223
996,217,215
997,254,238
998,250,245
999,221,217
