compound,amino_acid,acyl_n,category,formula,adduct,target_mz,row_id,observed_mz,ppm_error,rt_min,has_ms2,is_isf,is_default_adduct,total_scans,dedup_group_id,is_group_representative,sirius_npc_class,sirius_structure_name,sirius_formula
N-C5:0-threonine,threonine,5,short_medium_chain,C9H17N1O4,[M+H]+,204.1230344878,9317,204.124,4.730050199477471,1.284738,True,False,True,18,asid_9317,True,Purine alkaloids,Isopentenyladenine,C9H17NO4
N-C5:0-threonine,threonine,5,short_medium_chain,C9H17N1O4,[M+H]+,204.1230344878,12459,204.1237,3.260348356496749,1.53,True,False,True,13,asid_12459,True,Purine alkaloids,Isopentenyladenine,C9H17NO4
N-C5:0-threonine,threonine,5,short_medium_chain,C9H17N1O4,[M+H]+,204.1230344878,14837,204.124,4.730050199477471,2.182764,True,True,True,7,asid_688,False,Purine alkaloids,Isopentenyladenine,C10H13N5
N-C5:0-threonine,threonine,5,short_medium_chain,C9H17N1O4,[M+H]+,204.1230344878,25883,204.1226,-2.128558401470536,0.5372,True,False,False,34,asid_25883,True,,,
N-C5:0-threonine,threonine,5,short_medium_chain,C9H17N1O4,[M+H]+,204.1230344878,52278,204.1226,-2.128558401470536,1.693745,True,False,True,8,asid_52278,True,Aminoacids,2-(1-Carboxyethylamino)-4-methylpentanoic acid,C9H17NO4
N-C7:0-glycine,glycine,7,short_medium_chain,C9H17N1O3,[M+NH4]+,205.1546689666,42970,205.1579,15.74925599438722,4.012181,True,False,False,11,asid_47487,False,Camphane monoterpenoids,2-ethyl-3-methyl-6-(propan-2-yl)cyclohexan-1-one,C14H20O
N-C6:0-alanine,alanine,6,short_medium_chain,C9H17N1O3,[M+NH4]+,205.1546689666,42970,205.1579,15.74925599438722,4.012181,True,False,False,11,asid_47487,False,Camphane monoterpenoids,2-ethyl-3-methyl-6-(propan-2-yl)cyclohexan-1-one,C14H20O
N-C4:0-valine,valine,4,short_medium_chain,C9H17N1O3,[M+NH4]+,205.1546689666,42970,205.1579,15.74925599438722,4.012181,True,False,False,11,asid_47487,False,Camphane monoterpenoids,2-ethyl-3-methyl-6-(propan-2-yl)cyclohexan-1-one,C14H20O
N-C5:0-cysteine,cysteine,5,short_medium_chain,C8H15N1O3S1,[M+H]+,206.08454049190001,10003,206.0807,-18.6355167196939,2.041256,True,False,False,19,asid_10003,False,Simple indole alkaloids,Indolelactate,C11H11NO3
N-C4:0-proline,proline,4,short_medium_chain,C9H15N1O3,[M+Na]+,208.09441404999998,28552,208.0964,9.543504610979404,1.418482,True,False,True,8,asid_28552,True,N-acyl amines,4-(Cyclopropanecarbonylamino)-3-methylbutanoic acid,C11H13NO3
N-C4:0-proline,proline,4,short_medium_chain,C9H15N1O3,[M+Na]+,208.09441404999998,49491,208.0963,9.062953509060492,1.840786,True,False,True,8,asid_49491,True,,,
N-C4:0-cysteine,cysteine,4,short_medium_chain,C7H13N1O3S1,[M+NH4]+,209.09543952900003,2391,209.0954,-0.18904764307128144,4.838,True,False,True,32,asid_2391,True,,,
N-C6:0-alanine,alanine,6,short_medium_chain,C9H17N1O3,[M+Na]+,210.1100641138,22162,210.1095,-2.6848490213422385,1.636959,True,False,True,10,asid_22162,True,,,
N-C4:0-valine,valine,4,short_medium_chain,C9H17N1O3,[M+Na]+,210.1100641138,22162,210.1095,-2.6848490213422385,1.636959,True,False,True,10,asid_22162,True,,,
N-C7:0-glycine,glycine,7,short_medium_chain,C9H17N1O3,[M+Na]+,210.1100641138,22162,210.1095,-2.6848490213422385,1.636959,True,False,True,10,asid_22162,True,,,
N-C5:0-serine,serine,5,short_medium_chain,C8H15N1O4,[M+Na]+,212.0893286721,9439,212.0892,-0.6066882327830673,3.894983,True,False,True,19,asid_1555,True,Pyridine alkaloids,"(2,6-Difluorophenyl)(pyrrolidin-1-yl)methanone",C11H11F2NO
N-C5:0-serine,serine,5,short_medium_chain,C8H15N1O4,[M+Na]+,212.0893286721,15995,212.0893,-0.13518879134759398,4.049843,True,False,True,12,asid_2419,False,,,
N-C4:0-threonine,threonine,4,short_medium_chain,C8H15N1O4,[M+Na]+,212.0893286721,9439,212.0892,-0.6066882327830673,3.894983,True,False,True,19,asid_1555,True,Pyridine alkaloids,"(2,6-Difluorophenyl)(pyrrolidin-1-yl)methanone",C11H11F2NO
N-C4:0-threonine,threonine,4,short_medium_chain,C8H15N1O4,[M+Na]+,212.0893286721,15995,212.0893,-0.13518879134759398,4.049843,True,False,True,12,asid_2419,False,,,
N-C4:0-homoserine,homoserine,4,short_medium_chain,C8H15N1O4,[M+Na]+,212.0893286721,9439,212.0892,-0.6066882327830673,3.894983,True,False,True,19,asid_1555,True,Pyridine alkaloids,"(2,6-Difluorophenyl)(pyrrolidin-1-yl)methanone",C11H11F2NO
N-C4:0-homoserine,homoserine,4,short_medium_chain,C8H15N1O4,[M+Na]+,212.0893286721,15995,212.0893,-0.13518879134759398,4.049843,True,False,True,12,asid_2419,False,,,
N-C7:0-serine,serine,7,short_medium_chain,C10H19N1O4,[M+H]+,218.1386845516,9859,218.1387,0.0708191673480115,1.194221,True,False,True,48,asid_9859,True,,,
N-C6:0-threonine,threonine,6,short_medium_chain,C10H19N1O4,[M+H]+,218.1386845516,9859,218.1387,0.0708191673480115,1.194221,True,False,True,48,asid_9859,True,,,
N-C6:0-homoserine,homoserine,6,short_medium_chain,C10H19N1O4,[M+H]+,218.1386845516,9859,218.1387,0.0708191673480115,1.194221,True,False,True,48,asid_9859,True,,,
N-C4:0-isoleucine,isoleucine,4,short_medium_chain,C10H19N1O3,[M+NH4]+,219.1703190304,10258,219.174,16.79501866987374,5.201261,True,False,False,17,asid_10258,True,,,
N-C7:0-alanine,alanine,7,short_medium_chain,C10H19N1O3,[M+NH4]+,219.1703190304,10258,219.174,16.79501866987374,5.201261,True,False,False,17,asid_10258,True,,,
N-C5:0-valine,valine,5,short_medium_chain,C10H19N1O3,[M+NH4]+,219.1703190304,10258,219.174,16.79501866987374,5.201261,True,False,False,17,asid_10258,True,,,
N-C4:0-leucine,leucine,4,short_medium_chain,C10H19N1O3,[M+NH4]+,219.1703190304,10258,219.174,16.79501866987374,5.201261,True,False,False,17,asid_10258,True,,,
N-C8:0-glycine,glycine,8,short_medium_chain,C10H19N1O3,[M+NH4]+,219.1703190304,10258,219.174,16.79501866987374,5.201261,True,False,False,17,asid_10258,True,,,
N-C4:0-aspartate,aspartate,4,short_medium_chain,C8H13N1O5,[M+NH4]+,221.11319808320002,15093,221.1168,16.289922226345645,5.027,True,False,False,7,asid_15093,True,,,
N-C5:0-threonine,threonine,5,short_medium_chain,C9H17N1O4,[M+NH4]+,221.1495835887,6671,221.1526,13.639687902851893,4.23753,True,False,False,25,asid_6671,True,Unsaturated fatty acids,"Cyclopropanecarboxylic acid, 2-ethylhexyl ester",C14H20O2
N-C6:0-serine,serine,6,short_medium_chain,C9H17N1O4,[M+NH4]+,221.1495835887,6671,221.1526,13.639687902851893,4.23753,True,False,False,25,asid_6671,True,Unsaturated fatty acids,"Cyclopropanecarboxylic acid, 2-ethylhexyl ester",C14H20O2
N-C5:0-homoserine,homoserine,5,short_medium_chain,C9H17N1O4,[M+NH4]+,221.1495835887,6671,221.1526,13.639687902851893,4.23753,True,False,False,25,asid_6671,True,Unsaturated fatty acids,"Cyclopropanecarboxylic acid, 2-ethylhexyl ester",C14H20O2
N-C5:0-cysteine,cysteine,5,short_medium_chain,C8H15N1O3S1,[M+NH4]+,223.11108959280003,2028,223.1074,-16.537021116918847,1.73852,True,True,True,77,asid_10935,False,,,
N-C5:0-cysteine,cysteine,5,short_medium_chain,C8H15N1O3S1,[M+NH4]+,223.11108959280003,5107,223.1072,-17.43343554603422,0.927277,True,True,True,77,asid_437,True,Dipeptides,2-[[(2R)-2-azaniumyl-3-phenylpropanoyl]amino]acetate,C11H14N2O3
N-C4:0-histidine,histidine,4,short_medium_chain,C10H15N3O3,[M+H]+,226.1186178123,32331,226.1218,14.073090180753212,4.650048,True,False,True,9,asid_32331,True,,,
N-C6:0-proline,proline,6,short_medium_chain,C11H19N1O3,[M+NH4]+,231.1703190304,9090,231.1698,-2.245229414297386,1.256,True,True,True,82,asid_10257,True,,,
N-C6:0-proline,proline,6,short_medium_chain,C11H19N1O3,[M+NH4]+,231.1703190304,13755,231.1698,-2.245229414297386,0.534218,True,True,False,60,asid_12288,False,Dipeptides,,C11H22N2O3
N-C5:0-lysine,lysine,5,short_medium_chain,C11H22N2O3,[M+H]+,231.1703190304,9090,231.1698,-2.245229414297386,1.256,True,True,True,82,asid_10257,True,,,
N-C5:0-lysine,lysine,5,short_medium_chain,C11H22N2O3,[M+H]+,231.1703190304,13755,231.1698,-2.245229414297386,0.534218,True,True,False,60,asid_12288,False,Dipeptides,,C11H22N2O3
N-C6:0-valine,valine,6,short_medium_chain,C11H21N1O3,[M+NH4]+,233.1859690942,2967,233.1896,15.570858804724233,4.984,True,False,False,24,asid_2967,False,,,
N-C6:0-valine,valine,6,short_medium_chain,C11H21N1O3,[M+NH4]+,233.1859690942,30914,233.1892,13.855489730130852,5.132,True,True,True,9,asid_6123,True,Bisabolane sesquiterpenoids,4-tert-Butyl-2-cyclohexylphenol,C14H22N3
N-C6:0-valine,valine,6,short_medium_chain,C11H21N1O3,[M+NH4]+,233.1859690942,34658,233.1893,14.284331998779198,4.586873,True,True,False,9,asid_14853,False,Bicyclohumulane sesquiterpenoids,,C16H24O
N-C9:0-glycine,glycine,9,short_medium_chain,C11H21N1O3,[M+NH4]+,233.1859690942,2967,233.1896,15.570858804724233,4.984,True,False,False,24,asid_2967,False,,,
N-C9:0-glycine,glycine,9,short_medium_chain,C11H21N1O3,[M+NH4]+,233.1859690942,30914,233.1892,13.855489730130852,5.132,True,True,True,9,asid_6123,True,Bisabolane sesquiterpenoids,4-tert-Butyl-2-cyclohexylphenol,C14H22N3
N-C9:0-glycine,glycine,9,short_medium_chain,C11H21N1O3,[M+NH4]+,233.1859690942,34658,233.1893,14.284331998779198,4.586873,True,True,False,9,asid_14853,False,Bicyclohumulane sesquiterpenoids,,C16H24O
N-C5:0-leucine,leucine,5,short_medium_chain,C11H21N1O3,[M+NH4]+,233.1859690942,2967,233.1896,15.570858804724233,4.984,True,False,False,24,asid_2967,False,,,
N-C5:0-leucine,leucine,5,short_medium_chain,C11H21N1O3,[M+NH4]+,233.1859690942,30914,233.1892,13.855489730130852,5.132,True,True,True,9,asid_6123,True,Bisabolane sesquiterpenoids,4-tert-Butyl-2-cyclohexylphenol,C14H22N3
N-C5:0-leucine,leucine,5,short_medium_chain,C11H21N1O3,[M+NH4]+,233.1859690942,34658,233.1893,14.284331998779198,4.586873,True,True,False,9,asid_14853,False,Bicyclohumulane sesquiterpenoids,,C16H24O
N-C5:0-isoleucine,isoleucine,5,short_medium_chain,C11H21N1O3,[M+NH4]+,233.1859690942,2967,233.1896,15.570858804724233,4.984,True,False,False,24,asid_2967,False,,,
N-C5:0-isoleucine,isoleucine,5,short_medium_chain,C11H21N1O3,[M+NH4]+,233.1859690942,30914,233.1892,13.855489730130852,5.132,True,True,True,9,asid_6123,True,Bisabolane sesquiterpenoids,4-tert-Butyl-2-cyclohexylphenol,C14H22N3
N-C5:0-isoleucine,isoleucine,5,short_medium_chain,C11H21N1O3,[M+NH4]+,233.1859690942,34658,233.1893,14.284331998779198,4.586873,True,True,False,9,asid_14853,False,Bicyclohumulane sesquiterpenoids,,C16H24O
N-C8:0-alanine,alanine,8,short_medium_chain,C11H21N1O3,[M+NH4]+,233.1859690942,2967,233.1896,15.570858804724233,4.984,True,False,False,24,asid_2967,False,,,
N-C8:0-alanine,alanine,8,short_medium_chain,C11H21N1O3,[M+NH4]+,233.1859690942,30914,233.1892,13.855489730130852,5.132,True,True,True,9,asid_6123,True,Bisabolane sesquiterpenoids,4-tert-Butyl-2-cyclohexylphenol,C14H22N3
N-C8:0-alanine,alanine,8,short_medium_chain,C11H21N1O3,[M+NH4]+,233.1859690942,34658,233.1893,14.284331998779198,4.586873,True,True,False,9,asid_14853,False,Bicyclohumulane sesquiterpenoids,,C16H24O
N-C5:0-asparagine,asparagine,5,short_medium_chain,C9H16N2O4,[M+NH4]+,234.144832562,26151,234.1403,-19.357941622770248,3.202404,True,True,True,13,asid_4721,False,,,
N-C5:0-asparagine,asparagine,5,short_medium_chain,C9H16N2O4,[M+NH4]+,234.144832562,42276,234.1481,13.954773053252971,3.522,True,False,True,7,asid_42276,True,,,
N-C5:0-asparagine,asparagine,5,short_medium_chain,C9H16N2O4,[M+NH4]+,234.144832562,48313,234.148,13.527686967648926,4.641,True,True,True,9,asid_17416,True,,,
N-C4:0-glutamine,glutamine,4,short_medium_chain,C9H16N2O4,[M+NH4]+,234.144832562,26151,234.1403,-19.357941622770248,3.202404,True,True,True,13,asid_4721,False,,,
N-C4:0-glutamine,glutamine,4,short_medium_chain,C9H16N2O4,[M+NH4]+,234.144832562,42276,234.1481,13.954773053252971,3.522,True,False,True,7,asid_42276,True,,,
N-C4:0-glutamine,glutamine,4,short_medium_chain,C9H16N2O4,[M+NH4]+,234.144832562,48313,234.148,13.527686967648926,4.641,True,True,True,9,asid_17416,True,,,
N-C5:0-aspartate,aspartate,5,short_medium_chain,C9H15N1O5,[M+NH4]+,235.12884814699999,25428,235.1309,8.726504706597996,0.568768,True,False,True,26,asid_25428,True,,,
N-C4:0-glutamate,glutamate,4,short_medium_chain,C9H15N1O5,[M+NH4]+,235.12884814699999,25428,235.1309,8.726504706597996,0.568768,True,False,True,26,asid_25428,True,,,
N-C6:0-threonine,threonine,6,short_medium_chain,C10H19N1O4,[M+NH4]+,235.1652336525,845,235.1687,14.740050840664203,5.143,True,False,True,36,asid_845,True,Wax monoesters,Cyclododecanecarboxylic acid,C10H22N2O4
N-C6:0-threonine,threonine,6,short_medium_chain,C10H19N1O4,[M+NH4]+,235.1652336525,24204,235.1647,-2.2692661313394695,0.534315,True,False,True,9,asid_24204,True,Phenylalanine-derived alkaloids,"[[tert-Butyl[(S)-1-(dimethylphosphinyl)-2,2-dimethylpropyl]amino]oxy]radical",C8H19FN6O
N-C6:0-threonine,threonine,6,short_medium_chain,C10H19N1O4,[M+NH4]+,235.1652336525,43621,235.1687,14.740050840664203,4.727203,True,False,False,7,asid_36452,False,Eremophilane sesquiterpenoids,5-(3-hydroxy-6-methylhept-5-en-2-ylidene)-2-methylcyclohex-2-en-1-one,C15H22O2
N-C7:0-serine,serine,7,short_medium_chain,C10H19N1O4,[M+NH4]+,235.1652336525,845,235.1687,14.740050840664203,5.143,True,False,True,36,asid_845,True,Wax monoesters,Cyclododecanecarboxylic acid,C10H22N2O4
N-C7:0-serine,serine,7,short_medium_chain,C10H19N1O4,[M+NH4]+,235.1652336525,24204,235.1647,-2.2692661313394695,0.534315,True,False,True,9,asid_24204,True,Phenylalanine-derived alkaloids,"[[tert-Butyl[(S)-1-(dimethylphosphinyl)-2,2-dimethylpropyl]amino]oxy]radical",C8H19FN6O
N-C7:0-serine,serine,7,short_medium_chain,C10H19N1O4,[M+NH4]+,235.1652336525,43621,235.1687,14.740050840664203,4.727203,True,False,False,7,asid_36452,False,Eremophilane sesquiterpenoids,5-(3-hydroxy-6-methylhept-5-en-2-ylidene)-2-methylcyclohex-2-en-1-one,C15H22O2
N-C6:0-homoserine,homoserine,6,short_medium_chain,C10H19N1O4,[M+NH4]+,235.1652336525,845,235.1687,14.740050840664203,5.143,True,False,True,36,asid_845,True,Wax monoesters,Cyclododecanecarboxylic acid,C10H22N2O4
N-C6:0-homoserine,homoserine,6,short_medium_chain,C10H19N1O4,[M+NH4]+,235.1652336525,24204,235.1647,-2.2692661313394695,0.534315,True,False,True,9,asid_24204,True,Phenylalanine-derived alkaloids,"[[tert-Butyl[(S)-1-(dimethylphosphinyl)-2,2-dimethylpropyl]amino]oxy]radical",C8H19FN6O
N-C6:0-homoserine,homoserine,6,short_medium_chain,C10H19N1O4,[M+NH4]+,235.1652336525,43621,235.1687,14.740050840664203,4.727203,True,False,False,7,asid_36452,False,Eremophilane sesquiterpenoids,5-(3-hydroxy-6-methylhept-5-en-2-ylidene)-2-methylcyclohex-2-en-1-one,C15H22O2
N-C6:0-proline,proline,6,short_medium_chain,C11H19N1O3,[M+Na]+,236.1257141776,13051,236.1275,7.563015346358885,2.853914,True,False,True,16,asid_13051,True,,,
N-C6:0-proline,proline,6,short_medium_chain,C11H19N1O3,[M+Na]+,236.1257141776,36591,236.1277,8.410021784023744,0.709273,True,False,True,15,asid_36591,True,Aminoacids,rel-(2R)-2-{[(tert-butoxy)carbonyl]amino}-3-fluoro-3-methylbutanoic acid,C10H18FNO4
N-C4:0-phenylalanine,phenylalanine,4,short_medium_chain,C13H17N1O3,[M+H]+,236.1281198657,13051,236.1275,-2.625124446657492,2.853914,True,False,True,16,asid_13051,True,,,
N-C4:0-phenylalanine,phenylalanine,4,short_medium_chain,C13H17N1O3,[M+H]+,236.1281198657,36591,236.1277,-1.778126638347363,0.709273,True,False,True,15,asid_36591,True,Aminoacids,rel-(2R)-2-{[(tert-butoxy)carbonyl]amino}-3-fluoro-3-methylbutanoic acid,C10H18FNO4
N-C4:0-methionine,methionine,4,short_medium_chain,C9H17N1O3S1,[M+NH4]+,237.12673965660002,7118,237.1284,7.001923960075898,0.936341,True,False,True,87,asid_7118,True,,,
N-C6:0-cysteine,cysteine,6,short_medium_chain,C9H17N1O3S1,[M+NH4]+,237.12673965660002,7118,237.1284,7.001923960075898,0.936341,True,False,True,87,asid_7118,True,,,
N-C6:0-threonine,threonine,6,short_medium_chain,C10H19N1O4,[M+Na]+,240.1206287997,24860,240.1222,6.543379083446236,3.798901,True,False,True,13,asid_24860,True,,,
N-C7:0-serine,serine,7,short_medium_chain,C10H19N1O4,[M+Na]+,240.1206287997,24860,240.1222,6.543379083446236,3.798901,True,False,True,13,asid_24860,True,,,
N-C6:0-homoserine,homoserine,6,short_medium_chain,C10H19N1O4,[M+Na]+,240.1206287997,24860,240.1222,6.543379083446236,3.798901,True,False,True,13,asid_24860,True,,,
N-C4:0-histidine,histidine,4,short_medium_chain,C10H15N3O3,[M+NH4]+,243.1451669132,9598,243.1488,14.942048185109943,0.541447,True,False,False,66,asid_9598,True,,,
N-C4:0-histidine,histidine,4,short_medium_chain,C10H15N3O3,[M+NH4]+,243.1451669132,35189,243.1483,12.885663489761791,3.344315,True,False,True,16,asid_35189,True,,,
N-C11:0-glycine,glycine,11,short_medium_chain,C13H25N1O3,[M+H]+,244.19072012089998,12414,244.1899,-3.358526071677892,5.538476,True,False,True,10,asid_12414,True,,,
N-C8:0-valine,valine,8,short_medium_chain,C13H25N1O3,[M+H]+,244.19072012089998,12414,244.1899,-3.358526071677892,5.538476,True,False,True,10,asid_12414,True,,,
N-C10:0-alanine,alanine,10,short_medium_chain,C13H25N1O3,[M+H]+,244.19072012089998,12414,244.1899,-3.358526071677892,5.538476,True,False,True,10,asid_12414,True,,,
N-C7:0-isoleucine,isoleucine,7,short_medium_chain,C13H25N1O3,[M+H]+,244.19072012089998,12414,244.1899,-3.358526071677892,5.538476,True,False,True,10,asid_12414,True,,,
N-C7:0-leucine,leucine,7,short_medium_chain,C13H25N1O3,[M+H]+,244.19072012089998,12414,244.1899,-3.358526071677892,5.538476,True,False,True,10,asid_12414,True,,,
N-C7:0-asparagine,asparagine,7,short_medium_chain,C11H20N2O4,[M+H]+,245.1495835887,8100,245.153,13.936027342849865,4.563888,True,True,True,18,asid_235,False,,,
N-C6:0-glutamine,glutamine,6,short_medium_chain,C11H20N2O4,[M+H]+,245.1495835887,8100,245.153,13.936027342849865,4.563888,True,True,True,18,asid_235,False,,,
N-C7:0-proline,proline,7,short_medium_chain,C12H21N1O3,[M+NH4]+,245.1859690942,456,245.1855,-1.9132179616428904,0.811368,True,True,True,229,asid_4258,True,Dipeptides,2-[(2-amino-1-hydroxy-4-methylpentylidene)amino]-3-methylpentanoic acid,C12H24N2O3
N-C7:0-proline,proline,7,short_medium_chain,C12H21N1O3,[M+NH4]+,245.1859690942,536,245.1855,-1.9132179616428904,0.936817,True,True,True,263,asid_4125,True,Dipeptides,2-[(2-amino-1-hydroxy-4-methylpentylidene)amino]-3-methylpentanoic acid,C12H24N2O3
N-C7:0-proline,proline,7,short_medium_chain,C12H21N1O3,[M+NH4]+,245.1859690942,578,245.1855,-1.9132179616428904,0.62851,True,False,True,28,asid_578,True,Dipeptides,2-[(2-amino-1-hydroxy-4-methylpentylidene)amino]-3-methylpentanoic acid,C12H24N2O3
N-C7:0-proline,proline,7,short_medium_chain,C12H21N1O3,[M+NH4]+,245.1859690942,3721,245.1855,-1.9132179616428904,1.65934,True,True,True,45,asid_521,True,,,
N-C7:0-proline,proline,7,short_medium_chain,C12H21N1O3,[M+NH4]+,245.1859690942,3937,245.1853,-2.728925323353209,1.752,True,True,True,98,asid_7160,True,,,
