compound,headgroup,acyl_n,formula,neutral_mass,adduct,target_mz
N-C10:0-tryptamine,tryptamine,10,C20H30N2O1,314.2358135895,[M+NH4]+,332.26963914230004
N-C9:0-serotonin,serotonin,9,C19H28N2O2,316.2150781478,[M+NH4]+,334.2489037006
N-C14:0-taurine,taurine,14,C16H33N1O4S1,335.21302923630003,[M+H]+,336.2203056882
N-C14:0-GABA,GABA,14,C18H35N1O3,313.261693988,[M+Na]+,336.25091468799997
N-C12:0-dopamine,dopamine,12,C20H33N1O3,335.2460439242,[M+H]+,336.2533203761
N-C17:0-ethanolamine,ethanolamine,17,C19H39N1O2,313.2980794935,[M+Na]+,336.28730019349996
N-C10:0-tryptamine,tryptamine,10,C20H30N2O1,314.2358135895,[M+Na]+,337.2250342895
N-C9:0-serotonin,serotonin,9,C19H28N2O2,316.2150781478,[M+Na]+,339.2042988478
N-C13:0-taurine,taurine,13,C15H31N1O4S1,321.1973791725,[M+NH4]+,339.2312047253
N-C11:0-dopamine,dopamine,11,C19H31N1O3,321.2303938604,[M+NH4]+,339.2642194132
N-C16:0-GABA,GABA,16,C20H39N1O3,341.2929941156,[M+H]+,342.3002705675
N-C19:0-ethanolamine,ethanolamine,19,C21H43N1O2,341.3293796211,[M+H]+,342.336656073
N-C12:0-tryptamine,tryptamine,12,C22H34N2O1,342.2671137171,[M+H]+,343.274390169
N-C13:0-taurine,taurine,13,C15H31N1O4S1,321.1973791725,[M+Na]+,344.1865998725
N-C11:0-dopamine,dopamine,11,C19H31N1O3,321.2303938604,[M+Na]+,344.2196145604
N-C11:0-serotonin,serotonin,11,C21H32N2O2,344.2463782754,[M+H]+,345.2536547273
N-C15:0-GABA,GABA,15,C19H37N1O3,327.2773440518,[M+NH4]+,345.3111696046
N-C18:0-ethanolamine,ethanolamine,18,C20H41N1O2,327.3137295573,[M+NH4]+,345.3475551101
N-C11:0-tryptamine,tryptamine,11,C21H32N2O1,328.2514636533,[M+NH4]+,346.2852892061
N-C10:0-serotonin,serotonin,10,C20H30N2O2,330.2307282116,[M+NH4]+,348.26455376440003
N-C15:0-taurine,taurine,15,C17H35N1O4S1,349.2286793001,[M+H]+,350.235955752
N-C15:0-GABA,GABA,15,C19H37N1O3,327.2773440518,[M+Na]+,350.2665647518
N-C13:0-dopamine,dopamine,13,C21H35N1O3,349.261693988,[M+H]+,350.2689704399
N-C18:0-ethanolamine,ethanolamine,18,C20H41N1O2,327.3137295573,[M+Na]+,350.3029502573
N-C11:0-tryptamine,tryptamine,11,C21H32N2O1,328.2514636533,[M+Na]+,351.24068435329997
N-C10:0-serotonin,serotonin,10,C20H30N2O2,330.2307282116,[M+Na]+,353.2199489116
N-C14:0-taurine,taurine,14,C16H33N1O4S1,335.21302923630003,[M+NH4]+,353.24685478910004
N-C12:0-dopamine,dopamine,12,C20H33N1O3,335.2460439242,[M+NH4]+,353.27986947700003
N-C17:0-GABA,GABA,17,C21H41N1O3,355.3086441794,[M+H]+,356.3159206313
N-C20:0-ethanolamine,ethanolamine,20,C22H45N1O2,355.3450296849,[M+H]+,356.3523061368
N-C13:0-tryptamine,tryptamine,13,C23H36N2O1,356.2827637809,[M+H]+,357.2900402328
N-C14:0-taurine,taurine,14,C16H33N1O4S1,335.21302923630003,[M+Na]+,358.2022499363
N-C12:0-dopamine,dopamine,12,C20H33N1O3,335.2460439242,[M+Na]+,358.2352646242
N-C12:0-serotonin,serotonin,12,C22H34N2O2,358.2620283392,[M+H]+,359.2693047911
N-C16:0-GABA,GABA,16,C20H39N1O3,341.2929941156,[M+NH4]+,359.3268196684
N-C19:0-ethanolamine,ethanolamine,19,C21H43N1O2,341.3293796211,[M+NH4]+,359.3632051739
N-C12:0-tryptamine,tryptamine,12,C22H34N2O1,342.2671137171,[M+NH4]+,360.3009392699
N-C11:0-serotonin,serotonin,11,C21H32N2O2,344.2463782754,[M+NH4]+,362.2802038282
N-C16:0-taurine,taurine,16,C18H37N1O4S1,363.2443293639,[M+H]+,364.2516058158
N-C16:0-GABA,GABA,16,C20H39N1O3,341.2929941156,[M+Na]+,364.28221481559996
N-C14:0-dopamine,dopamine,14,C22H37N1O3,363.2773440518,[M+H]+,364.2846205037
N-C19:0-ethanolamine,ethanolamine,19,C21H43N1O2,341.3293796211,[M+Na]+,364.31860032109995
N-C12:0-tryptamine,tryptamine,12,C22H34N2O1,342.2671137171,[M+Na]+,365.2563344171
N-C11:0-serotonin,serotonin,11,C21H32N2O2,344.2463782754,[M+Na]+,367.23559897539997
N-C15:0-taurine,taurine,15,C17H35N1O4S1,349.2286793001,[M+NH4]+,367.2625048529
N-C13:0-dopamine,dopamine,13,C21H35N1O3,349.261693988,[M+NH4]+,367.2955195408
N-C18:0-GABA,GABA,18,C22H43N1O3,369.3242942432,[M+H]+,370.33157069509997
N-C21:0-ethanolamine,ethanolamine,21,C23H47N1O2,369.3606797487,[M+H]+,370.3679562006
N-C14:0-tryptamine,tryptamine,14,C24H38N2O1,370.2984138447,[M+H]+,371.3056902966
N-C15:0-taurine,taurine,15,C17H35N1O4S1,349.2286793001,[M+Na]+,372.2179000001
N-C13:0-dopamine,dopamine,13,C21H35N1O3,349.261693988,[M+Na]+,372.25091468799997
N-C13:0-serotonin,serotonin,13,C23H36N2O2,372.277678403,[M+H]+,373.2849548549
N-C17:0-GABA,GABA,17,C21H41N1O3,355.3086441794,[M+NH4]+,373.3424697322
N-C20:0-ethanolamine,ethanolamine,20,C22H45N1O2,355.3450296849,[M+NH4]+,373.3788552377
N-C13:0-tryptamine,tryptamine,13,C23H36N2O1,356.2827637809,[M+NH4]+,374.3165893337
N-C12:0-serotonin,serotonin,12,C22H34N2O2,358.2620283392,[M+NH4]+,376.295853892
N-C17:0-taurine,taurine,17,C19H39N1O4S1,377.2599794277,[M+H]+,378.2672558796
N-C17:0-GABA,GABA,17,C21H41N1O3,355.3086441794,[M+Na]+,378.2978648794
N-C15:0-dopamine,dopamine,15,C23H39N1O3,377.2929941156,[M+H]+,378.3002705675
N-C20:0-ethanolamine,ethanolamine,20,C22H45N1O2,355.3450296849,[M+Na]+,378.3342503849
N-C13:0-tryptamine,tryptamine,13,C23H36N2O1,356.2827637809,[M+Na]+,379.27198448089996
N-C12:0-serotonin,serotonin,12,C22H34N2O2,358.2620283392,[M+Na]+,381.2512490392
N-C16:0-taurine,taurine,16,C18H37N1O4S1,363.2443293639,[M+NH4]+,381.27815491670003
N-C14:0-dopamine,dopamine,14,C22H37N1O3,363.2773440518,[M+NH4]+,381.3111696046
N-C19:0-GABA,GABA,19,C23H45N1O3,383.339944307,[M+H]+,384.3472207589
N-C22:0-ethanolamine,ethanolamine,22,C24H49N1O2,383.3763298125,[M+H]+,384.3836062644
N-C15:0-tryptamine,tryptamine,15,C25H40N2O1,384.31406390850003,[M+H]+,385.32134036040003
N-C16:0-taurine,taurine,16,C18H37N1O4S1,363.2443293639,[M+Na]+,386.2335500639
N-C14:0-dopamine,dopamine,14,C22H37N1O3,363.2773440518,[M+Na]+,386.2665647518
N-C14:0-serotonin,serotonin,14,C24H38N2O2,386.2933284668,[M+H]+,387.3006049187
N-C18:0-GABA,GABA,18,C22H43N1O3,369.3242942432,[M+NH4]+,387.358119796
N-C21:0-ethanolamine,ethanolamine,21,C23H47N1O2,369.3606797487,[M+NH4]+,387.39450530150003
N-C14:0-tryptamine,tryptamine,14,C24H38N2O1,370.2984138447,[M+NH4]+,388.3322393975
N-C13:0-serotonin,serotonin,13,C23H36N2O2,372.277678403,[M+NH4]+,390.3115039558
N-C18:0-taurine,taurine,18,C20H41N1O4S1,391.2756294915,[M+H]+,392.2829059434
N-C18:0-GABA,GABA,18,C22H43N1O3,369.3242942432,[M+Na]+,392.31351494319995
N-C16:0-dopamine,dopamine,16,C24H41N1O3,391.3086441794,[M+H]+,392.3159206313
N-C21:0-ethanolamine,ethanolamine,21,C23H47N1O2,369.3606797487,[M+Na]+,392.3499004487
N-C14:0-tryptamine,tryptamine,14,C24H38N2O1,370.2984138447,[M+Na]+,393.2876345447
N-C13:0-serotonin,serotonin,13,C23H36N2O2,372.277678403,[M+Na]+,395.26689910299996
N-C17:0-taurine,taurine,17,C19H39N1O4S1,377.2599794277,[M+NH4]+,395.2938049805
N-C15:0-dopamine,dopamine,15,C23H39N1O3,377.2929941156,[M+NH4]+,395.3268196684
N-C20:0-GABA,GABA,20,C24H47N1O3,397.3555943708,[M+H]+,398.3628708227
N-C16:0-tryptamine,tryptamine,16,C26H42N2O1,398.3297139723,[M+H]+,399.3369904242
N-C17:0-taurine,taurine,17,C19H39N1O4S1,377.2599794277,[M+Na]+,400.24920012769996
N-C15:0-dopamine,dopamine,15,C23H39N1O3,377.2929941156,[M+Na]+,400.28221481559996
N-C15:0-serotonin,serotonin,15,C25H40N2O2,400.30897853060003,[M+H]+,401.3162549825
N-C19:0-GABA,GABA,19,C23H45N1O3,383.339944307,[M+NH4]+,401.3737698598
N-C22:0-ethanolamine,ethanolamine,22,C24H49N1O2,383.3763298125,[M+NH4]+,401.4101553653
N-C15:0-tryptamine,tryptamine,15,C25H40N2O1,384.31406390850003,[M+NH4]+,402.34788946130004
N-C14:0-serotonin,serotonin,14,C24H38N2O2,386.2933284668,[M+NH4]+,404.3271540196
N-C19:0-taurine,taurine,19,C21H43N1O4S1,405.2912795553,[M+H]+,406.2985560072
N-C19:0-GABA,GABA,19,C23H45N1O3,383.339944307,[M+Na]+,406.329165007
N-C17:0-dopamine,dopamine,17,C25H43N1O3,405.3242942432,[M+H]+,406.33157069509997
N-C22:0-ethanolamine,ethanolamine,22,C24H49N1O2,383.3763298125,[M+Na]+,406.36555051249996
N-C15:0-tryptamine,tryptamine,15,C25H40N2O1,384.31406390850003,[M+Na]+,407.3032846085
N-C14:0-serotonin,serotonin,14,C24H38N2O2,386.2933284668,[M+Na]+,409.2825491668
N-C18:0-taurine,taurine,18,C20H41N1O4S1,391.2756294915,[M+NH4]+,409.3094550443
N-C16:0-dopamine,dopamine,16,C24H41N1O3,391.3086441794,[M+NH4]+,409.3424697322
N-C21:0-GABA,GABA,21,C25H49N1O3,411.3712444346,[M+H]+,412.3785208865
N-C17:0-tryptamine,tryptamine,17,C27H44N2O1,412.3453640361,[M+H]+,413.352640488
N-C18:0-taurine,taurine,18,C20H41N1O4S1,391.2756294915,[M+Na]+,414.2648501915
N-C16:0-dopamine,dopamine,16,C24H41N1O3,391.3086441794,[M+Na]+,414.2978648794
N-C16:0-serotonin,serotonin,16,C26H42N2O2,414.3246285944,[M+H]+,415.3319050463
N-C20:0-GABA,GABA,20,C24H47N1O3,397.3555943708,[M+NH4]+,415.38941992360003
N-C16:0-tryptamine,tryptamine,16,C26H42N2O1,398.3297139723,[M+NH4]+,416.3635395251
N-C15:0-serotonin,serotonin,15,C25H40N2O2,400.30897853060003,[M+NH4]+,418.34280408340004
N-C20:0-taurine,taurine,20,C22H45N1O4S1,419.3069296191,[M+H]+,420.314206071
N-C20:0-GABA,GABA,20,C24H47N1O3,397.3555943708,[M+Na]+,420.3448150708
N-C18:0-dopamine,dopamine,18,C26H45N1O3,419.339944307,[M+H]+,420.3472207589
N-C16:0-tryptamine,tryptamine,16,C26H42N2O1,398.3297139723,[M+Na]+,421.3189346723
N-C15:0-serotonin,serotonin,15,C25H40N2O2,400.30897853060003,[M+Na]+,423.2981992306
N-C19:0-taurine,taurine,19,C21H43N1O4S1,405.2912795553,[M+NH4]+,423.3251051081
N-C17:0-dopamine,dopamine,17,C25H43N1O3,405.3242942432,[M+NH4]+,423.358119796
N-C22:0-GABA,GABA,22,C26H51N1O3,425.3868944984,[M+H]+,426.3941709503
N-C18:0-tryptamine,tryptamine,18,C28H46N2O1,426.3610140999,[M+H]+,427.3682905518
N-C19:0-taurine,taurine,19,C21H43N1O4S1,405.2912795553,[M+Na]+,428.28050025529996
N-C17:0-dopamine,dopamine,17,C25H43N1O3,405.3242942432,[M+Na]+,428.31351494319995
N-C17:0-serotonin,serotonin,17,C27H44N2O2,428.3402786582,[M+H]+,429.3475551101
N-C21:0-GABA,GABA,21,C25H49N1O3,411.3712444346,[M+NH4]+,429.4050699874
N-C17:0-tryptamine,tryptamine,17,C27H44N2O1,412.3453640361,[M+NH4]+,430.37918958890003
N-C16:0-serotonin,serotonin,16,C26H42N2O2,414.3246285944,[M+NH4]+,432.3584541472
N-C21:0-taurine,taurine,21,C23H47N1O4S1,433.3225796829,[M+H]+,434.3298561348
N-C21:0-GABA,GABA,21,C25H49N1O3,411.3712444346,[M+Na]+,434.36046513459996
N-C19:0-dopamine,dopamine,19,C27H47N1O3,433.3555943708,[M+H]+,434.3628708227
N-C17:0-tryptamine,tryptamine,17,C27H44N2O1,412.3453640361,[M+Na]+,435.3345847361
N-C16:0-serotonin,serotonin,16,C26H42N2O2,414.3246285944,[M+Na]+,437.3138492944
N-C20:0-taurine,taurine,20,C22H45N1O4S1,419.3069296191,[M+NH4]+,437.3407551719
N-C18:0-dopamine,dopamine,18,C26H45N1O3,419.339944307,[M+NH4]+,437.3737698598
N-C19:0-tryptamine,tryptamine,19,C29H48N2O1,440.3766641637,[M+H]+,441.3839406156
N-C20:0-taurine,taurine,20,C22H45N1O4S1,419.3069296191,[M+Na]+,442.2961503191
N-C18:0-dopamine,dopamine,18,C26H45N1O3,419.339944307,[M+Na]+,442.329165007
N-C18:0-serotonin,serotonin,18,C28H46N2O2,442.355928722,[M+H]+,443.3632051739
N-C22:0-GABA,GABA,22,C26H51N1O3,425.3868944984,[M+NH4]+,443.4207200512
N-C18:0-tryptamine,tryptamine,18,C28H46N2O1,426.3610140999,[M+NH4]+,444.3948396527
N-C17:0-serotonin,serotonin,17,C27H44N2O2,428.3402786582,[M+NH4]+,446.37410421100003
N-C22:0-taurine,taurine,22,C24H49N1O4S1,447.3382297467,[M+H]+,448.3455061986
N-C22:0-GABA,GABA,22,C26H51N1O3,425.3868944984,[M+Na]+,448.3761151984
N-C20:0-dopamine,dopamine,20,C28H49N1O3,447.3712444346,[M+H]+,448.3785208865
N-C18:0-tryptamine,tryptamine,18,C28H46N2O1,426.3610140999,[M+Na]+,449.35023479989997
N-C17:0-serotonin,serotonin,17,C27H44N2O2,428.3402786582,[M+Na]+,451.3294993582
N-C21:0-taurine,taurine,21,C23H47N1O4S1,433.3225796829,[M+NH4]+,451.35640523570004
N-C19:0-dopamine,dopamine,19,C27H47N1O3,433.3555943708,[M+NH4]+,451.38941992360003
N-C20:0-tryptamine,tryptamine,20,C30H50N2O1,454.3923142275,[M+H]+,455.3995906794
N-C21:0-taurine,taurine,21,C23H47N1O4S1,433.3225796829,[M+Na]+,456.3118003829
N-C19:0-dopamine,dopamine,19,C27H47N1O3,433.3555943708,[M+Na]+,456.3448150708
N-C19:0-serotonin,serotonin,19,C29H48N2O2,456.3715787858,[M+H]+,457.3788552377
N-C19:0-tryptamine,tryptamine,19,C29H48N2O1,440.3766641637,[M+NH4]+,458.4104897165
N-C18:0-serotonin,serotonin,18,C28H46N2O2,442.355928722,[M+NH4]+,460.3897542748
N-C21:0-dopamine,dopamine,21,C29H51N1O3,461.3868944984,[M+H]+,462.3941709503
N-C19:0-tryptamine,tryptamine,19,C29H48N2O1,440.3766641637,[M+Na]+,463.3658848637
N-C18:0-serotonin,serotonin,18,C28H46N2O2,442.355928722,[M+Na]+,465.34514942199996
N-C22:0-taurine,taurine,22,C24H49N1O4S1,447.3382297467,[M+NH4]+,465.3720552995
N-C20:0-dopamine,dopamine,20,C28H49N1O3,447.3712444346,[M+NH4]+,465.4050699874
N-C21:0-tryptamine,tryptamine,21,C31H52N2O1,468.4079642913,[M+H]+,469.4152407432
N-C22:0-taurine,taurine,22,C24H49N1O4S1,447.3382297467,[M+Na]+,470.32745044669997
N-C20:0-dopamine,dopamine,20,C28H49N1O3,447.3712444346,[M+Na]+,470.36046513459996
N-C20:0-serotonin,serotonin,20,C30H50N2O2,470.3872288496,[M+H]+,471.3945053015
N-C20:0-tryptamine,tryptamine,20,C30H50N2O1,454.3923142275,[M+NH4]+,472.4261397803
N-C19:0-serotonin,serotonin,19,C29H48N2O2,456.3715787858,[M+NH4]+,474.4054043386
N-C22:0-dopamine,dopamine,22,C30H53N1O3,475.4025445622,[M+H]+,476.4098210141
N-C20:0-tryptamine,tryptamine,20,C30H50N2O1,454.3923142275,[M+Na]+,477.38153492749996
N-C19:0-serotonin,serotonin,19,C29H48N2O2,456.3715787858,[M+Na]+,479.3607994858
N-C21:0-dopamine,dopamine,21,C29H51N1O3,461.3868944984,[M+NH4]+,479.4207200512
N-C22:0-tryptamine,tryptamine,22,C32H54N2O1,482.4236143551,[M+H]+,483.430890807
N-C21:0-dopamine,dopamine,21,C29H51N1O3,461.3868944984,[M+Na]+,484.3761151984
N-C21:0-serotonin,serotonin,21,C31H52N2O2,484.4028789134,[M+H]+,485.4101553653
N-C21:0-tryptamine,tryptamine,21,C31H52N2O1,468.4079642913,[M+NH4]+,486.4417898441
N-C20:0-serotonin,serotonin,20,C30H50N2O2,470.3872288496,[M+NH4]+,488.4210544024
N-C21:0-tryptamine,tryptamine,21,C31H52N2O1,468.4079642913,[M+Na]+,491.3971849913
N-C20:0-serotonin,serotonin,20,C30H50N2O2,470.3872288496,[M+Na]+,493.37644954959995
N-C22:0-dopamine,dopamine,22,C30H53N1O3,475.4025445622,[M+NH4]+,493.436370115
N-C22:0-dopamine,dopamine,22,C30H53N1O3,475.4025445622,[M+Na]+,498.39176526219995
N-C22:0-serotonin,serotonin,22,C32H54N2O2,498.4185289772,[M+H]+,499.4258054291
N-C22:0-tryptamine,tryptamine,22,C32H54N2O1,482.4236143551,[M+NH4]+,500.45743990790004
N-C21:0-serotonin,serotonin,21,C31H52N2O2,484.4028789134,[M+NH4]+,502.4367044662
N-C22:0-tryptamine,tryptamine,22,C32H54N2O1,482.4236143551,[M+Na]+,505.4128350551
N-C21:0-serotonin,serotonin,21,C31H52N2O2,484.4028789134,[M+Na]+,507.3920996134
N-C22:0-serotonin,serotonin,22,C32H54N2O2,498.4185289772,[M+NH4]+,516.45235453
N-C22:0-serotonin,serotonin,22,C32H54N2O2,498.4185289772,[M+Na]+,521.4077496772001
