compound,lcb,fa_variant,acyl_n,formula,neutral_mass,adduct,target_mz
dihydrosphingosine/2-hydroxy-C16:0-ceramide,dihydrosphingosine,2-hydroxy,16,C34H69N1O4,555.5226596947,[M+Na]+,578.5118803947
phytosphingosine/plain-C18:0-ceramide,phytosphingosine,plain,18,C36H73N1O4,583.5539598222999,[M+H]+,584.5612362741999
dihydrosphingosine/2-hydroxy-C18:0-ceramide,dihydrosphingosine,2-hydroxy,18,C36H73N1O4,583.5539598222999,[M+H]+,584.5612362741999
dihydrosphingosine/plain-C18:0-ceramide,dihydrosphingosine,plain,18,C36H73N1O3,567.5590452002,[M+NH4]+,585.5928707529999
phytosphingosine/2-hydroxy-C16:0-ceramide,phytosphingosine,2-hydroxy,16,C34H69N1O5,571.5175743168,[M+NH4]+,589.5513998696
dihydrosphingosine/plain-C18:0-ceramide,dihydrosphingosine,plain,18,C36H73N1O3,567.5590452002,[M+Na]+,590.5482659002
phytosphingosine/2-hydroxy-C16:0-ceramide,phytosphingosine,2-hydroxy,16,C34H69N1O5,571.5175743168,[M+Na]+,594.5067950168001
dihydrosphingosine/plain-C20:0-ceramide,dihydrosphingosine,plain,20,C38H77N1O3,595.5903453278,[M+H]+,596.5976217797
phytosphingosine/2-hydroxy-C18:0-ceramide,phytosphingosine,2-hydroxy,18,C36H73N1O5,599.5488744444,[M+H]+,600.5561508963
dihydrosphingosine/2-hydroxy-C18:0-ceramide,dihydrosphingosine,2-hydroxy,18,C36H73N1O4,583.5539598222999,[M+NH4]+,601.5877853750999
phytosphingosine/plain-C18:0-ceramide,phytosphingosine,plain,18,C36H73N1O4,583.5539598222999,[M+NH4]+,601.5877853750999
phytosphingosine/plain-C18:0-ceramide,phytosphingosine,plain,18,C36H73N1O4,583.5539598222999,[M+Na]+,606.5431805223
dihydrosphingosine/2-hydroxy-C18:0-ceramide,dihydrosphingosine,2-hydroxy,18,C36H73N1O4,583.5539598222999,[M+Na]+,606.5431805223
dihydrosphingosine/2-hydroxy-C20:0-ceramide,dihydrosphingosine,2-hydroxy,20,C38H77N1O4,611.5852599499,[M+H]+,612.5925364018
phytosphingosine/plain-C20:0-ceramide,phytosphingosine,plain,20,C38H77N1O4,611.5852599499,[M+H]+,612.5925364018
dihydrosphingosine/plain-C20:0-ceramide,dihydrosphingosine,plain,20,C38H77N1O3,595.5903453278,[M+NH4]+,613.6241708806
phytosphingosine/2-hydroxy-C18:0-ceramide,phytosphingosine,2-hydroxy,18,C36H73N1O5,599.5488744444,[M+NH4]+,617.5826999971999
dihydrosphingosine/plain-C20:0-ceramide,dihydrosphingosine,plain,20,C38H77N1O3,595.5903453278,[M+Na]+,618.5795660278001
phytosphingosine/2-hydroxy-C18:0-ceramide,phytosphingosine,2-hydroxy,18,C36H73N1O5,599.5488744444,[M+Na]+,622.5380951444
dihydrosphingosine/plain-C22:0-ceramide,dihydrosphingosine,plain,22,C40H81N1O3,623.6216454554001,[M+H]+,624.6289219073001
phytosphingosine/2-hydroxy-C20:0-ceramide,phytosphingosine,2-hydroxy,20,C38H77N1O5,627.580174572,[M+H]+,628.5874510239
dihydrosphingosine/2-hydroxy-C20:0-ceramide,dihydrosphingosine,2-hydroxy,20,C38H77N1O4,611.5852599499,[M+NH4]+,629.6190855026999
phytosphingosine/plain-C20:0-ceramide,phytosphingosine,plain,20,C38H77N1O4,611.5852599499,[M+NH4]+,629.6190855026999
dihydrosphingosine/2-hydroxy-C20:0-ceramide,dihydrosphingosine,2-hydroxy,20,C38H77N1O4,611.5852599499,[M+Na]+,634.5744806499
phytosphingosine/plain-C20:0-ceramide,phytosphingosine,plain,20,C38H77N1O4,611.5852599499,[M+Na]+,634.5744806499
dihydrosphingosine/2-hydroxy-C22:0-ceramide,dihydrosphingosine,2-hydroxy,22,C40H81N1O4,639.6165600775,[M+H]+,640.6238365294
phytosphingosine/plain-C22:0-ceramide,phytosphingosine,plain,22,C40H81N1O4,639.6165600775,[M+H]+,640.6238365294
dihydrosphingosine/plain-C22:0-ceramide,dihydrosphingosine,plain,22,C40H81N1O3,623.6216454554001,[M+NH4]+,641.6554710082
phytosphingosine/2-hydroxy-C20:0-ceramide,phytosphingosine,2-hydroxy,20,C38H77N1O5,627.580174572,[M+NH4]+,645.6140001248
dihydrosphingosine/plain-C22:0-ceramide,dihydrosphingosine,plain,22,C40H81N1O3,623.6216454554001,[M+Na]+,646.6108661554001
phytosphingosine/2-hydroxy-C20:0-ceramide,phytosphingosine,2-hydroxy,20,C38H77N1O5,627.580174572,[M+Na]+,650.5693952720001
dihydrosphingosine/plain-C24:0-ceramide,dihydrosphingosine,plain,24,C42H85N1O3,651.652945583,[M+H]+,652.6602220349
phytosphingosine/2-hydroxy-C22:0-ceramide,phytosphingosine,2-hydroxy,22,C40H81N1O5,655.6114746996001,[M+H]+,656.6187511515001
dihydrosphingosine/2-hydroxy-C22:0-ceramide,dihydrosphingosine,2-hydroxy,22,C40H81N1O4,639.6165600775,[M+NH4]+,657.6503856303
phytosphingosine/plain-C22:0-ceramide,phytosphingosine,plain,22,C40H81N1O4,639.6165600775,[M+NH4]+,657.6503856303
phytosphingosine/plain-C22:0-ceramide,phytosphingosine,plain,22,C40H81N1O4,639.6165600775,[M+Na]+,662.6057807775001
dihydrosphingosine/2-hydroxy-C22:0-ceramide,dihydrosphingosine,2-hydroxy,22,C40H81N1O4,639.6165600775,[M+Na]+,662.6057807775001
phytosphingosine/plain-C24:0-ceramide,phytosphingosine,plain,24,C42H85N1O4,667.6478602051,[M+H]+,668.655136657
dihydrosphingosine/2-hydroxy-C24:0-ceramide,dihydrosphingosine,2-hydroxy,24,C42H85N1O4,667.6478602051,[M+H]+,668.655136657
dihydrosphingosine/plain-C24:0-ceramide,dihydrosphingosine,plain,24,C42H85N1O3,651.652945583,[M+NH4]+,669.6867711358
phytosphingosine/2-hydroxy-C22:0-ceramide,phytosphingosine,2-hydroxy,22,C40H81N1O5,655.6114746996001,[M+NH4]+,673.6453002524
dihydrosphingosine/plain-C24:0-ceramide,dihydrosphingosine,plain,24,C42H85N1O3,651.652945583,[M+Na]+,674.642166283
phytosphingosine/2-hydroxy-C22:0-ceramide,phytosphingosine,2-hydroxy,22,C40H81N1O5,655.6114746996001,[M+Na]+,678.6006953996001
dihydrosphingosine/plain-C26:0-ceramide,dihydrosphingosine,plain,26,C44H89N1O3,679.6842457106001,[M+H]+,680.6915221625001
phytosphingosine/2-hydroxy-C24:0-ceramide,phytosphingosine,2-hydroxy,24,C42H85N1O5,683.6427748272,[M+H]+,684.6500512791
dihydrosphingosine/2-hydroxy-C24:0-ceramide,dihydrosphingosine,2-hydroxy,24,C42H85N1O4,667.6478602051,[M+NH4]+,685.6816857578999
phytosphingosine/plain-C24:0-ceramide,phytosphingosine,plain,24,C42H85N1O4,667.6478602051,[M+NH4]+,685.6816857578999
phytosphingosine/plain-C24:0-ceramide,phytosphingosine,plain,24,C42H85N1O4,667.6478602051,[M+Na]+,690.6370809051
dihydrosphingosine/2-hydroxy-C24:0-ceramide,dihydrosphingosine,2-hydroxy,24,C42H85N1O4,667.6478602051,[M+Na]+,690.6370809051
dihydrosphingosine/2-hydroxy-C26:0-ceramide,dihydrosphingosine,2-hydroxy,26,C44H89N1O4,695.6791603327,[M+H]+,696.6864367846
phytosphingosine/plain-C26:0-ceramide,phytosphingosine,plain,26,C44H89N1O4,695.6791603327,[M+H]+,696.6864367846
dihydrosphingosine/plain-C26:0-ceramide,dihydrosphingosine,plain,26,C44H89N1O3,679.6842457106001,[M+NH4]+,697.7180712634
phytosphingosine/2-hydroxy-C24:0-ceramide,phytosphingosine,2-hydroxy,24,C42H85N1O5,683.6427748272,[M+NH4]+,701.67660038
dihydrosphingosine/plain-C26:0-ceramide,dihydrosphingosine,plain,26,C44H89N1O3,679.6842457106001,[M+Na]+,702.6734664106001
phytosphingosine/2-hydroxy-C24:0-ceramide,phytosphingosine,2-hydroxy,24,C42H85N1O5,683.6427748272,[M+Na]+,706.6319955272
phytosphingosine/2-hydroxy-C26:0-ceramide,phytosphingosine,2-hydroxy,26,C44H89N1O5,711.6740749548001,[M+H]+,712.6813514067001
dihydrosphingosine/2-hydroxy-C26:0-ceramide,dihydrosphingosine,2-hydroxy,26,C44H89N1O4,695.6791603327,[M+NH4]+,713.7129858855
phytosphingosine/plain-C26:0-ceramide,phytosphingosine,plain,26,C44H89N1O4,695.6791603327,[M+NH4]+,713.7129858855
phytosphingosine/plain-C26:0-ceramide,phytosphingosine,plain,26,C44H89N1O4,695.6791603327,[M+Na]+,718.6683810327
dihydrosphingosine/2-hydroxy-C26:0-ceramide,dihydrosphingosine,2-hydroxy,26,C44H89N1O4,695.6791603327,[M+Na]+,718.6683810327
phytosphingosine/2-hydroxy-C26:0-ceramide,phytosphingosine,2-hydroxy,26,C44H89N1O5,711.6740749548001,[M+NH4]+,729.7079005076
phytosphingosine/2-hydroxy-C26:0-ceramide,phytosphingosine,2-hydroxy,26,C44H89N1O5,711.6740749548001,[M+Na]+,734.6632956548001
