compound,category,formula,neutral_mass,adduct,target_mz
3-oxo-C14-HSL,long_chain,C18H31NO4,325.2253084825,[M+NH4]+,343.2591340353
C15-HSL,long_chain,C19H35NO3,325.261693988,[M+NH4]+,343.2955195408
3-hydroxy-C14-HSL,long_chain,C18H33NO4,327.24095854629996,[M+NH4]+,345.2747840991
3-oxo-C14-HSL,long_chain,C18H31NO4,325.2253084825,[M+Na]+,348.2145291825
C15-HSL,long_chain,C19H35NO3,325.261693988,[M+Na]+,348.25091468799997
3-hydroxy-C14-HSL,long_chain,C18H33NO4,327.24095854629996,[M+Na]+,350.23017924629994
3-oxo-C16-HSL,long_chain,C20H35NO4,353.2566086101,[M+H]+,354.263885062
C17-HSL,long_chain,C21H39NO3,353.2929941156,[M+H]+,354.3002705675
3-hydroxy-C16-HSL,long_chain,C20H37NO4,355.2722586739,[M+H]+,356.2795351258
3-oxo-C15-HSL,long_chain,C19H33NO4,339.2409585463,[M+NH4]+,357.27478409910003
C16-HSL,long_chain,C20H37NO3,339.2773440518,[M+NH4]+,357.3111696046
3-hydroxy-C15-HSL,long_chain,C19H35NO4,341.2566086101,[M+NH4]+,359.2904341629
3-oxo-C15-HSL,long_chain,C19H33NO4,339.2409585463,[M+Na]+,362.2301792463
C16-HSL,long_chain,C20H37NO3,339.2773440518,[M+Na]+,362.2665647518
3-hydroxy-C15-HSL,long_chain,C19H35NO4,341.2566086101,[M+Na]+,364.24582931009996
3-oxo-C17-HSL,long_chain,C21H37NO4,367.2722586739,[M+H]+,368.2795351258
C18-HSL,long_chain,C22H41NO3,367.3086441794,[M+H]+,368.3159206313
3-hydroxy-C17-HSL,long_chain,C21H39NO4,369.2879087377,[M+H]+,370.2951851896
3-oxo-C16-HSL,long_chain,C20H35NO4,353.2566086101,[M+NH4]+,371.2904341629
C17-HSL,long_chain,C21H39NO3,353.2929941156,[M+NH4]+,371.3268196684
3-hydroxy-C16-HSL,long_chain,C20H37NO4,355.2722586739,[M+NH4]+,373.3060842267
3-oxo-C16-HSL,long_chain,C20H35NO4,353.2566086101,[M+Na]+,376.24582931009996
C17-HSL,long_chain,C21H39NO3,353.2929941156,[M+Na]+,376.28221481559996
3-hydroxy-C16-HSL,long_chain,C20H37NO4,355.2722586739,[M+Na]+,378.2614793739
3-oxo-C18-HSL,long_chain,C22H39NO4,381.2879087377,[M+H]+,382.2951851896
3-hydroxy-C18-HSL,long_chain,C22H41NO4,383.3035588015,[M+H]+,384.3108352534
3-oxo-C17-HSL,long_chain,C21H37NO4,367.2722586739,[M+NH4]+,385.3060842267
C18-HSL,long_chain,C22H41NO3,367.3086441794,[M+NH4]+,385.3424697322
3-hydroxy-C17-HSL,long_chain,C21H39NO4,369.2879087377,[M+NH4]+,387.3217342905
3-oxo-C17-HSL,long_chain,C21H37NO4,367.2722586739,[M+Na]+,390.2614793739
C18-HSL,long_chain,C22H41NO3,367.3086441794,[M+Na]+,390.2978648794
3-hydroxy-C17-HSL,long_chain,C21H39NO4,369.2879087377,[M+Na]+,392.27712943769995
3-oxo-C18-HSL,long_chain,C22H39NO4,381.2879087377,[M+NH4]+,399.3217342905
3-hydroxy-C18-HSL,long_chain,C22H41NO4,383.3035588015,[M+NH4]+,401.3373843543
3-oxo-C18-HSL,long_chain,C22H39NO4,381.2879087377,[M+Na]+,404.27712943769995
3-hydroxy-C18-HSL,long_chain,C22H41NO4,383.3035588015,[M+Na]+,406.2927795015
