LOCUSTAG,GENUS,SPECIES,STRAIN,has_hydroxylase,has_2module_nrps_candidate,has_both
DBVPG3774,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3774,True,False,False
DBVPG3775,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3775,True,False,False
DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776,True,False,False
DBVPG3777,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3777,True,False,False
DBVPG3778,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3778,True,False,False
DBVPG3780,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3780,True,False,False
DBVPG3854,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3854,True,False,False
DBVPG3855,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3855,True,False,False
DBVPG3856,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3856,True,False,False
DBVPG3857,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3857,True,False,False
DBVPG3858,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3858,True,False,False
DBVPG3983,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3983,True,False,False
DBVPG3984,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3984,True,False,False
DBVPG4201,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4201,True,False,False
DBVPG4202,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4202,True,False,False
DBVPG4203,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4203,True,False,False
DBVPG4304,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4304,True,False,False
DBVPG4376,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4376,True,False,False
DBVPG4377,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4377,True,False,False
DBVPG4378,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4378,True,False,False
DBVPG4380,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4380,True,False,False
DBVPG4408,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4408,True,False,False
DBVPG4466,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4466,True,False,False
DBVPG4534,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4534,True,False,False
DBVPG4618,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4618,True,False,False
DBVPG4669,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4669,True,False,False
DBVPG4920,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4920,True,False,False
DBVPG4945,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4945,True,False,False
DBVPG4946,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4946,True,False,False
DBVPG4947,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4947,True,False,False
DBVPG4949,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4949,True,False,False
DBVPG4950,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4950,True,False,False
DBVPG4956,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4956,True,False,False
DBVPG4957,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4957,True,False,False
DBVPG4958,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4958,True,False,False
DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962,True,False,False
DBVPG4963,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4963,True,False,False
DBVPG4964,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4964,True,False,False
DBVPG5225,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5225,True,False,False
DBVPG5226,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5226,True,False,False
DBVPG5227,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5227,True,False,False
DBVPG5228,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5228,True,False,False
DBVPG5229,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5229,True,False,False
DBVPG5235,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5235,True,False,False
DBVPG5236,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5236,True,False,False
DBVPG5757,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5757,True,False,False
DBVPG5758,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5758,True,False,False
DBVPG5759,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5759,True,False,False
DBVPG6091,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6091,True,False,False
DBVPG6092,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6092,True,False,False
DBVPG6093,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6093,True,False,False
DBVPG6593,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6593,True,False,False
DBVPG6660,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6660,True,False,False
DBVPG6741,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6741,True,False,False
DBVPG6742,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6742,True,False,False
DBVPG6743,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6743,True,False,False
DBVPG6803,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6803,True,False,False
DBVPG7019,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 7019,True,False,False
DBVPG8043,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 8043,True,False,False
DH4148,Rhodotorula,Rhodotorula mucilaginosa,DH4148,True,False,False
OM429,Rhodotorula,Rhodotorula mucilaginosa,NRRL Y-2510,True,False,False
TFCN100D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 100D-1,True,False,False
TFCN102C1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 102C-1,True,False,False
TFCN102C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 102C-2,True,False,False
TFCN102D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 102D-1,True,False,False
TFCN102D2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 102D-2,True,False,False
TFCN105A2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 105A-2,True,False,False
TFCN106A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 106A-1,True,False,False
TFCN107A6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 107A-6,True,False,False
TFCN107C3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 107C-3,True,False,False
TFCN110C1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 110C-1,True,False,False
TFCN118C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 118C-2,True,False,False
TFCN122C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 122C-2,True,False,False
TFCN130D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 130D-4,True,False,False
TFCN134A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 134A-3,True,False,False
TFCN137C3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137C-3,True,False,False
TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4,True,False,False
TFCN138A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 138A-1,True,False,False
TFCN140A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 140A-3,True,False,False
TFCN141C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 141C-2,True,False,False
TFCN152A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-1,True,False,False
TFCN152A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-12,True,False,False
TFCN152A2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-2,True,False,False
TFCN152A5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-5,True,False,False
TFCN152C5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152C-5,True,False,False
TFCN1702E33410,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E334-10,True,False,False
TFCN1702E3344,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E334-4,True,False,False
TFCN1702E3373,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E337-3,True,False,False
TFCN1702E3901,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-1,True,False,False
TFCN1702E3902,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-2,True,False,False
TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1,True,False,False
TFCN17291Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-291Y-1,True,False,False
TFCN17325D2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-325D-2,True,False,False
TFCN17325D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-325D-4,True,False,False
TFCN17325P1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-325P-1,True,False,False
TFCN17329Y4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-329Y-4,True,False,False
TFCN17332C1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332C-1,True,False,False
TFCN17332C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332C-2,True,False,False
TFCN17332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1,True,True,True
TFCN17332M2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-2,True,False,False
TFCN17332P1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332P-1,True,False,False
TFCN17332P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332P-2,True,False,False
TFCN17333D2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-333D-2,True,False,False
TFCN17333P6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-333P-6,True,False,False
TFCN17334C1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334C-1,True,False,False
TFCN17334D6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334D-6,True,False,False
TFCN17334Y2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334Y-2,True,False,False
TFCN17334Y3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334Y-3,True,False,False
TFCN17334Y5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334Y-5,True,False,False
TFCN17337P5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-337P-5,True,False,False
TFCN17338D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-338D-3,True,False,False
TFCN17390M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-390M-1,True,False,False
TFCN172A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 172A-1,True,False,False
TFCN17Y2781,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17Y-278-1,True,False,False
TFCN181A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 181A-1,True,False,False
TFCN1A14,Rhodotorula,Rhodotorula mucilaginosa,TFCN 1A-14,True,False,False
TFCN20961,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-1,True,False,False
TFCN209611,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-11,True,False,False
TFCN209612,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-12,True,False,False
TFCN209614,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-14,True,False,False
TFCN209617,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-17,True,False,False
TFCN20962,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-2,True,False,False
TFCN20964,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-4,True,False,False
TFCN20965,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-5,True,False,False
TFCN211A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 211A-3,True,False,False
TFCN212C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 212C-2,True,False,False
TFCN21362,Rhodotorula,Rhodotorula mucilaginosa,TFCN 213-6-2,True,False,False
TFCN21364,Rhodotorula,Rhodotorula mucilaginosa,TFCN 213-6-4,True,False,False
TFCN22C4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 22C-4,True,False,False
TFCN2502E3321,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E332-1,True,False,False
TFCN2502E3331,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-1,True,False,False
TFCN2502E3335,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-5,True,False,False
TFCN2502E3337,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-7,True,False,False
TFCN2502E3339,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-9,True,False,False
TFCN2502E3341,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E334-1,True,False,False
TFCN2502E3901,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E390-1,True,False,False
TFCN25325Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-325Y-1,True,False,False
TFCN25327D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-327D-1,True,False,False
TFCN25331D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-331D-1,True,False,False
TFCN25332C1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332C-1,True,False,False
TFCN25332D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332D-1,True,False,False
TFCN25332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332M-1,True,False,False
TFCN25332P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332P-2,True,False,False
TFCN25332Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332Y-1,True,False,False
TFCN25333C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333C-2,True,False,False
TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2,True,False,False
TFCN25333Y10,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-10,True,False,False
TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9,True,False,False
TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3,True,False,False
TFCN25334Y6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334Y-6,True,False,False
TFCN25335Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-335Y-1,True,False,False
TFCN25337M3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-337M-3,True,False,False
TFCN25337Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-337Y-1,True,False,False
TFCN25395P1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-395P-1,True,False,False
TFCN270H2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 270H-2,True,False,False
TFCN273H1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 273H-1,True,False,False
TFCN2M14,Rhodotorula,Rhodotorula mucilaginosa,TFCN 2M-1-4,True,False,False
TFCN33A4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 33A-4,True,False,False
TFCN3401,Rhodotorula,Rhodotorula mucilaginosa,TFCN 340-1,True,False,False
TFCN3403,Rhodotorula,Rhodotorula mucilaginosa,TFCN 340-3,True,False,False
TFCN3423,Rhodotorula,Rhodotorula mucilaginosa,TFCN 342-3,True,False,False
TFCN36312,Rhodotorula,Rhodotorula mucilaginosa,TFCN 363-1-2,True,False,False
TFCN3M11,Rhodotorula,Rhodotorula mucilaginosa,TFCN 3M-1-1,True,False,False
TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1,True,False,False
TFCN4M12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-2,True,False,False
TFCN4M13,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-3,True,False,False
TFCN4M14,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-4,True,False,False
TFCN4M15,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-5,True,False,False
TFCN54D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 54D-1,True,False,False
TFCN54D2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 54D-2,True,False,False
TFCN86A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-12,True,False,False
TFCN86A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-3,True,False,False
TFCN89D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 89D-3,True,False,False
TFCN98A10,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98A-10,True,False,False
TFCN98A5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98A-5,True,False,False
TFCN98C3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-3,True,False,False
TFCN98C5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-5,True,False,False
TFCN98C7,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-7,True,False,False
TFCN98C8,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-8,True,False,False
TFCN98D11,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98D-11,True,False,False
TFCN98D7,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98D-7,True,False,False
TFCN98D9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98D-9,True,False,False
TFCN1A13,Rhodotorula,Rhodotorula pacifica,TFCN 1A-1-3,True,False,False
TFCN1B12,Rhodotorula,Rhodotorula pacifica,TFCN 1B-1-2,True,False,False
DBVPG4610,Rhodotorula,Rhodotorula paludigena,DBVPG 4610,True,False,False
DBVPG7316,Rhodotorula,Rhodotorula paludigena,DBVPG 7316,True,False,False
DBVPG7323,Rhodotorula,Rhodotorula paludigena,DBVPG 7323,True,False,False
OM448,Rhodotorula,Rhodotorula paludigena,NRRL Y-12923,True,False,False
TFCN1A12,Rhodotorula,Rhodotorula paludigena,TFCN 1A-1-2,True,False,False
TFCN25333P5,Rhodotorula,Rhodotorula paludigena,TFCN 25-333P-5,True,False,False
TFCN3422,Rhodotorula,Rhodotorula paludigena,TFCN 342-2,True,False,False
TFCN43A4,Rhodotorula,Rhodotorula paludigena,TFCN 43A-4,True,False,False
TFCN48A10,Rhodotorula,Rhodotorula paludigena,TFCN 48A-10,True,False,False
TFCN48A15,Rhodotorula,Rhodotorula paludigena,TFCN 48A-15,True,False,False
TFCN48A2,Rhodotorula,Rhodotorula paludigena,TFCN 48A-2,True,False,False
TFCN48A3,Rhodotorula,Rhodotorula paludigena,TFCN 48A-3,True,False,False
TFCN48C3,Rhodotorula,Rhodotorula paludigena,TFCN 48C-3,True,False,False
TFCN48D10,Rhodotorula,Rhodotorula paludigena,TFCN 48D-10,True,False,False
TFCN48D4,Rhodotorula,Rhodotorula paludigena,TFCN 48D-4,True,False,False
TFCN49A1,Rhodotorula,Rhodotorula paludigena,TFCN 49A-1,True,False,False
DBVPG8058,Rhodotorula,Rhodotorula sp. clade I,DBVPG 8058,True,False,False
TFCN17328C3,Rhodotorula,Rhodotorula sp. clade I,TFCN 17-328C-3,True,False,False
TFCN17328P3,Rhodotorula,Rhodotorula sp. clade I,TFCN 17-328P-3,True,False,False
TFCN222A2,Rhodotorula,Rhodotorula sp. clade I,TFCN 222A-2,True,False,False
TFCN25333D1,Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333D-1,True,False,False
TFCN25333D5,Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333D-5,True,False,False
TFCN25333Y2,Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333Y-2,True,False,False
TFCN86C7,Rhodotorula,Rhodotorula sp. clade I,TFCN 86C-7,True,False,False
DBVPG7947,Rhodotorula,Rhodotorula sp. clade XIII,DBVPG 7947,True,False,False
DBVPG10348,Rhodotorula,Rhodotorula sp. clade XI,DBVPG 10348,True,False,False
TFCN186DK32,Rhodotorula,Rhodotorula sp. clade XI,TFCN 186DK3-2,True,False,False
OM440,Rhodotorula,Rhodotorula sphaerocarpa,NRRL Y-7192,True,False,False
TFCN86A6,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-6,True,False,False
TFCN86A8,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-8,True,False,False
TFCN86C10,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-10,True,False,False
TFCN86C9,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-9,True,False,False
DBVPG4530,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4530,True,False,False
DBVPG4531,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4531,True,False,False
TFCN0520421,Rhodotorula,Rhodotorula taiwanensis,TFCN 0520-4-2-1,True,False,False
TFCN0520422,Rhodotorula,Rhodotorula taiwanensis,TFCN 0520-4-2-2,True,False,False
TFCN3571,Rhodotorula,Rhodotorula taiwanensis,TFCN 357-1,True,False,False
TFCNS22D1,Rhodotorula,Rhodotorula taiwanensis,TFCN S22D-1,True,False,False
DBVPG6121,Rhodotorula,Rhodotorula toruloides,DBVPG 6121,True,False,False
DBVPG6739,Rhodotorula,Rhodotorula toruloides,DBVPG 6739,True,False,False
TFCN152A4,Rhodotorula,Rhodotorula toruloides,TFCN 152A-4,True,False,False
TFCN152A6,Rhodotorula,Rhodotorula toruloides,TFCN 152A-6,True,False,False
TFCN152C3,Rhodotorula,Rhodotorula toruloides,TFCN 152C-3,True,False,False
TFCN152C6,Rhodotorula,Rhodotorula toruloides,TFCN 152C-6,True,False,False
TFCN152D4,Rhodotorula,Rhodotorula toruloides,TFCN 152D-4,True,False,False
TFCN152D6,Rhodotorula,Rhodotorula toruloides,TFCN 152D-6,True,False,False
