species_prefix,protein_id,pfam_acc,full_seq_e_value,LOCUSTAG,GENUS,SPECIES,STRAIN
DBVPG3776,DBVPG3776_000653-T1,PF00743.26,2.6e-22,DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776
DBVPG3776,DBVPG3776_001914-T1,PF00743.26,4.6e-17,DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776
DBVPG3776,DBVPG3776_007403-T1,PF00743.26,3.6e-16,DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776
DBVPG3776,DBVPG3776_006207-T1,PF00743.26,7e-15,DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776
DBVPG3776,DBVPG3776_004213-T1,PF00743.26,8.5e-14,DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776
DBVPG3776,DBVPG3776_006206-T1,PF00743.26,2.4e-12,DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776
DBVPG3776,DBVPG3776_007335-T1,PF00743.26,4.4e-10,DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776
DBVPG6739,DBVPG6739_000617-T1,PF00743.26,1.3e-38,DBVPG6739,Rhodotorula,Rhodotorula toruloides,DBVPG 6739
DBVPG6739,DBVPG6739_000617-T1,PF00743.26,1.3e-38,DBVPG6739,Rhodotorula,Rhodotorula toruloides,DBVPG 6739
DBVPG6739,DBVPG6739_000712-T1,PF00743.26,1.7e-37,DBVPG6739,Rhodotorula,Rhodotorula toruloides,DBVPG 6739
DBVPG6739,DBVPG6739_000712-T1,PF00743.26,1.7e-37,DBVPG6739,Rhodotorula,Rhodotorula toruloides,DBVPG 6739
DBVPG6739,DBVPG6739_000712-T1,PF00743.26,1.7e-37,DBVPG6739,Rhodotorula,Rhodotorula toruloides,DBVPG 6739
DBVPG6739,DBVPG6739_008196-T1,PF00743.26,1.3e-18,DBVPG6739,Rhodotorula,Rhodotorula toruloides,DBVPG 6739
DBVPG6739,DBVPG6739_006133-T1,PF00743.26,3.3e-17,DBVPG6739,Rhodotorula,Rhodotorula toruloides,DBVPG 6739
DBVPG6739,DBVPG6739_005799-T1,PF00743.26,8.3e-17,DBVPG6739,Rhodotorula,Rhodotorula toruloides,DBVPG 6739
DBVPG6739,DBVPG6739_006886-T1,PF00743.26,1.3e-15,DBVPG6739,Rhodotorula,Rhodotorula toruloides,DBVPG 6739
DBVPG6739,DBVPG6739_006043-T1,PF00743.26,6.3e-12,DBVPG6739,Rhodotorula,Rhodotorula toruloides,DBVPG 6739
DBVPG6739,DBVPG6739_005337-T1,PF00743.26,1.8e-10,DBVPG6739,Rhodotorula,Rhodotorula toruloides,DBVPG 6739
TFCN404D1,TFCN404D1_012870-T1,PF00743.26,1.3e-36,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_012870-T1,PF00743.26,1.3e-36,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_012759-T1,PF00743.26,2.5e-36,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_012759-T1,PF00743.26,2.5e-36,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_012759-T1,PF00743.26,2.5e-36,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_012760-T1,PF00743.26,3.5e-35,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_012760-T1,PF00743.26,3.5e-35,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_006551-T1,PF00743.26,1.6e-33,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_012871-T1,PF00743.26,2.1e-33,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_012871-T1,PF00743.26,2.1e-33,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_002432-T1,PF00743.26,6e-27,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_007245-T1,PF00743.26,4.9e-22,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_005397-T1,PF00743.26,5.2e-22,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_007149-T1,PF00743.26,3.4e-17,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_002104-T1,PF00743.26,1.2e-16,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_011603-T1,PF00743.26,6.9e-16,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_013496-T1,PF00743.26,1.2e-14,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_010854-T1,PF00743.26,1.3e-14,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_012941-T1,PF00743.26,1.4e-14,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_007934-T1,PF00743.26,1.4e-13,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_003972-T1,PF00743.26,1.7e-13,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_012940-T1,PF00743.26,4.8e-12,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_010855-T1,PF00743.26,1.9e-10,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN404D1,TFCN404D1_012598-T1,PF00743.26,1.6e-09,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN86C10,TFCN86C10_001746-T1,PF00743.26,6.8e-37,TFCN86C10,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-10
TFCN86C10,TFCN86C10_001746-T1,PF00743.26,6.8e-37,TFCN86C10,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-10
TFCN86C10,TFCN86C10_003074-T1,PF00743.26,5.5e-35,TFCN86C10,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-10
TFCN86C10,TFCN86C10_002125-T1,PF00743.26,5.8e-28,TFCN86C10,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-10
TFCN86C10,TFCN86C10_005547-T1,PF00743.26,2.1e-16,TFCN86C10,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-10
TFCN86C10,TFCN86C10_005426-T1,PF00743.26,4.1e-16,TFCN86C10,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-10
TFCN86C10,TFCN86C10_001237-T1,PF00743.26,8e-14,TFCN86C10,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-10
TFCN86C10,TFCN86C10_002852-T1,PF00743.26,1.5e-10,TFCN86C10,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-10
TFCN25334D3,TFCN25334D3_002526-T1,PF00743.26,1.2e-36,TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3
TFCN25334D3,TFCN25334D3_002526-T1,PF00743.26,1.2e-36,TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3
TFCN25334D3,TFCN25334D3_002526-T1,PF00743.26,1.2e-36,TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3
TFCN25334D3,TFCN25334D3_002527-T1,PF00743.26,1.7e-35,TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3
TFCN25334D3,TFCN25334D3_002527-T1,PF00743.26,1.7e-35,TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3
TFCN25334D3,TFCN25334D3_002215-T1,PF00743.26,3.1e-34,TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3
TFCN25334D3,TFCN25334D3_001983-T1,PF00743.26,2.7e-22,TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3
TFCN25334D3,TFCN25334D3_002756-T1,PF00743.26,4.4e-17,TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3
TFCN25334D3,TFCN25334D3_006784-T1,PF00743.26,3.3e-16,TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3
TFCN25334D3,TFCN25334D3_005105-T1,PF00743.26,6e-15,TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3
TFCN25334D3,TFCN25334D3_005763-T1,PF00743.26,8.1e-14,TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3
TFCN25334D3,TFCN25334D3_005104-T1,PF00743.26,3.2e-12,TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3
TFCN25334D3,TFCN25334D3_006851-T1,PF00743.26,4.1e-10,TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3
TFCN25333Y9,TFCN25333Y9_002112-T1,PF00743.26,1.2e-36,TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9
TFCN25333Y9,TFCN25333Y9_002112-T1,PF00743.26,1.2e-36,TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9
TFCN25333Y9,TFCN25333Y9_002112-T1,PF00743.26,1.2e-36,TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9
TFCN25333Y9,TFCN25333Y9_002111-T1,PF00743.26,1.7e-35,TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9
TFCN25333Y9,TFCN25333Y9_002111-T1,PF00743.26,1.7e-35,TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9
TFCN25333Y9,TFCN25333Y9_002018-T1,PF00743.26,2.6e-34,TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9
TFCN25333Y9,TFCN25333Y9_003916-T1,PF00743.26,3.7e-22,TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9
TFCN25333Y9,TFCN25333Y9_005000-T1,PF00743.26,4.5e-17,TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9
TFCN25333Y9,TFCN25333Y9_007179-T1,PF00743.26,3.4e-16,TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9
TFCN25333Y9,TFCN25333Y9_006259-T1,PF00743.26,6.8e-15,TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9
TFCN25333Y9,TFCN25333Y9_001870-T1,PF00743.26,8.2e-14,TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9
TFCN25333Y9,TFCN25333Y9_006258-T1,PF00743.26,2.3e-12,TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9
TFCN25333Y9,TFCN25333Y9_007246-T1,PF00743.26,4.3e-10,TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9
TFCN17267M1,TFCN17267M1_000238-T1,PF00743.26,1.5e-37,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_000238-T1,PF00743.26,1.5e-37,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_003141-T1,PF00743.26,2.3e-36,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_003141-T1,PF00743.26,2.3e-36,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_003141-T1,PF00743.26,2.3e-36,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_003140-T1,PF00743.26,3.2e-35,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_003140-T1,PF00743.26,3.2e-35,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_003050-T1,PF00743.26,4.9e-34,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_000237-T1,PF00743.26,1.9e-33,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_000237-T1,PF00743.26,1.9e-33,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_000143-T1,PF00743.26,5.5e-27,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_007125-T1,PF00743.26,6.1e-22,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_005164-T1,PF00743.26,1.2e-21,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_007501-T1,PF00743.26,8.3e-17,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_002545-T1,PF00743.26,6.3e-16,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_006427-T1,PF00743.26,3.9e-15,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_005611-T1,PF00743.26,1.4e-13,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_010099-T1,PF00743.26,4.6e-12,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_007674-T1,PF00743.26,4.7e-12,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_011145-T1,PF00743.26,1.1e-11,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_002853-T1,PF00743.26,8.3e-11,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_011144-T1,PF00743.26,1.8e-10,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_013088-T1,PF00743.26,7.8e-10,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_010100-T1,PF00743.26,6.6e-09,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
DBVPG3383,DBVPG3383_000025-T1,PF00743.26,1.2e-36,DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383
DBVPG3383,DBVPG3383_000025-T1,PF00743.26,1.2e-36,DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383
DBVPG3383,DBVPG3383_000025-T1,PF00743.26,1.2e-36,DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383
DBVPG3383,DBVPG3383_000024-T1,PF00743.26,1.7e-35,DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383
DBVPG3383,DBVPG3383_000024-T1,PF00743.26,1.7e-35,DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383
DBVPG3383,DBVPG3383_003727-T1,PF00743.26,2.6e-34,DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383
DBVPG3383,DBVPG3383_002523-T1,PF00743.26,2.5e-22,DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383
DBVPG3383,DBVPG3383_003406-T1,PF00743.26,4.5e-17,DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383
DBVPG3383,DBVPG3383_000863-T1,PF00743.26,3.4e-16,DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383
DBVPG3383,DBVPG3383_005755-T1,PF00743.26,6.8e-15,DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383
DBVPG3383,DBVPG3383_001713-T1,PF00743.26,8.2e-14,DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383
DBVPG3383,DBVPG3383_005756-T1,PF00743.26,2.3e-12,DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383
DBVPG3383,DBVPG3383_004054-T1,PF00743.26,8.8e-10,DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383
DBVPG4962,DBVPG4962_003974-T1,PF00743.26,1.3e-36,DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962
DBVPG4962,DBVPG4962_003974-T1,PF00743.26,1.3e-36,DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962
DBVPG4962,DBVPG4962_003974-T1,PF00743.26,1.3e-36,DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962
DBVPG4962,DBVPG4962_003975-T1,PF00743.26,1.8e-35,DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962
DBVPG4962,DBVPG4962_003975-T1,PF00743.26,1.8e-35,DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962
DBVPG4962,DBVPG4962_002243-T1,PF00743.26,2.7e-34,DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962
DBVPG4962,DBVPG4962_003477-T1,PF00743.26,2.6e-22,DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962
DBVPG4962,DBVPG4962_000776-T1,PF00743.26,4.6e-17,DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962
DBVPG4962,DBVPG4962_004956-T1,PF00743.26,3.7e-16,DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962
DBVPG4962,DBVPG4962_005025-T1,PF00743.26,7e-15,DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962
DBVPG4962,DBVPG4962_004540-T1,PF00743.26,8.5e-14,DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962
DBVPG4962,DBVPG4962_005026-T1,PF00743.26,2.4e-12,DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962
DBVPG4962,DBVPG4962_006298-T1,PF00743.26,9e-10,DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962
DBVPG6081,DBVPG6081_000944-T1,PF00743.26,1.9e-38,DBVPG6081,Rhodotorula,Rhodotorula glutinis,DBVPG 6081
DBVPG6081,DBVPG6081_000944-T1,PF00743.26,1.9e-38,DBVPG6081,Rhodotorula,Rhodotorula glutinis,DBVPG 6081
DBVPG6081,DBVPG6081_000944-T1,PF00743.26,1.9e-38,DBVPG6081,Rhodotorula,Rhodotorula glutinis,DBVPG 6081
DBVPG6081,DBVPG6081_000685-T1,PF00743.26,8.3e-36,DBVPG6081,Rhodotorula,Rhodotorula glutinis,DBVPG 6081
DBVPG6081,DBVPG6081_000685-T1,PF00743.26,8.3e-36,DBVPG6081,Rhodotorula,Rhodotorula glutinis,DBVPG 6081
DBVPG6081,DBVPG6081_007825-T1,PF00743.26,1.1e-26,DBVPG6081,Rhodotorula,Rhodotorula glutinis,DBVPG 6081
DBVPG6081,DBVPG6081_000404-T1,PF00743.26,1.9e-21,DBVPG6081,Rhodotorula,Rhodotorula glutinis,DBVPG 6081
