species_prefix,protein_id,pfam_acc,hmm_from,hmm_to,ali_from,ali_to,domain_score,domain_type
TFCN404D1,TFCN404D1_012798-T1,PF00501.35,5,384,85,511,263.5,adenylation
TFCN404D1,TFCN404D1_000449-T1,PF00501.35,17,384,98,512,261.3,adenylation
TFCN404D1,TFCN404D1_010018-T1,PF00501.35,12,384,50,435,254.4,adenylation
TFCN404D1,TFCN404D1_004759-T1,PF00501.35,15,384,53,435,245.2,adenylation
TFCN404D1,TFCN404D1_011749-T1,PF00501.35,17,384,85,507,244.2,adenylation
TFCN404D1,TFCN404D1_000795-T1,PF00501.35,15,384,91,515,240.4,adenylation
TFCN404D1,TFCN404D1_003409-T1,PF00501.35,15,384,91,515,238.4,adenylation
TFCN404D1,TFCN404D1_011784-T1,PF00501.35,2,384,63,451,234.4,adenylation
TFCN404D1,TFCN404D1_007000-T1,PF00501.35,2,384,53,441,233.8,adenylation
TFCN404D1,TFCN404D1_001067-T1,PF00501.35,3,383,34,413,205.4,adenylation
TFCN404D1,TFCN404D1_011888-T1,PF00501.35,2,383,33,413,204.8,adenylation
TFCN404D1,TFCN404D1_006611-T1,PF00501.35,1,383,220,642,200.9,adenylation
TFCN404D1,TFCN404D1_004489-T1,PF00501.35,47,383,118,468,192.3,adenylation
TFCN404D1,TFCN404D1_011156-T1,PF00501.35,47,383,118,468,190.7,adenylation
TFCN404D1,TFCN404D1_002589-T1,PF00501.35,1,384,340,738,194.1,adenylation
TFCN404D1,TFCN404D1_006907-T1,PF00501.35,1,384,338,736,193.9,adenylation
TFCN404D1,TFCN404D1_003482-T1,PF00501.35,166,384,4,254,176.0,adenylation
TFCN404D1,TFCN404D1_007370-T1,PF00501.35,1,372,55,440,173.5,adenylation
TFCN404D1,TFCN404D1_011998-T1,PF00501.35,1,372,55,440,172.5,adenylation
TFCN404D1,TFCN404D1_012347-T1,PF00501.35,19,377,131,500,162.5,adenylation
TFCN404D1,TFCN404D1_007701-T1,PF00501.35,19,377,132,501,160.7,adenylation
TFCN404D1,TFCN404D1_009192-T1,PF00501.35,1,322,220,576,147.3,adenylation
TFCN86C10,TFCN86C10_002328-T1,PF00501.35,2,384,25,399,285.0,adenylation
TFCN86C10,TFCN86C10_002290-T1,PF00501.35,2,378,90,459,264.3,adenylation
TFCN86C10,TFCN86C10_005383-T1,PF00501.35,17,384,105,515,265.4,adenylation
TFCN86C10,TFCN86C10_004578-T1,PF00501.35,8,384,29,393,264.7,adenylation
TFCN86C10,TFCN86C10_001680-T1,PF00501.35,17,384,61,440,248.0,adenylation
TFCN86C10,TFCN86C10_000003-T1,PF00501.35,17,384,85,507,246.3,adenylation
TFCN86C10,TFCN86C10_004599-T1,PF00501.35,16,384,92,513,235.5,adenylation
TFCN86C10,TFCN86C10_002204-T1,PF00501.35,3,384,54,441,232.6,adenylation
TFCN86C10,TFCN86C10_001893-T1,PF00501.35,2,383,33,409,217.6,adenylation
TFCN86C10,TFCN86C10_000337-T1,PF00501.35,47,383,118,468,191.6,adenylation
TFCN86C10,TFCN86C10_003354-T1,PF00501.35,1,384,336,734,196.2,adenylation
TFCN86C10,TFCN86C10_003674-T1,PF00501.35,4,383,232,652,183.7,adenylation
TFCN86C10,TFCN86C10_001661-T1,PF00501.35,16,377,130,501,158.7,adenylation
TFCN25334D3,TFCN25334D3_005311-T1,PF00501.35,2,378,90,477,306.8,adenylation
TFCN25334D3,TFCN25334D3_006106-T1,PF00501.35,5,384,28,399,290.6,adenylation
TFCN25334D3,TFCN25334D3_005902-T1,PF00501.35,8,384,29,393,264.8,adenylation
TFCN25334D3,TFCN25334D3_002455-T1,PF00501.35,12,384,50,435,254.4,adenylation
TFCN25334D3,TFCN25334D3_002645-T1,PF00501.35,17,384,85,507,244.8,adenylation
TFCN25334D3,TFCN25334D3_004377-T1,PF00501.35,15,384,91,515,240.5,adenylation
TFCN25334D3,TFCN25334D3_001875-T1,PF00501.35,2,384,53,441,234.2,adenylation
TFCN25334D3,TFCN25334D3_000722-T1,PF00501.35,1,383,220,642,200.9,adenylation
TFCN25334D3,TFCN25334D3_000956-T1,PF00501.35,47,383,118,468,190.7,adenylation
TFCN25334D3,TFCN25334D3_000028-T1,PF00501.35,1,384,338,736,193.9,adenylation
TFCN25334D3,TFCN25334D3_007163-T1,PF00501.35,1,372,55,440,172.5,adenylation
TFCN25334D3,TFCN25334D3_002435-T1,PF00501.35,19,377,131,500,162.5,adenylation
TFCN25333Y9,TFCN25333Y9_002610-T1,PF00501.35,2,378,90,477,306.6,adenylation
TFCN25333Y9,TFCN25333Y9_002774-T1,PF00501.35,5,384,28,399,290.6,adenylation
TFCN25333Y9,TFCN25333Y9_006837-T1,PF00501.35,8,384,29,393,264.8,adenylation
TFCN25333Y9,TFCN25333Y9_000932-T1,PF00501.35,5,384,85,511,263.5,adenylation
TFCN25333Y9,TFCN25333Y9_002183-T1,PF00501.35,12,384,50,435,254.4,adenylation
TFCN25333Y9,TFCN25333Y9_003767-T1,PF00501.35,17,384,85,507,244.8,adenylation
TFCN25333Y9,TFCN25333Y9_001824-T1,PF00501.35,15,384,91,515,240.4,adenylation
TFCN25333Y9,TFCN25333Y9_003815-T1,PF00501.35,2,384,53,441,234.2,adenylation
TFCN25333Y9,TFCN25333Y9_000792-T1,PF00501.35,3,383,34,413,205.4,adenylation
TFCN25333Y9,TFCN25333Y9_004697-T1,PF00501.35,1,383,220,642,200.9,adenylation
TFCN25333Y9,TFCN25333Y9_000278-T1,PF00501.35,47,383,118,468,190.7,adenylation
TFCN25333Y9,TFCN25333Y9_004243-T1,PF00501.35,1,384,338,736,193.9,adenylation
TFCN25333Y9,TFCN25333Y9_003399-T1,PF00501.35,1,372,55,440,172.5,adenylation
TFCN25333Y9,TFCN25333Y9_002817-T1,PF00501.35,19,377,131,500,162.5,adenylation
TFCN17267M1,TFCN17267M1_009212-T1,PF00501.35,2,378,90,477,308.2,adenylation
TFCN17267M1,TFCN17267M1_005111-T1,PF00501.35,2,378,90,477,306.8,adenylation
TFCN17267M1,TFCN17267M1_012147-T1,PF00501.35,5,384,28,399,290.6,adenylation
TFCN17267M1,TFCN17267M1_009497-T1,PF00501.35,5,384,28,399,290.5,adenylation
TFCN17267M1,TFCN17267M1_012207-T1,PF00501.35,8,384,29,393,269.9,adenylation
TFCN17267M1,TFCN17267M1_006108-T1,PF00501.35,8,384,29,393,264.8,adenylation
TFCN17267M1,TFCN17267M1_001504-T1,PF00501.35,5,384,86,512,263.5,adenylation
TFCN17267M1,TFCN17267M1_001166-T1,PF00501.35,17,384,10,424,261.1,adenylation
TFCN17267M1,TFCN17267M1_000303-T1,PF00501.35,15,384,53,435,246.5,adenylation
TFCN17267M1,TFCN17267M1_001912-T1,PF00501.35,17,384,85,507,244.8,adenylation
TFCN17267M1,TFCN17267M1_012432-T1,PF00501.35,17,384,85,507,244.4,adenylation
TFCN17267M1,TFCN17267M1_002897-T1,PF00501.35,15,384,91,515,240.4,adenylation
TFCN17267M1,TFCN17267M1_005653-T1,PF00501.35,15,384,91,515,239.7,adenylation
TFCN17267M1,TFCN17267M1_007220-T1,PF00501.35,2,384,53,441,234.2,adenylation
TFCN17267M1,TFCN17267M1_005260-T1,PF00501.35,2,384,53,441,233.8,adenylation
TFCN17267M1,TFCN17267M1_001039-T1,PF00501.35,2,383,33,413,206.5,adenylation
TFCN17267M1,TFCN17267M1_008891-T1,PF00501.35,1,383,220,642,200.9,adenylation
TFCN17267M1,TFCN17267M1_000729-T1,PF00501.35,47,383,118,468,192.3,adenylation
TFCN17267M1,TFCN17267M1_003207-T1,PF00501.35,94,384,8,305,197.5,adenylation
TFCN17267M1,TFCN17267M1_010564-T1,PF00501.35,1,383,220,642,196.9,adenylation
TFCN17267M1,TFCN17267M1_010022-T1,PF00501.35,47,383,118,468,190.7,adenylation
TFCN17267M1,TFCN17267M1_009740-T1,PF00501.35,1,384,338,736,193.9,adenylation
TFCN17267M1,TFCN17267M1_012066-T1,PF00501.35,1,384,340,738,192.6,adenylation
TFCN17267M1,TFCN17267M1_001376-T1,PF00501.35,3,383,34,403,187.7,adenylation
TFCN17267M1,TFCN17267M1_004524-T1,PF00501.35,1,372,55,440,172.5,adenylation
TFCN17267M1,TFCN17267M1_005891-T1,PF00501.35,1,373,55,441,172.3,adenylation
TFCN17267M1,TFCN17267M1_004350-T1,PF00501.35,19,377,131,500,161.6,adenylation
TFCN17267M1,TFCN17267M1_000322-T1,PF00501.35,19,377,132,501,160.7,adenylation
DBVPG3383,DBVPG3383_005916-T1,PF00501.35,2,378,90,477,306.8,adenylation
DBVPG3383,DBVPG3383_004113-T1,PF00501.35,5,384,28,399,291.0,adenylation
DBVPG3383,DBVPG3383_006955-T1,PF00501.35,8,384,93,457,264.4,adenylation
DBVPG3383,DBVPG3383_001124-T1,PF00501.35,5,384,85,511,263.5,adenylation
DBVPG3383,DBVPG3383_000098-T1,PF00501.35,12,384,50,435,254.4,adenylation
DBVPG3383,DBVPG3383_003662-T1,PF00501.35,17,384,85,507,244.8,adenylation
DBVPG3383,DBVPG3383_001667-T1,PF00501.35,15,384,88,512,240.6,adenylation
DBVPG3383,DBVPG3383_002631-T1,PF00501.35,2,384,53,441,234.2,adenylation
DBVPG3383,DBVPG3383_001265-T1,PF00501.35,3,383,34,413,205.4,adenylation
DBVPG3383,DBVPG3383_002907-T1,PF00501.35,1,383,220,642,200.9,adenylation
DBVPG3383,DBVPG3383_000589-T1,PF00501.35,47,383,118,468,190.7,adenylation
DBVPG3383,DBVPG3383_004005-T1,PF00501.35,1,384,338,736,193.9,adenylation
DBVPG3383,DBVPG3383_001793-T1,PF00501.35,1,372,55,440,172.5,adenylation
DBVPG3383,DBVPG3383_000118-T1,PF00501.35,19,377,131,500,162.5,adenylation
DBVPG4962,DBVPG4962_004279-T1,PF00501.35,2,378,90,477,306.8,adenylation
DBVPG4962,DBVPG4962_004030-T1,PF00501.35,5,384,28,399,291.0,adenylation
DBVPG4962,DBVPG4962_007198-T1,PF00501.35,8,384,29,393,264.9,adenylation
DBVPG4962,DBVPG4962_000986-T1,PF00501.35,5,384,85,511,263.5,adenylation
DBVPG4962,DBVPG4962_003901-T1,PF00501.35,12,384,50,435,254.4,adenylation
DBVPG4962,DBVPG4962_001473-T1,PF00501.35,17,384,85,507,244.8,adenylation
DBVPG4962,DBVPG4962_002804-T1,PF00501.35,15,384,91,515,240.4,adenylation
DBVPG4962,DBVPG4962_005246-T1,PF00501.35,2,384,63,451,234.1,adenylation
DBVPG4962,DBVPG4962_006808-T1,PF00501.35,3,383,34,413,205.4,adenylation
DBVPG4962,DBVPG4962_002618-T1,PF00501.35,1,383,220,642,200.9,adenylation
DBVPG4962,DBVPG4962_000669-T1,PF00501.35,47,383,118,468,190.7,adenylation
DBVPG4962,DBVPG4962_006202-T1,PF00501.35,1,384,338,736,193.9,adenylation
DBVPG4962,DBVPG4962_004820-T1,PF00501.35,1,372,55,440,172.2,adenylation
DBVPG4962,DBVPG4962_002015-T1,PF00501.35,19,377,131,500,160.5,adenylation
DBVPG6081,DBVPG6081_004734-T1,PF00501.35,2,378,93,480,308.5,adenylation
DBVPG6081,DBVPG6081_004624-T1,PF00501.35,6,383,31,403,266.0,adenylation
DBVPG6081,DBVPG6081_001343-T1,PF00501.35,16,384,93,510,264.8,adenylation
DBVPG6081,DBVPG6081_002005-T1,PF00501.35,10,384,31,393,247.4,adenylation
DBVPG6081,DBVPG6081_005836-T1,PF00501.35,48,384,124,508,243.4,adenylation
DBVPG6081,DBVPG6081_000187-T1,PF00501.35,4,384,55,439,237.3,adenylation
DBVPG6081,DBVPG6081_000186-T1,PF00501.35,4,384,55,439,233.7,adenylation
DBVPG6081,DBVPG6081_001064-T1,PF00501.35,10,384,53,439,229.5,adenylation
DBVPG6081,DBVPG6081_007235-T1,PF00501.35,10,384,88,512,226.7,adenylation
DBVPG6081,DBVPG6081_001505-T1,PF00501.35,2,383,32,411,212.9,adenylation
DBVPG6081,DBVPG6081_007369-T1,PF00501.35,7,384,64,445,207.0,adenylation
DBVPG6081,DBVPG6081_006164-T1,PF00501.35,1,384,331,730,200.2,adenylation
DBVPG6081,DBVPG6081_007761-T1,PF00501.35,46,383,117,468,191.1,adenylation
DBVPG6081,DBVPG6081_005290-T1,PF00501.35,1,330,53,378,179.2,adenylation
DBVPG6081,DBVPG6081_007609-T1,PF00501.35,3,383,222,645,176.4,adenylation
DBVPG6081,DBVPG6081_000829-T1,PF00501.35,20,328,134,457,147.9,adenylation
DBVPG6081,DBVPG6081_006093-T1,PF00501.35,4,331,23,342,110.2,adenylation
TFCN0520421,TFCN0520421_001488-T1,PF00501.35,2,378,90,477,308.8,adenylation
TFCN0520421,TFCN0520421_001635-T1,PF00501.35,6,384,29,399,280.6,adenylation
TFCN0520421,TFCN0520421_005733-T1,PF00501.35,17,384,97,507,258.7,adenylation
TFCN0520421,TFCN0520421_006312-T1,PF00501.35,8,384,29,393,256.5,adenylation
TFCN0520421,TFCN0520421_001345-T1,PF00501.35,6,384,40,430,252.8,adenylation
TFCN0520421,TFCN0520421_003702-T1,PF00501.35,17,384,85,507,243.3,adenylation
TFCN0520421,TFCN0520421_002865-T1,PF00501.35,16,384,92,513,233.3,adenylation
TFCN0520421,TFCN0520421_006732-T1,PF00501.35,2,384,53,441,230.8,adenylation
TFCN0520421,TFCN0520421_000182-T1,PF00501.35,2,383,33,411,223.2,adenylation
TFCN0520421,TFCN0520421_003373-T1,PF00501.35,47,384,118,469,204.3,adenylation
TFCN0520421,TFCN0520421_001022-T1,PF00501.35,1,384,339,737,197.3,adenylation
TFCN0520421,TFCN0520421_006227-T1,PF00501.35,3,383,222,637,192.6,adenylation
TFCN0520421,TFCN0520421_006828-T1,PF00501.35,1,345,53,400,177.1,adenylation
TFCN0520421,TFCN0520421_002070-T1,PF00501.35,19,377,132,501,158.0,adenylation
TFCN25332D1,TFCN25332D1_003695-T1,PF00501.35,2,378,90,477,306.8,adenylation
TFCN25332D1,TFCN25332D1_005312-T1,PF00501.35,5,384,28,399,290.6,adenylation
TFCN25332D1,TFCN25332D1_006629-T1,PF00501.35,8,384,29,393,264.8,adenylation
TFCN25332D1,TFCN25332D1_000323-T1,PF00501.35,5,384,85,511,263.5,adenylation
TFCN25332D1,TFCN25332D1_002304-T1,PF00501.35,12,384,50,435,254.4,adenylation
TFCN25332D1,TFCN25332D1_002871-T1,PF00501.35,17,384,85,507,244.8,adenylation
TFCN25332D1,TFCN25332D1_001500-T1,PF00501.35,15,384,91,515,240.4,adenylation
TFCN25332D1,TFCN25332D1_004042-T1,PF00501.35,2,384,53,441,234.2,adenylation
TFCN25332D1,TFCN25332D1_000179-T1,PF00501.35,3,383,34,413,205.4,adenylation
TFCN25332D1,TFCN25332D1_003813-T1,PF00501.35,1,383,220,642,200.9,adenylation
TFCN25332D1,TFCN25332D1_000358-T1,PF00501.35,47,383,118,468,190.7,adenylation
TFCN25332D1,TFCN25332D1_003320-T1,PF00501.35,1,384,338,736,193.9,adenylation
TFCN25332D1,TFCN25332D1_002693-T1,PF00501.35,1,372,55,440,172.5,adenylation
TFCN25332D1,TFCN25332D1_002516-T1,PF00501.35,19,377,131,500,158.5,adenylation
TFCN1702E3902,TFCN1702E3902_009276-T1,PF00501.35,2,378,90,477,308.2,adenylation
TFCN1702E3902,TFCN1702E3902_002396-T1,PF00501.35,2,378,90,477,306.8,adenylation
TFCN1702E3902,TFCN1702E3902_006104-T1,PF00501.35,5,384,28,399,290.5,adenylation
TFCN1702E3902,TFCN1702E3902_002539-T1,PF00501.35,5,384,28,405,276.8,adenylation
TFCN1702E3902,TFCN1702E3902_001744-T1,PF00501.35,8,384,1076,1440,266.6,adenylation
TFCN1702E3902,TFCN1702E3902_011260-T1,PF00501.35,8,384,29,393,264.8,adenylation
TFCN1702E3902,TFCN1702E3902_000270-T1,PF00501.35,5,384,86,512,263.5,adenylation
TFCN1702E3902,TFCN1702E3902_006277-T1,PF00501.35,17,384,98,512,261.3,adenylation
TFCN1702E3902,TFCN1702E3902_004429-T1,PF00501.35,12,384,50,435,254.4,adenylation
TFCN1702E3902,TFCN1702E3902_001005-T1,PF00501.35,15,384,53,435,246.5,adenylation
TFCN1702E3902,TFCN1702E3902_004766-T1,PF00501.35,17,384,85,507,244.5,adenylation
TFCN1702E3902,TFCN1702E3902_007594-T1,PF00501.35,17,384,85,507,244.2,adenylation
TFCN1702E3902,TFCN1702E3902_004230-T1,PF00501.35,15,384,91,515,238.4,adenylation
TFCN1702E3902,TFCN1702E3902_010973-T1,PF00501.35,2,384,53,441,234.4,adenylation
TFCN1702E3902,TFCN1702E3902_005502-T1,PF00501.35,2,384,53,441,233.8,adenylation
TFCN1702E3902,TFCN1702E3902_002989-T1,PF00501.35,2,383,33,413,204.8,adenylation
TFCN1702E3902,TFCN1702E3902_010887-T1,PF00501.35,1,383,220,642,200.9,adenylation
TFCN1702E3902,TFCN1702E3902_004971-T1,PF00501.35,47,383,118,468,192.3,adenylation
TFCN1702E3902,TFCN1702E3902_008738-T1,PF00501.35,1,383,220,642,196.9,adenylation
TFCN1702E3902,TFCN1702E3902_007799-T1,PF00501.35,47,383,118,468,190.7,adenylation
TFCN1702E3902,TFCN1702E3902_010590-T1,PF00501.35,1,384,340,738,194.1,adenylation
TFCN1702E3902,TFCN1702E3902_007998-T1,PF00501.35,1,384,338,736,193.9,adenylation
TFCN1702E3902,TFCN1702E3902_000141-T1,PF00501.35,3,383,34,403,187.7,adenylation
TFCN1702E3902,TFCN1702E3902_007934-T1,PF00501.35,1,372,55,440,173.5,adenylation
TFCN1702E3902,TFCN1702E3902_011806-T1,PF00501.35,1,372,55,440,172.5,adenylation
TFCN1702E3902,TFCN1702E3902_011975-T1,PF00501.35,19,377,131,500,162.5,adenylation
TFCN1702E3902,TFCN1702E3902_001024-T1,PF00501.35,19,377,132,501,160.7,adenylation
TFCN1702E33410,TFCN1702E33410_003919-T1,PF00501.35,2,378,90,477,306.8,adenylation
TFCN1702E33410,TFCN1702E33410_003379-T1,PF00501.35,5,384,28,399,290.6,adenylation
TFCN1702E33410,TFCN1702E33410_006581-T1,PF00501.35,8,384,29,393,264.8,adenylation
TFCN1702E33410,TFCN1702E33410_006119-T1,PF00501.35,5,384,85,511,263.5,adenylation
TFCN1702E33410,TFCN1702E33410_004256-T1,PF00501.35,12,384,50,435,254.4,adenylation
TFCN1702E33410,TFCN1702E33410_003100-T1,PF00501.35,17,384,85,507,244.8,adenylation
TFCN1702E33410,TFCN1702E33410_001177-T1,PF00501.35,15,384,91,515,240.4,adenylation
TFCN1702E33410,TFCN1702E33410_004477-T1,PF00501.35,2,384,53,441,234.2,adenylation
TFCN1702E33410,TFCN1702E33410_000712-T1,PF00501.35,3,383,34,413,205.4,adenylation
TFCN1702E33410,TFCN1702E33410_002196-T1,PF00501.35,1,383,220,642,200.9,adenylation
TFCN1702E33410,TFCN1702E33410_000168-T1,PF00501.35,47,383,118,468,190.7,adenylation
TFCN1702E33410,TFCN1702E33410_001920-T1,PF00501.35,1,384,338,736,193.9,adenylation
TFCN1702E33410,TFCN1702E33410_006777-T1,PF00501.35,1,372,55,440,172.5,adenylation
TFCN1702E33410,TFCN1702E33410_006442-T1,PF00501.35,19,377,131,500,162.5,adenylation
DBVPG6083,DBVPG6083_000859-T1,PF00501.35,2,378,91,478,308.9,adenylation
DBVPG6083,DBVPG6083_000777-T1,PF00501.35,8,383,33,400,266.6,adenylation
DBVPG6083,DBVPG6083_003297-T1,PF00501.35,16,384,93,510,263.3,adenylation
DBVPG6083,DBVPG6083_002241-T1,PF00501.35,11,384,32,393,244.5,adenylation
DBVPG6083,DBVPG6083_004619-T1,PF00501.35,48,384,124,508,243.5,adenylation
DBVPG6083,DBVPG6083_005148-T1,PF00501.35,5,384,56,439,240.6,adenylation
DBVPG6083,DBVPG6083_005147-T1,PF00501.35,4,384,47,431,236.4,adenylation
DBVPG6083,DBVPG6083_004989-T1,PF00501.35,17,384,93,512,227.3,adenylation
DBVPG6083,DBVPG6083_002038-T1,PF00501.35,10,384,53,439,225.8,adenylation
DBVPG6083,DBVPG6083_002635-T1,PF00501.35,2,383,32,411,211.1,adenylation
