species_prefix,protein_id,n_adenylation_domains,is_two_module,LOCUSTAG,GENUS,SPECIES,STRAIN
DBVPG4956,DBVPG4956_003432-T1,1,False,DBVPG4956,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4956
TFCN86C7,TFCN86C7_002873-T1,1,False,TFCN86C7,Rhodotorula,Rhodotorula sp. clade I,TFCN 86C-7
TFCN25333D5,TFCN25333D5_004201-T1,1,False,TFCN25333D5,Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333D-5
TFCN211A3,TFCN211A3_003766-T1,1,False,TFCN211A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 211A-3
DBVPG3771,DBVPG3771_002784-T1,1,False,DBVPG3771,Rhodotorula,Rhodotorula dairenensis,DBVPG 3771
TFCN25331D1,TFCN25331D1_008657-T1,1,False,TFCN25331D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-331D-1
TFCN25331D1,TFCN25331D1_009076-T1,1,False,TFCN25331D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-331D-1
TFCN98A10,TFCN98A10_003494-T1,1,False,TFCN98A10,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98A-10
TFCN152A2,TFCN152A2_003273-T1,1,False,TFCN152A2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-2
DBVPG3775,DBVPG3775_003349-T1,1,False,DBVPG3775,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3775
DBVPG6660,DBVPG6660_004587-T1,1,False,DBVPG6660,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6660
DBVPG3045,DBVPG3045_000649-T1,1,False,DBVPG3045,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3045
DBVPG4949,DBVPG4949_004766-T1,1,False,DBVPG4949,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4949
TFCN4M14,TFCN4M14_002156-T1,1,False,TFCN4M14,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-4
TFCN17325D4,TFCN17325D4_004250-T1,1,False,TFCN17325D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-325D-4
TFCN17328C3,TFCN17328C3_006089-T1,1,False,TFCN17328C3,Rhodotorula,Rhodotorula sp. clade I,TFCN 17-328C-3
TFCN17334Y6,TFCN17334Y6_000445-T1,1,False,TFCN17334Y6,Rhodotorula,Rhodotorula diobovata,TFCN 17-334Y-6
TFCN17334Y6,TFCN17334Y6_002753-T1,1,False,TFCN17334Y6,Rhodotorula,Rhodotorula diobovata,TFCN 17-334Y-6
TFCN152A1,TFCN152A1_009838-T1,1,False,TFCN152A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-1
TFCN152A1,TFCN152A1_006408-T1,1,False,TFCN152A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-1
TFCN138A1,TFCN138A1_003831-T1,1,False,TFCN138A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 138A-1
TFCN2M14,TFCN2M14_003390-T1,1,False,TFCN2M14,Rhodotorula,Rhodotorula mucilaginosa,TFCN 2M-1-4
DBVPG3384,DBVPG3384_004772-T1,1,False,DBVPG3384,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3384
DBVPG8058,DBVPG8058_002045-T1,1,False,DBVPG8058,Rhodotorula,Rhodotorula sp. clade I,DBVPG 8058
TFCN17334Y3,TFCN17334Y3_003819-T1,1,False,TFCN17334Y3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334Y-3
OM446,OM446_005899-T1,1,False,OM446,Rhodotorula,Rhodotorula diobovata,NRRL Y-7196
OM446,OM446_007038-T1,1,False,OM446,Rhodotorula,Rhodotorula diobovata,NRRL Y-7196
OM448,OM448_006643-T1,1,False,OM448,Rhodotorula,Rhodotorula paludigena,NRRL Y-12923
TFCN25332M1,TFCN25332M1_003603-T1,1,False,TFCN25332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332M-1
DBVPG5759,DBVPG5759_003078-T1,1,False,DBVPG5759,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5759
DBVPG5759,DBVPG5759_001803-T1,1,False,DBVPG5759,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5759
DBVPG10842,DBVPG10842_003888-T1,1,False,DBVPG10842,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10842
TFCN25327D1,TFCN25327D1_003464-T1,1,False,TFCN25327D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-327D-1
DBVPG3444,DBVPG3444_003935-T1,1,False,DBVPG3444,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3444
DBVPG3444,DBVPG3444_003536-T1,1,False,DBVPG3444,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3444
DBVPG3237,DBVPG3237_003095-T1,1,False,DBVPG3237,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3237
TFCN25335P1,TFCN25335P1_000254-T1,1,False,TFCN25335P1,Rhodotorula,Rhodotorula diobovata,TFCN 25-335P-1
TFCN25335P1,TFCN25335P1_003658-T1,1,False,TFCN25335P1,Rhodotorula,Rhodotorula diobovata,TFCN 25-335P-1
TFCN20965,TFCN20965_002151-T1,1,False,TFCN20965,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-5
TFCN102D1,TFCN102D1_002808-T1,1,False,TFCN102D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 102D-1
TFCN22C4,TFCN22C4_008902-T1,1,False,TFCN22C4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 22C-4
TFCN22C4,TFCN22C4_009495-T1,1,False,TFCN22C4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 22C-4
TFCN100D1,TFCN100D1_004851-T1,1,False,TFCN100D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 100D-1
DBVPG3382,DBVPG3382_003833-T1,1,False,DBVPG3382,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3382
TFCN140A3,TFCN140A3_005798-T1,1,False,TFCN140A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 140A-3
TFCN102C1,TFCN102C1_002363-T1,1,False,TFCN102C1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 102C-1
DBVPG3442,DBVPG3442_005364-T1,1,False,DBVPG3442,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3442
DBVPG6743,DBVPG6743_003013-T1,1,False,DBVPG6743,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6743
TFCN48D4,TFCN48D4_003086-T1,1,False,TFCN48D4,Rhodotorula,Rhodotorula paludigena,TFCN 48D-4
TFCN86A12,TFCN86A12_002037-T1,1,False,TFCN86A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-12
TFCN134A3,TFCN134A3_004486-T1,1,False,TFCN134A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 134A-3
TFCN17338D3,TFCN17338D3_002703-T1,1,False,TFCN17338D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-338D-3
TFCN4M13,TFCN4M13_003149-T1,1,False,TFCN4M13,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-3
TFCN86A6,TFCN86A6_005301-T1,1,False,TFCN86A6,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-6
DBVPG5229,DBVPG5229_002790-T1,1,False,DBVPG5229,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5229
DBVPG4947,DBVPG4947_005233-T1,1,False,DBVPG4947,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4947
DBVPG10753,DBVPG10753_008756-T1,1,False,DBVPG10753,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10753
DBVPG4531,DBVPG4531_002390-T1,1,False,DBVPG4531,Rhodotorula,Rhodotorula taiwanensis,DBVPG 4531
TFCN2502E3337,TFCN2502E3337_006570-T1,1,False,TFCN2502E3337,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-7
DBVPG3090,DBVPG3090_007451-T1,1,False,DBVPG3090,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3090
DBVPG10619,DBVPG10619_002295-T1,1,False,DBVPG10619,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10619
DBVPG3044,DBVPG3044_007341-T1,1,False,DBVPG3044,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3044
DBVPG7539,DBVPG7539_006110-T1,1,False,DBVPG7539,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 7539
DBVPG4534,DBVPG4534_003733-T1,1,False,DBVPG4534,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4534
TFCN0520422,TFCN0520422_003224-T1,1,False,TFCN0520422,Rhodotorula,Rhodotorula taiwanensis,TFCN 0520-4-2-2
DBVPG6121,DBVPG6121_005180-T1,1,False,DBVPG6121,Rhodotorula,Rhodotorula toruloides,DBVPG 6121
DBVPG6121,DBVPG6121_002960-T1,1,False,DBVPG6121,Rhodotorula,Rhodotorula toruloides,DBVPG 6121
TFCN89D3,TFCN89D3_002952-T1,1,False,TFCN89D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 89D-3
DBVPG3773,DBVPG3773_001476-T1,1,False,DBVPG3773,Rhodotorula,Rhodotorula dairenensis,DBVPG 3773
TFCN17334C1,TFCN17334C1_003235-T1,1,False,TFCN17334C1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334C-1
DBVPG3857,DBVPG3857_012363-T1,1,False,DBVPG3857,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3857
DBVPG3857,DBVPG3857_006431-T1,1,False,DBVPG3857,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3857
DBVPG6742,DBVPG6742_003986-T1,1,False,DBVPG6742,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6742
TFCN172A1,TFCN172A1_004903-T1,1,False,TFCN172A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 172A-1
DBVPG4201,DBVPG4201_004934-T1,1,False,DBVPG4201,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4201
TFCN17328P3,TFCN17328P3_005454-T1,1,False,TFCN17328P3,Rhodotorula,Rhodotorula sp. clade I,TFCN 17-328P-3
TFCN36312,TFCN36312_006448-T1,1,False,TFCN36312,Rhodotorula,Rhodotorula mucilaginosa,TFCN 363-1-2
TFCN2502E3335,TFCN2502E3335_003753-T1,1,False,TFCN2502E3335,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-5
TFCN122C2,TFCN122C2_005727-T1,1,False,TFCN122C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 122C-2
TFCN17334Y5,TFCN17334Y5_008476-T1,1,False,TFCN17334Y5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334Y-5
TFCN17334Y5,TFCN17334Y5_008608-T1,1,False,TFCN17334Y5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334Y-5
TFCN110C1,TFCN110C1_003378-T1,1,False,TFCN110C1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 110C-1
DBVPG3853,DBVPG3853_000391-T1,1,False,DBVPG3853,Rhodotorula,Rhodotorula dairenensis,DBVPG 3853
TFCN3M11,TFCN3M11_002694-T1,1,False,TFCN3M11,Rhodotorula,Rhodotorula mucilaginosa,TFCN 3M-1-1
DBVPG4377,DBVPG4377_003643-T1,1,False,DBVPG4377,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4377
DBVPG3780,DBVPG3780_005306-T1,1,False,DBVPG3780,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3780
TFCN152A4,TFCN152A4_003461-T1,1,False,TFCN152A4,Rhodotorula,Rhodotorula toruloides,TFCN 152A-4
TFCN152A4,TFCN152A4_005642-T1,1,False,TFCN152A4,Rhodotorula,Rhodotorula toruloides,TFCN 152A-4
TFCN792,TFCN792_001707-T1,1,False,TFCN792,Rhodotorula,Rhodotorula diobovata,TFCN 7-9-2
DBVPG10348,DBVPG10348_001816-T1,1,False,DBVPG10348,Rhodotorula,Rhodotorula sp. clade XI,DBVPG 10348
TFCN20962,TFCN20962_003641-T1,1,False,TFCN20962,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-2
DBVPG6741,DBVPG6741_003171-T1,1,False,DBVPG6741,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6741
TFCN793,TFCN793_001450-T1,1,False,TFCN793,Rhodotorula,Rhodotorula diobovata,TFCN 7-9-3
DBVPG4946,DBVPG4946_006247-T1,1,False,DBVPG4946,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4946
TFCN17333P6,TFCN17333P6_005236-T1,1,False,TFCN17333P6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-333P-6
TFCN17333P6,TFCN17333P6_003081-T1,1,False,TFCN17333P6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-333P-6
DBVPG4963,DBVPG4963_001221-T1,1,False,DBVPG4963,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4963
DBVPG4618,DBVPG4618_004171-T1,1,False,DBVPG4618,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4618
TFCN98C3,TFCN98C3_006128-T1,1,False,TFCN98C3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-3
TFCN25334Y6,TFCN25334Y6_004329-T1,1,False,TFCN25334Y6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334Y-6
DBVPG3768,DBVPG3768_001497-T1,1,False,DBVPG3768,Rhodotorula,Rhodotorula dairenensis,DBVPG 3768
DBVPG7316,DBVPG7316_007359-T1,1,False,DBVPG7316,Rhodotorula,Rhodotorula paludigena,DBVPG 7316
DBVPG4945,DBVPG4945_006910-T1,1,False,DBVPG4945,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4945
TFCN43A4,TFCN43A4_007072-T1,1,False,TFCN43A4,Rhodotorula,Rhodotorula paludigena,TFCN 43A-4
TFCN3422,TFCN3422_003346-T1,1,False,TFCN3422,Rhodotorula,Rhodotorula paludigena,TFCN 342-2
DBVPG3777,DBVPG3777_002273-T1,1,False,DBVPG3777,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3777
TFCN48A10,TFCN48A10_006278-T1,1,False,TFCN48A10,Rhodotorula,Rhodotorula paludigena,TFCN 48A-10
TFCN17332C1,TFCN17332C1_001803-T1,1,False,TFCN17332C1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332C-1
TFCN25332P2,TFCN25332P2_005372-T1,1,False,TFCN25332P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332P-2
TFCN21364,TFCN21364_003028-T1,1,False,TFCN21364,Rhodotorula,Rhodotorula mucilaginosa,TFCN 213-6-4
TFCN17334Y2,TFCN17334Y2_003451-T1,1,False,TFCN17334Y2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334Y-2
DBVPG5236,DBVPG5236_003052-T1,1,False,DBVPG5236,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5236
TFCN33A4,TFCN33A4_004478-T1,1,False,TFCN33A4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 33A-4
TFCN102D2,TFCN102D2_003227-T1,1,False,TFCN102D2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 102D-2
TFCN48C3,TFCN48C3_007350-T1,1,False,TFCN48C3,Rhodotorula,Rhodotorula paludigena,TFCN 48C-3
TFCN17390M1,TFCN17390M1_007553-T1,1,False,TFCN17390M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-390M-1
TFCN17390M1,TFCN17390M1_008176-T1,1,False,TFCN17390M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-390M-1
TFCN25333D1,TFCN25333D1_001730-T1,1,False,TFCN25333D1,Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333D-1
TFCN105A2,TFCN105A2_002676-T1,1,False,TFCN105A2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 105A-2
TFCN17325D2,TFCN17325D2_004536-T1,1,False,TFCN17325D2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-325D-2
DBVPG3770,DBVPG3770_002093-T1,1,False,DBVPG3770,Rhodotorula,Rhodotorula dairenensis,DBVPG 3770
TFCN2502E3331,TFCN2502E3331_009020-T1,1,False,TFCN2502E3331,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-1
TFCN2502E3331,TFCN2502E3331_009129-T1,1,False,TFCN2502E3331,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-1
DBVPG4408,DBVPG4408_005417-T1,1,False,DBVPG4408,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4408
DBVPG6093,DBVPG6093_001883-T1,1,False,DBVPG6093,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6093
TFCN181A1,TFCN181A1_002451-T1,1,False,TFCN181A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 181A-1
TFCN209617,TFCN209617_002647-T1,1,False,TFCN209617,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-17
TFCN106A1,TFCN106A1_002412-T1,1,False,TFCN106A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 106A-1
TFCN1702E3901,TFCN1702E3901_009655-T1,1,False,TFCN1702E3901,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-1
TFCN1702E3901,TFCN1702E3901_010204-T1,1,False,TFCN1702E3901,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-1
TFCN1A13,TFCN1A13_002498-T1,1,False,TFCN1A13,Rhodotorula,Rhodotorula pacifica,TFCN 1A-1-3
TFCNS22D1,TFCNS22D1_004234-T1,1,False,TFCNS22D1,Rhodotorula,Rhodotorula taiwanensis,TFCN S22D-1
TFCN20961,TFCN20961_004435-T1,1,False,TFCN20961,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-1
TFCN212C2,TFCN212C2_003073-T1,1,False,TFCN212C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 212C-2
DBVPG5226,DBVPG5226_002705-T1,1,False,DBVPG5226,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5226
DBVPG3769,DBVPG3769_001453-T1,1,False,DBVPG3769,Rhodotorula,Rhodotorula dairenensis,DBVPG 3769
TFCN25335Y1,TFCN25335Y1_004725-T1,1,False,TFCN25335Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-335Y-1
OM449,OM449_007036-T1,1,False,OM449,Rhodotorula,Rhodotorula araucariae,NRRL Y-17376
TFCN1702E3344,TFCN1702E3344_001372-T1,1,False,TFCN1702E3344,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E334-4
DBVPG7947,DBVPG7947_005393-T1,1,False,DBVPG7947,Rhodotorula,Rhodotorula sp. clade XIII,DBVPG 7947
TFCN3571,TFCN3571_003887-T1,1,False,TFCN3571,Rhodotorula,Rhodotorula taiwanensis,TFCN 357-1
OM447,OM447_000299-T1,1,False,OM447,Rhodotorula,Rhodotorula dairenensis,NRRL Y-2504
DBVPG10886,DBVPG10886_002359-T1,1,False,DBVPG10886,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10886
DBVPG7323,DBVPG7323_005634-T1,1,False,DBVPG7323,Rhodotorula,Rhodotorula paludigena,DBVPG 7323
DBVPG4304,DBVPG4304_003052-T1,1,False,DBVPG4304,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4304
OM429,OM429_007096-T1,1,False,OM429,Rhodotorula,Rhodotorula mucilaginosa,NRRL Y-2510
TFCN2502E3321,TFCN2502E3321_000610-T1,1,False,TFCN2502E3321,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E332-1
DBVPG6195,DBVPG6195_002935-T1,1,False,DBVPG6195,Rhodotorula,Rhodotorula diobovata,DBVPG 6195
TFCN48A15,TFCN48A15_004372-T1,1,False,TFCN48A15,Rhodotorula,Rhodotorula paludigena,TFCN 48A-15
TFCN25333Y2,TFCN25333Y2_005385-T1,1,False,TFCN25333Y2,Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333Y-2
DBVPG7019,DBVPG7019_004625-T1,1,False,DBVPG7019,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 7019
TFCN2502E3339,TFCN2502E3339_006879-T1,1,False,TFCN2502E3339,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-9
TFCN98D11,TFCN98D11_004818-T1,1,False,TFCN98D11,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98D-11
DBVPG5235,DBVPG5235_002322-T1,1,False,DBVPG5235,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5235
DBVPG3235,DBVPG3235_007280-T1,1,False,DBVPG3235,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3235
DBVPG10937,DBVPG10937_002540-T1,1,False,DBVPG10937,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10937
TFCN1B12,TFCN1B12_002363-T1,1,False,TFCN1B12,Rhodotorula,Rhodotorula pacifica,TFCN 1B-1-2
TFCN48A3,TFCN48A3_003761-T1,1,False,TFCN48A3,Rhodotorula,Rhodotorula paludigena,TFCN 48A-3
TFCN20964,TFCN20964_003715-T1,1,False,TFCN20964,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-4
TFCN49A1,TFCN49A1_006994-T1,1,False,TFCN49A1,Rhodotorula,Rhodotorula paludigena,TFCN 49A-1
DBVPG5225,DBVPG5225_005338-T1,1,False,DBVPG5225,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5225
