ASMID,SPECIES_IN,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,TRANSL_TABLE,LOCUSTAG
LOCAL_Rhodotorula_graminis_DBVPG_6083.proteins,Rhodotorula graminis,DBVPG 6083,,29898,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula graminis,1,DBVPG6083
LOCAL_Rhodotorula_graminis_DBVPG_7021.proteins,Rhodotorula graminis,DBVPG 7021,,29898,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula graminis,1,DBVPG7021
LOCAL_Rhodotorula_graminis_NRRL_Y-2474.proteins,Rhodotorula graminis,NRRL Y-2474,,29898,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula graminis,1,OM441
LOCAL_Rhodotorula_kratochvilovae_DBVPG_10383.proteins,Rhodotorula kratochvilovae,DBVPG 10383,,86836,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula kratochvilovae,1,DBVPG10383
LOCAL_Rhodotorula_kratochvilovae_DBVPG_10753.proteins,Rhodotorula kratochvilovae,DBVPG 10753,,86836,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula kratochvilovae,1,DBVPG10753
LOCAL_Rhodotorula_kratochvilovae_DBVPG_7539.proteins,Rhodotorula kratochvilovae,DBVPG 7539,,86836,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula kratochvilovae,1,DBVPG7539
LOCAL_Rhodotorula_mucilaginosa_DBVPG_10619.proteins,Rhodotorula mucilaginosa,DBVPG 10619,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG10619
LOCAL_Rhodotorula_mucilaginosa_DBVPG_10780.proteins,Rhodotorula mucilaginosa,DBVPG 10780,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG10780
LOCAL_Rhodotorula_mucilaginosa_DBVPG_10842.proteins,Rhodotorula mucilaginosa,DBVPG 10842,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG10842
LOCAL_Rhodotorula_mucilaginosa_DBVPG_10882.proteins,Rhodotorula mucilaginosa,DBVPG 10882,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG10882
LOCAL_Rhodotorula_mucilaginosa_DBVPG_10886.proteins,Rhodotorula mucilaginosa,DBVPG 10886,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG10886
LOCAL_Rhodotorula_mucilaginosa_DBVPG_10937.proteins,Rhodotorula mucilaginosa,DBVPG 10937,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG10937
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3044.proteins,Rhodotorula mucilaginosa,DBVPG 3044,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3044
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3045.proteins,Rhodotorula mucilaginosa,DBVPG 3045,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3045
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3090.proteins,Rhodotorula mucilaginosa,DBVPG 3090,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3090
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3235.proteins,Rhodotorula mucilaginosa,DBVPG 3235,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3235
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3236.proteins,Rhodotorula mucilaginosa,DBVPG 3236,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3236
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3237.proteins,Rhodotorula mucilaginosa,DBVPG 3237,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3237
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3238.proteins,Rhodotorula mucilaginosa,DBVPG 3238,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3238
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3381.proteins,Rhodotorula mucilaginosa,DBVPG 3381,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3381
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3382.proteins,Rhodotorula mucilaginosa,DBVPG 3382,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3382
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3383.proteins,Rhodotorula mucilaginosa,DBVPG 3383,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3383
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3384.proteins,Rhodotorula mucilaginosa,DBVPG 3384,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3384
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3442.proteins,Rhodotorula mucilaginosa,DBVPG 3442,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3442
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3443.proteins,Rhodotorula mucilaginosa,DBVPG 3443,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3443
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3444.proteins,Rhodotorula mucilaginosa,DBVPG 3444,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3444
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3774.proteins,Rhodotorula mucilaginosa,DBVPG 3774,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3774
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3775.proteins,Rhodotorula mucilaginosa,DBVPG 3775,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3775
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3776.proteins,Rhodotorula mucilaginosa,DBVPG 3776,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3776
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3777.proteins,Rhodotorula mucilaginosa,DBVPG 3777,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3777
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3778.proteins,Rhodotorula mucilaginosa,DBVPG 3778,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3778
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3780.proteins,Rhodotorula mucilaginosa,DBVPG 3780,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3780
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3854.proteins,Rhodotorula mucilaginosa,DBVPG 3854,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3854
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3855.proteins,Rhodotorula mucilaginosa,DBVPG 3855,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3855
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3856.proteins,Rhodotorula mucilaginosa,DBVPG 3856,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3856
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3857.proteins,Rhodotorula mucilaginosa,DBVPG 3857,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3857
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3858.proteins,Rhodotorula mucilaginosa,DBVPG 3858,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3858
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3983.proteins,Rhodotorula mucilaginosa,DBVPG 3983,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3983
LOCAL_Rhodotorula_mucilaginosa_DBVPG_3984.proteins,Rhodotorula mucilaginosa,DBVPG 3984,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG3984
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4201.proteins,Rhodotorula mucilaginosa,DBVPG 4201,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4201
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4202.proteins,Rhodotorula mucilaginosa,DBVPG 4202,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4202
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4203.proteins,Rhodotorula mucilaginosa,DBVPG 4203,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4203
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4304.proteins,Rhodotorula mucilaginosa,DBVPG 4304,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4304
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4376.proteins,Rhodotorula mucilaginosa,DBVPG 4376,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4376
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4377.proteins,Rhodotorula mucilaginosa,DBVPG 4377,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4377
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4378.proteins,Rhodotorula mucilaginosa,DBVPG 4378,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4378
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4380.proteins,Rhodotorula mucilaginosa,DBVPG 4380,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4380
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4408.proteins,Rhodotorula mucilaginosa,DBVPG 4408,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4408
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4466.proteins,Rhodotorula mucilaginosa,DBVPG 4466,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4466
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4534.proteins,Rhodotorula mucilaginosa,DBVPG 4534,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4534
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4618.proteins,Rhodotorula mucilaginosa,DBVPG 4618,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4618
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4669.proteins,Rhodotorula mucilaginosa,DBVPG 4669,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4669
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4920.proteins,Rhodotorula mucilaginosa,DBVPG 4920,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4920
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4945.proteins,Rhodotorula mucilaginosa,DBVPG 4945,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4945
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4946.proteins,Rhodotorula mucilaginosa,DBVPG 4946,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4946
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4947.proteins,Rhodotorula mucilaginosa,DBVPG 4947,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4947
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4949.proteins,Rhodotorula mucilaginosa,DBVPG 4949,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4949
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4950.proteins,Rhodotorula mucilaginosa,DBVPG 4950,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4950
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4956.proteins,Rhodotorula mucilaginosa,DBVPG 4956,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4956
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4957.proteins,Rhodotorula mucilaginosa,DBVPG 4957,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4957
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4958.proteins,Rhodotorula mucilaginosa,DBVPG 4958,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4958
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4962.proteins,Rhodotorula mucilaginosa,DBVPG 4962,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4962
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4963.proteins,Rhodotorula mucilaginosa,DBVPG 4963,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4963
LOCAL_Rhodotorula_mucilaginosa_DBVPG_4964.proteins,Rhodotorula mucilaginosa,DBVPG 4964,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG4964
LOCAL_Rhodotorula_mucilaginosa_DBVPG_5225.proteins,Rhodotorula mucilaginosa,DBVPG 5225,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG5225
LOCAL_Rhodotorula_mucilaginosa_DBVPG_5226.proteins,Rhodotorula mucilaginosa,DBVPG 5226,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG5226
LOCAL_Rhodotorula_mucilaginosa_DBVPG_5227.proteins,Rhodotorula mucilaginosa,DBVPG 5227,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG5227
LOCAL_Rhodotorula_mucilaginosa_DBVPG_5228.proteins,Rhodotorula mucilaginosa,DBVPG 5228,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG5228
LOCAL_Rhodotorula_mucilaginosa_DBVPG_5229.proteins,Rhodotorula mucilaginosa,DBVPG 5229,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG5229
LOCAL_Rhodotorula_mucilaginosa_DBVPG_5235.proteins,Rhodotorula mucilaginosa,DBVPG 5235,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG5235
LOCAL_Rhodotorula_mucilaginosa_DBVPG_5236.proteins,Rhodotorula mucilaginosa,DBVPG 5236,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG5236
LOCAL_Rhodotorula_mucilaginosa_DBVPG_5757.proteins,Rhodotorula mucilaginosa,DBVPG 5757,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG5757
LOCAL_Rhodotorula_mucilaginosa_DBVPG_5758.proteins,Rhodotorula mucilaginosa,DBVPG 5758,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG5758
LOCAL_Rhodotorula_mucilaginosa_DBVPG_5759.proteins,Rhodotorula mucilaginosa,DBVPG 5759,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG5759
LOCAL_Rhodotorula_mucilaginosa_DBVPG_6091.proteins,Rhodotorula mucilaginosa,DBVPG 6091,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG6091
LOCAL_Rhodotorula_mucilaginosa_DBVPG_6092.proteins,Rhodotorula mucilaginosa,DBVPG 6092,,5537,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,1,DBVPG6092
