tree_tip,species,complete_pct
Rhodotorula_mucilaginosa_DBVPG_10842.proteins,Rhodotorula mucilaginosa,96.0
Rhodotorula_mucilaginosa_DBVPG_10882.proteins,Rhodotorula mucilaginosa,96.6
Rhodotorula_mucilaginosa_DBVPG_10886.proteins,Rhodotorula mucilaginosa,90.7
Rhodotorula_mucilaginosa_DBVPG_10937.proteins,Rhodotorula mucilaginosa,95.5
Rhodotorula_mucilaginosa_DBVPG_3044.proteins,Rhodotorula mucilaginosa,95.3
Rhodotorula_mucilaginosa_DBVPG_3045.proteins,Rhodotorula mucilaginosa,96.8
Rhodotorula_mucilaginosa_DBVPG_3090.proteins,Rhodotorula mucilaginosa,96.2
Rhodotorula_mucilaginosa_DBVPG_3235.proteins,Rhodotorula mucilaginosa,95.6
Rhodotorula_mucilaginosa_DBVPG_3236.proteins,Rhodotorula mucilaginosa,90.4
Rhodotorula_mucilaginosa_DBVPG_3237.proteins,Rhodotorula mucilaginosa,95.6
Rhodotorula_mucilaginosa_DBVPG_3238.proteins,Rhodotorula mucilaginosa,93.6
Rhodotorula_mucilaginosa_DBVPG_3381.proteins,Rhodotorula mucilaginosa,93.9
Rhodotorula_mucilaginosa_DBVPG_3382.proteins,Rhodotorula mucilaginosa,94.3
Rhodotorula_mucilaginosa_DBVPG_3383.proteins,Rhodotorula mucilaginosa,93.9
Rhodotorula_mucilaginosa_DBVPG_3384.proteins,Rhodotorula mucilaginosa,94.5
Rhodotorula_mucilaginosa_DBVPG_3442.proteins,Rhodotorula mucilaginosa,96.3
Rhodotorula_mucilaginosa_DBVPG_3443.proteins,Rhodotorula mucilaginosa,96.3
Rhodotorula_mucilaginosa_DBVPG_3444.proteins,Rhodotorula mucilaginosa,96.7
Rhodotorula_mucilaginosa_DBVPG_3774.proteins,Rhodotorula mucilaginosa,93.9
Rhodotorula_mucilaginosa_DBVPG_3775.proteins,Rhodotorula mucilaginosa,96.7
Rhodotorula_mucilaginosa_DBVPG_3776.proteins,Rhodotorula mucilaginosa,96.6
Rhodotorula_mucilaginosa_DBVPG_3777.proteins,Rhodotorula mucilaginosa,96.5
Rhodotorula_mucilaginosa_DBVPG_3778.proteins,Rhodotorula mucilaginosa,95.8
Rhodotorula_mucilaginosa_DBVPG_3780.proteins,Rhodotorula mucilaginosa,96.4
Rhodotorula_mucilaginosa_DBVPG_3854.proteins,Rhodotorula mucilaginosa,97.1
Rhodotorula_mucilaginosa_DBVPG_3855.proteins,Rhodotorula mucilaginosa,81.0
Rhodotorula_mucilaginosa_DBVPG_3856.proteins,Rhodotorula mucilaginosa,96.4
Rhodotorula_mucilaginosa_DBVPG_3857.proteins,Rhodotorula mucilaginosa,97.0
Rhodotorula_mucilaginosa_DBVPG_3858.proteins,Rhodotorula mucilaginosa,96.8
Rhodotorula_mucilaginosa_DBVPG_3983.proteins,Rhodotorula mucilaginosa,96.1
Rhodotorula_mucilaginosa_DBVPG_3984.proteins,Rhodotorula mucilaginosa,96.2
Rhodotorula_mucilaginosa_DBVPG_4201.proteins,Rhodotorula mucilaginosa,96.3
Rhodotorula_mucilaginosa_DBVPG_4202.proteins,Rhodotorula mucilaginosa,95.1
Rhodotorula_mucilaginosa_DBVPG_4203.proteins,Rhodotorula mucilaginosa,93.6
Rhodotorula_mucilaginosa_DBVPG_4304.proteins,Rhodotorula mucilaginosa,93.6
Rhodotorula_mucilaginosa_DBVPG_4376.proteins,Rhodotorula mucilaginosa,95.0
Rhodotorula_mucilaginosa_DBVPG_4377.proteins,Rhodotorula mucilaginosa,95.8
Rhodotorula_mucilaginosa_DBVPG_4378.proteins,Rhodotorula mucilaginosa,94.8
Rhodotorula_mucilaginosa_DBVPG_4380.proteins,Rhodotorula mucilaginosa,90.7
Rhodotorula_mucilaginosa_DBVPG_4408.proteins,Rhodotorula mucilaginosa,96.2
Rhodotorula_mucilaginosa_DBVPG_4466.proteins,Rhodotorula mucilaginosa,93.3
Rhodotorula_mucilaginosa_DBVPG_4534.proteins,Rhodotorula mucilaginosa,95.9
Rhodotorula_mucilaginosa_DBVPG_4618.proteins,Rhodotorula mucilaginosa,96.5
Rhodotorula_mucilaginosa_DBVPG_4669.proteins,Rhodotorula mucilaginosa,89.8
Rhodotorula_mucilaginosa_DBVPG_4920.proteins,Rhodotorula mucilaginosa,96.1
Rhodotorula_mucilaginosa_DBVPG_4945.proteins,Rhodotorula mucilaginosa,95.5
Rhodotorula_mucilaginosa_DBVPG_4946.proteins,Rhodotorula mucilaginosa,96.5
Rhodotorula_mucilaginosa_DBVPG_4947.proteins,Rhodotorula mucilaginosa,96.0
Rhodotorula_mucilaginosa_DBVPG_4949.proteins,Rhodotorula mucilaginosa,95.5
Rhodotorula_mucilaginosa_DBVPG_4950.proteins,Rhodotorula mucilaginosa,95.0
Rhodotorula_mucilaginosa_DBVPG_4956.proteins,Rhodotorula mucilaginosa,95.9
Rhodotorula_mucilaginosa_DBVPG_4957.proteins,Rhodotorula mucilaginosa,95.9
Rhodotorula_mucilaginosa_DBVPG_4958.proteins,Rhodotorula mucilaginosa,95.3
Rhodotorula_mucilaginosa_DBVPG_4962.proteins,Rhodotorula mucilaginosa,96.5
Rhodotorula_mucilaginosa_DBVPG_4963.proteins,Rhodotorula mucilaginosa,96.4
Rhodotorula_mucilaginosa_DBVPG_4964.proteins,Rhodotorula mucilaginosa,95.9
Rhodotorula_mucilaginosa_DBVPG_5225.proteins,Rhodotorula mucilaginosa,96.7
Rhodotorula_mucilaginosa_DBVPG_5226.proteins,Rhodotorula mucilaginosa,96.7
Rhodotorula_mucilaginosa_DBVPG_5227.proteins,Rhodotorula mucilaginosa,96.7
Rhodotorula_mucilaginosa_DBVPG_5228.proteins,Rhodotorula mucilaginosa,96.3
Rhodotorula_mucilaginosa_DBVPG_5229.proteins,Rhodotorula mucilaginosa,94.7
Rhodotorula_mucilaginosa_DBVPG_5235.proteins,Rhodotorula mucilaginosa,96.4
Rhodotorula_mucilaginosa_DBVPG_5236.proteins,Rhodotorula mucilaginosa,93.4
Rhodotorula_mucilaginosa_DBVPG_5757.proteins,Rhodotorula mucilaginosa,94.2
Rhodotorula_mucilaginosa_DBVPG_5758.proteins,Rhodotorula mucilaginosa,93.8
Rhodotorula_mucilaginosa_DBVPG_5759.proteins,Rhodotorula mucilaginosa,92.2
Rhodotorula_mucilaginosa_DBVPG_6091.proteins,Rhodotorula mucilaginosa,96.3
Rhodotorula_mucilaginosa_DBVPG_6092.proteins,Rhodotorula mucilaginosa,96.4
Rhodotorula_mucilaginosa_DBVPG_6093.proteins,Rhodotorula mucilaginosa,94.2
Rhodotorula_mucilaginosa_DBVPG_6593.proteins,Rhodotorula mucilaginosa,96.4
Rhodotorula_mucilaginosa_DBVPG_6660.proteins,Rhodotorula mucilaginosa,93.8
Rhodotorula_mucilaginosa_DBVPG_6741.proteins,Rhodotorula mucilaginosa,95.2
Rhodotorula_mucilaginosa_DBVPG_6742.proteins,Rhodotorula mucilaginosa,95.8
Rhodotorula_mucilaginosa_DBVPG_6743.proteins,Rhodotorula mucilaginosa,96.3
Rhodotorula_mucilaginosa_DBVPG_6803.proteins,Rhodotorula mucilaginosa,95.3
Rhodotorula_mucilaginosa_DBVPG_7019.proteins,Rhodotorula mucilaginosa,93.5
Rhodotorula_mucilaginosa_DBVPG_8043.proteins,Rhodotorula mucilaginosa,96.5
Rhodotorula_mucilaginosa_NRRL_Y-2510.proteins,Rhodotorula mucilaginosa,96.4
Rhodotorula_mucilaginosa_TFCN_100D-1.proteins,Rhodotorula mucilaginosa,95.5
Rhodotorula_mucilaginosa_TFCN_102C-1.proteins,Rhodotorula mucilaginosa,95.5
Rhodotorula_mucilaginosa_TFCN_102C-2.proteins,Rhodotorula mucilaginosa,89.3
Rhodotorula_mucilaginosa_TFCN_102D-1.proteins,Rhodotorula mucilaginosa,94.7
Rhodotorula_mucilaginosa_TFCN_102D-2.proteins,Rhodotorula mucilaginosa,96.1
Rhodotorula_mucilaginosa_TFCN_105A-2.proteins,Rhodotorula mucilaginosa,94.1
Rhodotorula_mucilaginosa_TFCN_106A-1.proteins,Rhodotorula mucilaginosa,95.3
Rhodotorula_mucilaginosa_TFCN_107A-6.proteins,Rhodotorula mucilaginosa,95.5
Rhodotorula_mucilaginosa_TFCN_107C-3.proteins,Rhodotorula mucilaginosa,93.8
Rhodotorula_mucilaginosa_TFCN_110C-1.proteins,Rhodotorula mucilaginosa,95.3
Rhodotorula_mucilaginosa_TFCN_118C-2.proteins,Rhodotorula mucilaginosa,93.7
Rhodotorula_mucilaginosa_TFCN_122C-2.proteins,Rhodotorula mucilaginosa,94.5
Rhodotorula_mucilaginosa_TFCN_130D-4.proteins,Rhodotorula mucilaginosa,93.0
Rhodotorula_mucilaginosa_TFCN_134A-3.proteins,Rhodotorula mucilaginosa,93.2
Rhodotorula_mucilaginosa_TFCN_137C-3.proteins,Rhodotorula mucilaginosa,95.4
Rhodotorula_mucilaginosa_TFCN_137D-4.proteins,Rhodotorula mucilaginosa,94.9
Rhodotorula_mucilaginosa_TFCN_138A-1.proteins,Rhodotorula mucilaginosa,94.6
Rhodotorula_mucilaginosa_TFCN_140A-3.proteins,Rhodotorula mucilaginosa,93.9
Rhodotorula_mucilaginosa_TFCN_141C-2.proteins,Rhodotorula mucilaginosa,93.8
Rhodotorula_mucilaginosa_TFCN_152A-1.proteins,Rhodotorula mucilaginosa,97.8
Rhodotorula_mucilaginosa_TFCN_152A-12.proteins,Rhodotorula mucilaginosa,93.6
Rhodotorula_mucilaginosa_TFCN_152A-2.proteins,Rhodotorula mucilaginosa,95.7
Rhodotorula_mucilaginosa_TFCN_152A-5.proteins,Rhodotorula mucilaginosa,94.1
Rhodotorula_mucilaginosa_TFCN_152C-5.proteins,Rhodotorula mucilaginosa,95.5
Rhodotorula_mucilaginosa_TFCN_17-0-2E334-10.proteins,Rhodotorula mucilaginosa,93.7
Rhodotorula_mucilaginosa_TFCN_17-0-2E334-4.proteins,Rhodotorula mucilaginosa,96.4
Rhodotorula_mucilaginosa_TFCN_17-0-2E337-3.proteins,Rhodotorula mucilaginosa,97.5
Rhodotorula_mucilaginosa_TFCN_17-0-2E390-1.proteins,Rhodotorula mucilaginosa,97.4
Rhodotorula_mucilaginosa_TFCN_17-0-2E390-2.proteins,Rhodotorula mucilaginosa,97.2
Rhodotorula_mucilaginosa_TFCN_17-267M-1.proteins,Rhodotorula mucilaginosa,97.6
Rhodotorula_mucilaginosa_TFCN_17-291Y-1.proteins,Rhodotorula mucilaginosa,97.6
Rhodotorula_mucilaginosa_TFCN_17-325D-2.proteins,Rhodotorula mucilaginosa,95.6
Rhodotorula_mucilaginosa_TFCN_17-325D-4.proteins,Rhodotorula mucilaginosa,95.3
Rhodotorula_mucilaginosa_TFCN_17-325P-1.proteins,Rhodotorula mucilaginosa,89.5
Rhodotorula_mucilaginosa_TFCN_17-329Y-4.proteins,Rhodotorula mucilaginosa,95.9
Rhodotorula_mucilaginosa_TFCN_17-332C-1.proteins,Rhodotorula mucilaginosa,92.2
Rhodotorula_mucilaginosa_TFCN_17-332C-2.proteins,Rhodotorula mucilaginosa,91.9
Rhodotorula_mucilaginosa_TFCN_17-332M-1.proteins,Rhodotorula mucilaginosa,95.9
Rhodotorula_mucilaginosa_TFCN_17-332M-2.proteins,Rhodotorula mucilaginosa,94.3
Rhodotorula_mucilaginosa_TFCN_17-332P-1.proteins,Rhodotorula mucilaginosa,92.7
Rhodotorula_mucilaginosa_TFCN_17-332P-2.proteins,Rhodotorula mucilaginosa,93.0
Rhodotorula_mucilaginosa_TFCN_17-333D-2.proteins,Rhodotorula mucilaginosa,94.8
Rhodotorula_mucilaginosa_TFCN_17-333P-6.proteins,Rhodotorula mucilaginosa,97.9
Rhodotorula_mucilaginosa_TFCN_17-334C-1.proteins,Rhodotorula mucilaginosa,95.5
Rhodotorula_mucilaginosa_TFCN_17-334D-6.proteins,Rhodotorula mucilaginosa,97.8
Rhodotorula_mucilaginosa_TFCN_17-334Y-2.proteins,Rhodotorula mucilaginosa,93.7
Rhodotorula_mucilaginosa_TFCN_17-334Y-3.proteins,Rhodotorula mucilaginosa,93.8
Rhodotorula_mucilaginosa_TFCN_17-334Y-5.proteins,Rhodotorula mucilaginosa,97.7
Rhodotorula_mucilaginosa_TFCN_17-337P-5.proteins,Rhodotorula mucilaginosa,97.7
Rhodotorula_mucilaginosa_TFCN_17-338D-3.proteins,Rhodotorula mucilaginosa,93.5
Rhodotorula_mucilaginosa_TFCN_17-390M-1.proteins,Rhodotorula mucilaginosa,97.3
Rhodotorula_mucilaginosa_TFCN_172A-1.proteins,Rhodotorula mucilaginosa,95.3
Rhodotorula_mucilaginosa_TFCN_17Y-278-1.proteins,Rhodotorula mucilaginosa,96.7
Rhodotorula_mucilaginosa_TFCN_181A-1.proteins,Rhodotorula mucilaginosa,95.3
Rhodotorula_mucilaginosa_TFCN_1A-14.proteins,Rhodotorula mucilaginosa,93.3
Rhodotorula_mucilaginosa_TFCN_209-6-1.proteins,Rhodotorula mucilaginosa,93.7
Rhodotorula_mucilaginosa_TFCN_209-6-11.proteins,Rhodotorula mucilaginosa,96.0
Rhodotorula_mucilaginosa_TFCN_209-6-12.proteins,Rhodotorula mucilaginosa,96.0
Rhodotorula_mucilaginosa_TFCN_209-6-14.proteins,Rhodotorula mucilaginosa,93.5
Rhodotorula_mucilaginosa_TFCN_209-6-17.proteins,Rhodotorula mucilaginosa,93.2
Rhodotorula_mucilaginosa_TFCN_209-6-2.proteins,Rhodotorula mucilaginosa,93.6
Rhodotorula_mucilaginosa_TFCN_209-6-4.proteins,Rhodotorula mucilaginosa,93.7
Rhodotorula_mucilaginosa_TFCN_209-6-5.proteins,Rhodotorula mucilaginosa,95.5
Rhodotorula_mucilaginosa_TFCN_211A-3.proteins,Rhodotorula mucilaginosa,93.9
Rhodotorula_mucilaginosa_TFCN_212C-2.proteins,Rhodotorula mucilaginosa,93.6
Rhodotorula_mucilaginosa_TFCN_213-6-2.proteins,Rhodotorula mucilaginosa,95.5
Rhodotorula_mucilaginosa_TFCN_213-6-4.proteins,Rhodotorula mucilaginosa,93.2
Rhodotorula_mucilaginosa_TFCN_22C-4.proteins,Rhodotorula mucilaginosa,97.6
Rhodotorula_mucilaginosa_TFCN_25-0-2E332-1.proteins,Rhodotorula mucilaginosa,93.9
Rhodotorula_mucilaginosa_TFCN_25-0-2E333-1.proteins,Rhodotorula mucilaginosa,97.7
Rhodotorula_mucilaginosa_TFCN_25-0-2E333-5.proteins,Rhodotorula mucilaginosa,93.8
Rhodotorula_mucilaginosa_TFCN_25-0-2E333-7.proteins,Rhodotorula mucilaginosa,93.7
Rhodotorula_mucilaginosa_TFCN_25-0-2E333-9.proteins,Rhodotorula mucilaginosa,95.4
Rhodotorula_mucilaginosa_TFCN_25-0-2E334-1.proteins,Rhodotorula mucilaginosa,97.3
Rhodotorula_mucilaginosa_TFCN_25-0-2E390-1.proteins,Rhodotorula mucilaginosa,97.3
Rhodotorula_mucilaginosa_TFCN_25-325Y-1.proteins,Rhodotorula mucilaginosa,93.4
Rhodotorula_mucilaginosa_TFCN_25-327D-1.proteins,Rhodotorula mucilaginosa,94.2
Rhodotorula_mucilaginosa_TFCN_25-331D-1.proteins,Rhodotorula mucilaginosa,97.4
Rhodotorula_mucilaginosa_TFCN_25-332C-1.proteins,Rhodotorula mucilaginosa,92.1
Rhodotorula_mucilaginosa_TFCN_25-332D-1.proteins,Rhodotorula mucilaginosa,92.2
Rhodotorula_mucilaginosa_TFCN_25-332M-1.proteins,Rhodotorula mucilaginosa,92.2
Rhodotorula_mucilaginosa_TFCN_25-332P-2.proteins,Rhodotorula mucilaginosa,93.7
Rhodotorula_mucilaginosa_TFCN_25-332Y-1.proteins,Rhodotorula mucilaginosa,91.0
Rhodotorula_mucilaginosa_TFCN_25-333C-2.proteins,Rhodotorula mucilaginosa,94.3
Rhodotorula_mucilaginosa_TFCN_25-333P-2.proteins,Rhodotorula mucilaginosa,93.8
Rhodotorula_mucilaginosa_TFCN_25-333Y-10.proteins,Rhodotorula mucilaginosa,96.3
Rhodotorula_mucilaginosa_TFCN_25-333Y-9.proteins,Rhodotorula mucilaginosa,94.3
Rhodotorula_mucilaginosa_TFCN_25-334D-3.proteins,Rhodotorula mucilaginosa,91.7
Rhodotorula_mucilaginosa_TFCN_25-334Y-6.proteins,Rhodotorula mucilaginosa,96.5
Rhodotorula_mucilaginosa_TFCN_25-335Y-1.proteins,Rhodotorula mucilaginosa,95.1
Rhodotorula_mucilaginosa_TFCN_25-337M-3.proteins,Rhodotorula mucilaginosa,93.9
Rhodotorula_mucilaginosa_TFCN_25-337Y-1.proteins,Rhodotorula mucilaginosa,88.9
Rhodotorula_mucilaginosa_TFCN_25-395P-1.proteins,Rhodotorula mucilaginosa,96.4
Rhodotorula_mucilaginosa_TFCN_270H-2.proteins,Rhodotorula mucilaginosa,95.5
Rhodotorula_mucilaginosa_TFCN_273H-1.proteins,Rhodotorula mucilaginosa,93.9
Rhodotorula_mucilaginosa_TFCN_2M-1-4.proteins,Rhodotorula mucilaginosa,93.9
Rhodotorula_mucilaginosa_TFCN_33A-4.proteins,Rhodotorula mucilaginosa,96.6
Rhodotorula_mucilaginosa_TFCN_340-1.proteins,Rhodotorula mucilaginosa,93.9
Rhodotorula_mucilaginosa_TFCN_340-3.proteins,Rhodotorula mucilaginosa,93.9
Rhodotorula_mucilaginosa_TFCN_342-3.proteins,Rhodotorula mucilaginosa,95.3
Rhodotorula_mucilaginosa_TFCN_363-1-2.proteins,Rhodotorula mucilaginosa,95.6
Rhodotorula_mucilaginosa_TFCN_3M-1-1.proteins,Rhodotorula mucilaginosa,87.8
Rhodotorula_mucilaginosa_TFCN_404D-1.proteins,Rhodotorula mucilaginosa,97.1
Rhodotorula_mucilaginosa_TFCN_4M-1-2.proteins,Rhodotorula mucilaginosa,89.3
Rhodotorula_mucilaginosa_TFCN_4M-1-3.proteins,Rhodotorula mucilaginosa,93.8
Rhodotorula_mucilaginosa_TFCN_4M-1-4.proteins,Rhodotorula mucilaginosa,94.3
Rhodotorula_mucilaginosa_TFCN_4M-1-5.proteins,Rhodotorula mucilaginosa,93.7
Rhodotorula_mucilaginosa_TFCN_54D-1.proteins,Rhodotorula mucilaginosa,97.7
Rhodotorula_mucilaginosa_TFCN_54D-2.proteins,Rhodotorula mucilaginosa,91.3
Rhodotorula_mucilaginosa_TFCN_86A-12.proteins,Rhodotorula mucilaginosa,94.6
Rhodotorula_mucilaginosa_TFCN_86A-3.proteins,Rhodotorula mucilaginosa,95.4
Rhodotorula_mucilaginosa_TFCN_89D-3.proteins,Rhodotorula mucilaginosa,96.3
Rhodotorula_mucilaginosa_TFCN_98A-10.proteins,Rhodotorula mucilaginosa,93.8
Rhodotorula_mucilaginosa_TFCN_98A-5.proteins,Rhodotorula mucilaginosa,93.3
Rhodotorula_mucilaginosa_TFCN_98C-3.proteins,Rhodotorula mucilaginosa,93.0
Rhodotorula_mucilaginosa_TFCN_98C-5.proteins,Rhodotorula mucilaginosa,93.0
Rhodotorula_mucilaginosa_TFCN_98C-7.proteins,Rhodotorula mucilaginosa,93.9
Rhodotorula_mucilaginosa_TFCN_98C-8.proteins,Rhodotorula mucilaginosa,93.6
Rhodotorula_mucilaginosa_TFCN_98D-11.proteins,Rhodotorula mucilaginosa,95.5
Rhodotorula_mucilaginosa_TFCN_98D-7.proteins,Rhodotorula mucilaginosa,93.6
Rhodotorula_mucilaginosa_TFCN_98D-9.proteins,Rhodotorula mucilaginosa,93.3
Rhodotorula_pacifica_TFCN_1A-1-3.proteins,Rhodotorula mucilaginosa,93.4
Rhodotorula_pacifica_TFCN_1B-1-2.proteins,Rhodotorula mucilaginosa,93.6
Rhodotorula_paludigena_DBVPG_4610.proteins,Rhodotorula paludigena,95.7
Rhodotorula_paludigena_DBVPG_7316.proteins,Rhodotorula paludigena,96.3
Rhodotorula_paludigena_DBVPG_7323.proteins,Rhodotorula paludigena,96.9
Rhodotorula_paludigena_NRRL_Y-12923.proteins,Rhodotorula paludigena,97.0
Rhodotorula_paludigena_TFCN_1A-1-2.proteins,Rhodotorula mucilaginosa,93.9
Rhodotorula_paludigena_TFCN_25-333P-5.proteins,Rhodotorula paludigena,96.3
Rhodotorula_paludigena_TFCN_342-2.proteins,Rhodotorula paludigena,96.5
Rhodotorula_paludigena_TFCN_43A-4.proteins,Rhodotorula paludigena,96.1
Rhodotorula_paludigena_TFCN_48A-10.proteins,Rhodotorula paludigena,96.3
Rhodotorula_paludigena_TFCN_48A-15.proteins,Rhodotorula paludigena,96.1
Rhodotorula_paludigena_TFCN_48A-2.proteins,Rhodotorula paludigena,96.3
Rhodotorula_paludigena_TFCN_48A-3.proteins,Rhodotorula paludigena,96.1
Rhodotorula_paludigena_TFCN_48C-3.proteins,Rhodotorula paludigena,96.3
Rhodotorula_paludigena_TFCN_48D-10.proteins,Rhodotorula paludigena,96.0
Rhodotorula_paludigena_TFCN_48D-4.proteins,Rhodotorula paludigena,96.3
Rhodotorula_paludigena_TFCN_49A-1.proteins,Rhodotorula paludigena,96.2
Rhodotorula_sp._clade_I_DBVPG_8058.proteins,Rhodotorula sp. clade I,95.9
Rhodotorula_sp._clade_I_TFCN_17-328C-3.proteins,Rhodotorula sp. clade I,95.5
Rhodotorula_sp._clade_I_TFCN_17-328P-3.proteins,Rhodotorula sp. clade I,95.6
Rhodotorula_sp._clade_I_TFCN_222A-2.proteins,Rhodotorula sp. clade I,96.4
Rhodotorula_sp._clade_I_TFCN_25-333D-1.proteins,Rhodotorula sp. clade I,96.0
Rhodotorula_sp._clade_I_TFCN_25-333D-5.proteins,Rhodotorula sp. clade I,96.3
Rhodotorula_sp._clade_I_TFCN_25-333Y-2.proteins,Rhodotorula sp. clade I,95.9
Rhodotorula_sp._clade_I_TFCN_86C-7.proteins,Rhodotorula sp. clade I,96.3
Rhodotorula_sp._clade_XIII_DBVPG_7947.proteins,Rhodotorula sp. clade XIII,96.5
Rhodotorula_sp._clade_XI_DBVPG_10348.proteins,Rhodotorula sp. clade XI,96.4
Rhodotorula_sp._clade_XI_TFCN_186DK3-2.proteins,Rhodotorula sp. clade XI,94.4
Rhodotorula_sphaerocarpa_NRRL_Y-7192.proteins,Rhodotorula sphaerocarpa,96.0
Rhodotorula_sphaerocarpa_TFCN_86A-6.proteins,Rhodotorula sphaerocarpa,95.9
Rhodotorula_sphaerocarpa_TFCN_86A-8.proteins,Rhodotorula sphaerocarpa,95.8
Rhodotorula_sphaerocarpa_TFCN_86C-10.proteins,Rhodotorula sphaerocarpa,95.9
Rhodotorula_sphaerocarpa_TFCN_86C-9.proteins,Rhodotorula sphaerocarpa,95.7
Rhodotorula_taiwanensis_DBVPG_4530.proteins,Rhodotorula taiwanensis,96.4
Rhodotorula_taiwanensis_DBVPG_4531.proteins,Rhodotorula taiwanensis,96.3
Rhodotorula_taiwanensis_TFCN_0520-4-2-1.proteins,Rhodotorula taiwanensis,97.0
Rhodotorula_taiwanensis_TFCN_0520-4-2-2.proteins,Rhodotorula taiwanensis,96.7
Rhodotorula_taiwanensis_TFCN_357-1.proteins,Rhodotorula taiwanensis,97.1
Rhodotorula_taiwanensis_TFCN_S22D-1.proteins,Rhodotorula taiwanensis,97.0
Rhodotorula_toruloides_DBVPG_6121.proteins,Rhodotorula toruloides,96.4
Rhodotorula_toruloides_DBVPG_6739.proteins,Rhodotorula toruloides,96.0
Rhodotorula_toruloides_TFCN_152A-4.proteins,Rhodotorula toruloides,97.1
Rhodotorula_toruloides_TFCN_152A-6.proteins,Rhodotorula toruloides,97.0
Rhodotorula_toruloides_TFCN_152C-3.proteins,Rhodotorula toruloides,97.0
Rhodotorula_toruloides_TFCN_152C-6.proteins,Rhodotorula taiwanensis,96.7
Rhodotorula_toruloides_TFCN_152D-4.proteins,Rhodotorula toruloides,97.1
Rhodotorula_toruloides_TFCN_152D-6.proteins,Rhodotorula toruloides,97.1
