sseqid,species_prefix,GENUS,SPECIES,STRAIN,pident,qcovhsp,scovhsp,evalue,bitscore,is_ortholog
TFCN25333D1_001730-T1,TFCN25333D1,Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333D-1,72.5,99.9,99.9,0.0,2058.0,True
TFCN86C7_002873-T1,TFCN86C7,Rhodotorula,Rhodotorula sp. clade I,TFCN 86C-7,72.3,99.9,99.9,0.0,2048.0,True
TFCN25333Y2_005385-T1,TFCN25333Y2,Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333Y-2,72.3,99.9,99.9,0.0,2048.0,True
TFCN17328C3_006089-T1,TFCN17328C3,Rhodotorula,Rhodotorula sp. clade I,TFCN 17-328C-3,72.3,99.9,99.9,0.0,2048.0,True
TFCN17328P3_005454-T1,TFCN17328P3,Rhodotorula,Rhodotorula sp. clade I,TFCN 17-328P-3,72.3,99.9,99.9,0.0,2048.0,True
TFCN25333D5_004201-T1,TFCN25333D5,Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333D-5,72.3,99.9,99.9,0.0,2048.0,True
TFCN222A2_002137-T1,TFCN222A2,Rhodotorula,Rhodotorula sp. clade I,TFCN 222A-2,72.3,99.9,99.9,0.0,2048.0,True
DBVPG8058_002045-T1,DBVPG8058,Rhodotorula,Rhodotorula sp. clade I,DBVPG 8058,71.3,99.9,99.9,0.0,2015.0,True
DBVPG7922_002305-T1,DBVPG7922,Rhodotorula,Rhodotorula evergladensis,DBVPG 7922,69.7,99.8,99.7,0.0,1989.0,True
DBVPG4610_003949-T1,DBVPG4610,Rhodotorula,Rhodotorula paludigena,DBVPG 4610,70.3,99.6,99.7,0.0,1982.0,True
TFCN3422_003346-T1,TFCN3422,Rhodotorula,Rhodotorula paludigena,TFCN 342-2,70.0,99.6,99.7,0.0,1972.0,True
TFCN48C3_007350-T1,TFCN48C3,Rhodotorula,Rhodotorula paludigena,TFCN 48C-3,69.7,99.6,99.7,0.0,1967.0,True
TFCN48D10_007191-T1,TFCN48D10,Rhodotorula,Rhodotorula paludigena,TFCN 48D-10,69.7,99.6,99.7,0.0,1967.0,True
TFCN48D4_003086-T1,TFCN48D4,Rhodotorula,Rhodotorula paludigena,TFCN 48D-4,69.7,99.6,99.7,0.0,1967.0,True
DBVPG7323_005634-T1,DBVPG7323,Rhodotorula,Rhodotorula paludigena,DBVPG 7323,69.6,99.6,99.7,0.0,1966.0,True
TFCN43A4_007072-T1,TFCN43A4,Rhodotorula,Rhodotorula paludigena,TFCN 43A-4,69.6,99.6,99.7,0.0,1965.0,True
TFCN48A15_004372-T1,TFCN48A15,Rhodotorula,Rhodotorula paludigena,TFCN 48A-15,69.6,99.6,99.7,0.0,1965.0,True
TFCN49A1_006994-T1,TFCN49A1,Rhodotorula,Rhodotorula paludigena,TFCN 49A-1,69.6,99.6,99.7,0.0,1965.0,True
TFCN25333P5_006933-T1,TFCN25333P5,Rhodotorula,Rhodotorula paludigena,TFCN 25-333P-5,68.8,99.6,99.7,0.0,1935.0,True
OM448_006643-T1,OM448,Rhodotorula,Rhodotorula paludigena,NRRL Y-12923,69.4,97.8,70.0,0.0,1923.0,True
TFCN152A4_003461-T1,TFCN152A4,Rhodotorula,Rhodotorula toruloides,TFCN 152A-4,66.5,99.8,99.9,0.0,1892.0,True
TFCN152D4_001822-T1,TFCN152D4,Rhodotorula,Rhodotorula toruloides,TFCN 152D-4,66.5,99.8,99.9,0.0,1892.0,True
TFCN152D6_003465-T1,TFCN152D6,Rhodotorula,Rhodotorula toruloides,TFCN 152D-6,66.5,99.8,99.9,0.0,1892.0,True
TFCN152A6_003866-T1,TFCN152A6,Rhodotorula,Rhodotorula toruloides,TFCN 152A-6,66.1,99.8,99.9,0.0,1882.0,True
TFCN152C3_003715-T1,TFCN152C3,Rhodotorula,Rhodotorula toruloides,TFCN 152C-3,66.1,99.8,99.9,0.0,1882.0,True
TFCN48A10_006278-T1,TFCN48A10,Rhodotorula,Rhodotorula paludigena,TFCN 48A-10,71.4,92.0,97.9,0.0,1873.0,True
TFCN48A3_003761-T1,TFCN48A3,Rhodotorula,Rhodotorula paludigena,TFCN 48A-3,71.4,92.0,97.9,0.0,1873.0,True
DBVPG7316_007359-T1,DBVPG7316,Rhodotorula,Rhodotorula paludigena,DBVPG 7316,71.5,90.6,99.1,0.0,1861.0,True
TFCN48A2_004518-T1,TFCN48A2,Rhodotorula,Rhodotorula paludigena,TFCN 48A-2,71.5,90.6,99.2,0.0,1861.0,True
DBVPG6121_002960-T1,DBVPG6121,Rhodotorula,Rhodotorula toruloides,DBVPG 6121,65.0,99.8,99.9,0.0,1839.0,True
TFCN25333Y9_004697-T1,TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9,63.1,99.8,99.7,0.0,1779.0,True
TFCN25334D3_000722-T1,TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3,63.1,99.8,99.7,0.0,1779.0,True
TFCN25334Y6_004329-T1,TFCN25334Y6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334Y-6,62.8,99.8,99.7,0.0,1779.0,True
TFCN270H2_005904-T1,TFCN270H2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 270H-2,63.1,99.8,99.7,0.0,1779.0,True
TFCN273H1_002311-T1,TFCN273H1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 273H-1,63.1,99.8,99.7,0.0,1779.0,True
TFCN25327D1_003464-T1,TFCN25327D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-327D-1,63.1,99.8,99.7,0.0,1779.0,True
TFCN2502E3339_006879-T1,TFCN2502E3339,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-9,63.1,99.8,99.7,0.0,1779.0,True
TFCN2502E3335_003753-T1,TFCN2502E3335,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-5,63.1,99.8,99.7,0.0,1779.0,True
TFCN4M12_003184-T1,TFCN4M12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-2,63.1,99.8,99.7,0.0,1779.0,True
TFCN17334Y5_008608-T1,TFCN17334Y5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334Y-5,62.8,99.8,99.7,0.0,1779.0,True
TFCN17334Y3_003819-T1,TFCN17334Y3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334Y-3,63.1,99.8,99.7,0.0,1779.0,True
TFCN33A4_004478-T1,TFCN33A4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 33A-4,62.8,99.8,99.7,0.0,1779.0,True
TFCN107C3_003844-T1,TFCN107C3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 107C-3,63.1,99.8,99.7,0.0,1779.0,True
DBVPG4957_004683-T1,DBVPG4957,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4957,63.1,99.8,99.7,0.0,1779.0,True
DBVPG4958_003621-T1,DBVPG4958,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4958,63.1,99.8,99.7,0.0,1779.0,True
DBVPG4964_003433-T1,DBVPG4964,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4964,63.1,99.8,99.7,0.0,1779.0,True
DBVPG5757_001925-T1,DBVPG5757,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5757,63.1,99.8,99.7,0.0,1779.0,True
TFCN1A12_002400-T1,TFCN1A12,Rhodotorula,Rhodotorula paludigena,TFCN 1A-1-2,63.1,99.8,99.7,0.0,1779.0,True
TFCN98C7_002646-T1,TFCN98C7,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-7,63.1,99.8,99.7,0.0,1779.0,True
TFCN98A10_003494-T1,TFCN98A10,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98A-10,63.1,99.8,99.7,0.0,1779.0,True
TFCN211A3_003766-T1,TFCN211A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 211A-3,63.1,99.8,99.7,0.0,1779.0,True
TFCN2M14_003390-T1,TFCN2M14,Rhodotorula,Rhodotorula mucilaginosa,TFCN 2M-1-4,63.1,99.8,99.7,0.0,1779.0,True
TFCN118C2_003081-T1,TFCN118C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 118C-2,63.1,99.8,99.7,0.0,1779.0,True
TFCN140A3_005798-T1,TFCN140A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 140A-3,63.1,99.8,99.7,0.0,1779.0,True
TFCN152A2_003273-T1,TFCN152A2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-2,63.1,99.8,99.7,0.0,1779.0,True
TFCN152C5_004810-T1,TFCN152C5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152C-5,63.1,99.8,99.7,0.0,1779.0,True
TFCN1702E33410_002196-T1,TFCN1702E33410,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E334-10,63.1,99.8,99.7,0.0,1779.0,True
TFCN102D1_002808-T1,TFCN102D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 102D-1,63.1,99.8,99.7,0.0,1779.0,True
TFCN107A6_002733-T1,TFCN107A6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 107A-6,63.1,99.8,99.7,0.0,1779.0,True
TFCN152A1_006408-T1,TFCN152A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-1,62.8,99.8,99.7,0.0,1779.0,True
DBVPG6093_001883-T1,DBVPG6093,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6093,63.1,99.8,99.7,0.0,1779.0,True
TFCN36312_006448-T1,TFCN36312,Rhodotorula,Rhodotorula mucilaginosa,TFCN 363-1-2,63.1,99.8,99.7,0.0,1779.0,True
TFCN3403_004587-T1,TFCN3403,Rhodotorula,Rhodotorula mucilaginosa,TFCN 340-3,63.1,99.8,99.7,0.0,1779.0,True
TFCN3401_003568-T1,TFCN3401,Rhodotorula,Rhodotorula mucilaginosa,TFCN 340-1,63.1,99.8,99.7,0.0,1779.0,True
DBVPG8043_003830-T1,DBVPG8043,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 8043,62.8,99.8,99.7,0.0,1779.0,True
OM429_007096-T1,OM429,Rhodotorula,Rhodotorula mucilaginosa,NRRL Y-2510,63.1,99.8,99.7,0.0,1779.0,True
TFCN100D1_004851-T1,TFCN100D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 100D-1,63.1,99.8,99.7,0.0,1779.0,True
DBVPG4956_003432-T1,DBVPG4956,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4956,63.1,99.8,99.7,0.0,1779.0,True
TFCN89D3_002952-T1,TFCN89D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 89D-3,63.1,99.8,99.7,0.0,1779.0,True
DBVPG4949_004766-T1,DBVPG4949,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4949,63.1,99.8,99.7,0.0,1779.0,True
DBVPG4950_004686-T1,DBVPG4950,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4950,63.1,99.8,99.7,0.0,1779.0,True
DBVPG3444_003935-T1,DBVPG3444,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3444,63.1,99.8,99.7,0.0,1779.0,True
DBVPG4376_002720-T1,DBVPG4376,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4376,63.1,99.8,99.7,0.0,1779.0,True
DBVPG4408_005417-T1,DBVPG4408,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4408,63.1,99.8,99.7,0.0,1779.0,True
DBVPG4618_004171-T1,DBVPG4618,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4618,63.1,99.8,99.7,0.0,1779.0,True
DBVPG10619_002295-T1,DBVPG10619,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10619,63.1,99.8,99.7,0.0,1779.0,True
DBVPG10780_003807-T1,DBVPG10780,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10780,63.1,99.8,99.7,0.0,1779.0,True
TFCN25333P2_005264-T1,TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2,63.1,99.8,99.7,0.0,1779.0,True
TFCN17267M1_008891-T1,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1,63.1,99.8,99.7,0.0,1779.0,True
DBVPG5758_002423-T1,DBVPG5758,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5758,63.1,99.8,99.7,0.0,1779.0,True
DBVPG5759_003078-T1,DBVPG5759,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5759,63.1,99.8,99.7,0.0,1779.0,True
DBVPG4669_004105-T1,DBVPG4669,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4669,63.1,99.8,99.7,0.0,1779.0,True
DBVPG5757_002027-T1,DBVPG5757,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5757,63.1,99.8,99.7,0.0,1779.0,True
DBVPG10937_002540-T1,DBVPG10937,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10937,63.1,99.8,99.7,0.0,1779.0,True
DBVPG3045_000649-T1,DBVPG3045,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3045,63.1,99.8,99.7,0.0,1779.0,True
DBVPG3238_004892-T1,DBVPG3238,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3238,63.1,99.8,99.7,0.0,1779.0,True
TFCN25333C2_004635-T1,TFCN25333C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333C-2,63.1,99.8,99.7,0.0,1779.0,True
TFCN25333Y10_004601-T1,TFCN25333Y10,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-10,62.8,99.8,99.7,0.0,1779.0,True
DBVPG6741_003171-T1,DBVPG6741,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6741,63.0,99.8,99.7,0.0,1778.0,True
DBVPG6742_003986-T1,DBVPG6742,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6742,63.0,99.8,99.7,0.0,1778.0,True
DBVPG6743_003013-T1,DBVPG6743,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6743,63.0,99.8,99.7,0.0,1778.0,True
DBVPG6803_003889-T1,DBVPG6803,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6803,63.0,99.8,99.7,0.0,1778.0,True
DBVPG7019_004625-T1,DBVPG7019,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 7019,63.0,99.8,99.7,0.0,1778.0,True
DH4148_002975-T1,DH4148,Rhodotorula,Rhodotorula mucilaginosa,DH4148,63.0,99.8,99.7,0.0,1778.0,True
TFCN102C1_002363-T1,TFCN102C1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 102C-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN102C2_002868-T1,TFCN102C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 102C-2,63.0,99.8,99.7,0.0,1778.0,True
TFCN17325D4_004250-T1,TFCN17325D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-325D-4,63.0,99.8,99.7,0.0,1778.0,True
TFCN17325P1_004833-T1,TFCN17325P1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-325P-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN17332C1_001803-T1,TFCN17332C1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332C-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN17332C2_002562-T1,TFCN17332C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332C-2,63.0,99.8,99.7,0.0,1778.0,True
TFCN17332M2_004449-T1,TFCN17332M2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-2,63.0,99.8,99.7,0.0,1778.0,True
TFCN17332P1_003773-T1,TFCN17332P1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332P-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN17332P2_003283-T1,TFCN17332P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332P-2,63.0,99.8,99.7,0.0,1778.0,True
TFCN17333D2_004204-T1,TFCN17333D2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-333D-2,63.0,99.8,99.7,0.0,1778.0,True
TFCN17333P6_005236-T1,TFCN17333P6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-333P-6,63.0,99.8,99.7,0.0,1778.0,True
TFCN17334C1_003235-T1,TFCN17334C1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334C-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN17334Y2_003451-T1,TFCN17334Y2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334Y-2,63.0,99.8,99.7,0.0,1778.0,True
TFCN17337P5_010959-T1,TFCN17337P5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-337P-5,63.0,99.8,99.7,0.0,1778.0,True
TFCN17338D3_002703-T1,TFCN17338D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-338D-3,63.0,99.8,99.7,0.0,1778.0,True
TFCN17390M1_007553-T1,TFCN17390M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-390M-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN181A1_002451-T1,TFCN181A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 181A-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN209611_003059-T1,TFCN209611,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-11,63.0,99.8,99.7,0.0,1778.0,True
DBVPG3856_010644-T1,DBVPG3856,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3856,63.0,99.8,99.7,0.0,1778.0,True
DBVPG3858_003304-T1,DBVPG3858,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3858,63.0,99.8,99.7,0.0,1778.0,True
DBVPG4201_004934-T1,DBVPG4201,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4201,63.0,99.8,99.7,0.0,1778.0,True
DBVPG4202_004143-T1,DBVPG4202,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4202,63.0,99.8,99.7,0.0,1778.0,True
DBVPG4203_002483-T1,DBVPG4203,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4203,63.0,99.8,99.7,0.0,1778.0,True
DBVPG4304_003052-T1,DBVPG4304,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4304,63.0,99.8,99.7,0.0,1778.0,True
DBVPG4378_002972-T1,DBVPG4378,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4378,63.0,99.8,99.7,0.0,1778.0,True
DBVPG4466_005898-T1,DBVPG4466,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4466,63.0,99.8,99.7,0.0,1778.0,True
DBVPG4920_001786-T1,DBVPG4920,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4920,63.0,99.8,99.7,0.0,1778.0,True
DBVPG4945_006910-T1,DBVPG4945,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4945,63.0,99.8,99.7,0.0,1778.0,True
DBVPG4946_006247-T1,DBVPG4946,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4946,63.0,99.8,99.7,0.0,1778.0,True
DBVPG4947_005233-T1,DBVPG4947,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4947,63.0,99.8,99.7,0.0,1778.0,True
DBVPG4962_002618-T1,DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962,63.0,99.8,99.7,0.0,1778.0,True
DBVPG4963_001221-T1,DBVPG4963,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4963,63.0,99.8,99.7,0.0,1778.0,True
DBVPG5225_005338-T1,DBVPG5225,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5225,63.0,99.8,99.7,0.0,1778.0,True
DBVPG5226_002705-T1,DBVPG5226,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5226,63.0,99.8,99.7,0.0,1778.0,True
TFCN25331D1_008657-T1,TFCN25331D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-331D-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN25332C1_003538-T1,TFCN25332C1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332C-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN25332D1_003813-T1,TFCN25332D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332D-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN25332M1_003603-T1,TFCN25332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332M-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN25332P2_005372-T1,TFCN25332P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332P-2,63.0,99.8,99.7,0.0,1778.0,True
TFCN25332Y1_003479-T1,TFCN25332Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332Y-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN25337M3_005460-T1,TFCN25337M3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-337M-3,63.0,99.8,99.7,0.0,1778.0,True
TFCN25337Y1_003329-T1,TFCN25337Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-337Y-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN3423_006015-T1,TFCN3423,Rhodotorula,Rhodotorula mucilaginosa,TFCN 342-3,63.0,99.8,99.7,0.0,1778.0,True
TFCN4M13_003149-T1,TFCN4M13,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-3,63.0,99.8,99.7,0.0,1778.0,True
TFCN4M14_002156-T1,TFCN4M14,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-4,63.0,99.8,99.7,0.0,1778.0,True
TFCN4M15_003616-T1,TFCN4M15,Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-5,63.0,99.8,99.7,0.0,1778.0,True
TFCN54D2_003378-T1,TFCN54D2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 54D-2,63.0,99.8,99.7,0.0,1778.0,True
TFCN86A12_002037-T1,TFCN86A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-12,63.0,99.8,99.7,0.0,1778.0,True
TFCN86A3_000973-T1,TFCN86A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-3,63.0,99.8,99.7,0.0,1778.0,True
TFCN98A5_002997-T1,TFCN98A5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98A-5,63.0,99.8,99.7,0.0,1778.0,True
TFCN102D2_003227-T1,TFCN102D2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 102D-2,63.0,99.8,99.7,0.0,1778.0,True
TFCN105A2_002676-T1,TFCN105A2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 105A-2,63.0,99.8,99.7,0.0,1778.0,True
TFCN106A1_002412-T1,TFCN106A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 106A-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN110C1_003378-T1,TFCN110C1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 110C-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN122C2_005727-T1,TFCN122C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 122C-2,63.0,99.8,99.7,0.0,1778.0,True
TFCN130D4_003775-T1,TFCN130D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 130D-4,63.0,99.8,99.7,0.0,1778.0,True
TFCN137C3_002287-T1,TFCN137C3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137C-3,63.0,99.8,99.7,0.0,1778.0,True
TFCN137D4_001151-T1,TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4,63.0,99.8,99.7,0.0,1778.0,True
TFCN138A1_003831-T1,TFCN138A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 138A-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN141C2_004364-T1,TFCN141C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 141C-2,63.0,99.8,99.7,0.0,1778.0,True
TFCN152A12_002753-T1,TFCN152A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-12,63.0,99.8,99.7,0.0,1778.0,True
TFCN152A5_005551-T1,TFCN152A5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-5,63.0,99.8,99.7,0.0,1778.0,True
TFCN1702E3344_001372-T1,TFCN1702E3344,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E334-4,63.0,99.8,99.7,0.0,1778.0,True
TFCN1702E3901_009655-T1,TFCN1702E3901,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN172A1_004903-T1,TFCN172A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 172A-1,63.0,99.8,99.7,0.0,1778.0,True
TFCN17325D2_004536-T1,TFCN17325D2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-325D-2,63.0,99.8,99.7,0.0,1778.0,True
DBVPG3443_001070-T1,DBVPG3443,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3443,63.0,99.8,99.7,0.0,1778.0,True
