LOCUSTAG,GENUS,SPECIES,STRAIN,species_prefix,sseqid,pident,qcovhsp,scovhsp,evalue,bitscore,is_ortholog,has_hit,has_ortholog
DBVPG6195,Rhodotorula,Rhodotorula diobovata,DBVPG 6195,DBVPG6195,DBVPG6195_002935-T1,74.3,99.7,70.7,0.0,2118.0,True,True,True
DBVPG6202,Rhodotorula,Rhodotorula diobovata,DBVPG 6202,DBVPG6202,DBVPG6202_000876-T1,74.3,99.5,70.4,0.0,2117.0,True,True,True
OM446,Rhodotorula,Rhodotorula diobovata,NRRL Y-7196,OM446,OM446_007038-T1,74.2,99.8,99.8,0.0,2121.0,True,True,True
TFCN17334Y6,Rhodotorula,Rhodotorula diobovata,TFCN 17-334Y-6,TFCN17334Y6,TFCN17334Y6_002753-T1,74.3,99.5,67.5,0.0,2117.0,True,True,True
TFCN25335C1,Rhodotorula,Rhodotorula diobovata,TFCN 25-335C-1,TFCN25335C1,TFCN25335C1_005408-T1,74.3,99.7,70.7,0.0,2118.0,True,True,True
TFCN25335P1,Rhodotorula,Rhodotorula diobovata,TFCN 25-335P-1,TFCN25335P1,TFCN25335P1_003658-T1,74.3,99.7,70.7,0.0,2118.0,True,True,True
TFCN792,Rhodotorula,Rhodotorula diobovata,TFCN 7-9-2,TFCN792,TFCN792_001707-T1,74.3,99.7,67.8,0.0,2116.0,True,True,True
TFCN793,Rhodotorula,Rhodotorula diobovata,TFCN 7-9-3,TFCN793,TFCN793_001450-T1,74.2,99.8,99.8,0.0,2121.0,True,True,True
DBVPG7922,Rhodotorula,Rhodotorula evergladensis,DBVPG 7922,DBVPG7922,DBVPG7922_002305-T1,69.7,99.8,99.7,0.0,1989.0,True,True,True
DBVPG6081,Rhodotorula,Rhodotorula glutinis,DBVPG 6081,DBVPG6081,DBVPG6081_007609-T1,69.5,70.6,98.0,0.0,1368.0,True,True,True
DBVPG6083,Rhodotorula,Rhodotorula graminis,DBVPG 6083,DBVPG6083,DBVPG6083_006048-T1,72.9,99.9,99.9,0.0,2066.0,True,True,True
DBVPG7021,Rhodotorula,Rhodotorula graminis,DBVPG 7021,DBVPG7021,DBVPG7021_006843-T1,72.9,99.9,99.9,0.0,2066.0,True,True,True
OM441,Rhodotorula,Rhodotorula graminis,NRRL Y-2474,OM441,OM441_006799-T1,72.9,99.9,99.9,0.0,2066.0,True,True,True
DBVPG10383,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10383,DBVPG10383,DBVPG10383_008199-T1,99.7,73.5,99.2,0.0,2134.0,True,True,True
DBVPG10753,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10753,DBVPG10753,DBVPG10753_008756-T1,99.8,100.0,100.0,0.0,2917.0,True,True,True
DBVPG7539,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 7539,DBVPG7539,DBVPG7539_006110-T1,96.4,100.0,100.0,0.0,2815.0,True,True,True
DBVPG10619,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10619,DBVPG10619,DBVPG10619_002295-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
DBVPG10780,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10780,DBVPG10780,DBVPG10780_003807-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
DBVPG10842,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10842,DBVPG10842,DBVPG10842_003888-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG10882,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10882,DBVPG10882,DBVPG10882_001534-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG10886,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10886,DBVPG10886,DBVPG10886_002359-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG10937,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10937,DBVPG10937,DBVPG10937_002540-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
DBVPG3044,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3044,DBVPG3044,DBVPG3044_007341-T1,63.0,99.8,99.7,0.0,1777.0,True,True,True
DBVPG3045,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3045,DBVPG3045,DBVPG3045_000649-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
DBVPG3090,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3090,DBVPG3090,DBVPG3090_007451-T1,63.0,99.8,99.7,0.0,1777.0,True,True,True
DBVPG3235,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3235,DBVPG3235,DBVPG3235_007280-T1,63.0,99.8,99.7,0.0,1777.0,True,True,True
DBVPG3236,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3236,DBVPG3236,DBVPG3236_001457-T1,25.1,32.6,33.0,1.62e-13,82.4,False,True,False
DBVPG3237,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3237,DBVPG3237,DBVPG3237_003095-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG3238,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3238,DBVPG3238,DBVPG3238_004892-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
DBVPG3381,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3381,DBVPG3381,DBVPG3381_002878-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG3382,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3382,DBVPG3382,DBVPG3382_003833-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383,DBVPG3383,DBVPG3383_002907-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG3384,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3384,DBVPG3384,DBVPG3384_004772-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG3442,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3442,DBVPG3442,DBVPG3442_005364-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG3443,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3443,DBVPG3443,DBVPG3443_001070-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG3444,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3444,DBVPG3444,DBVPG3444_003935-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
DBVPG3774,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3774,DBVPG3774,DBVPG3774_002983-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG3775,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3775,DBVPG3775,DBVPG3775_003349-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776,DBVPG3776,DBVPG3776_002044-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG3777,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3777,DBVPG3777,DBVPG3777_002273-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG3778,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3778,DBVPG3778,DBVPG3778_002289-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG3780,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3780,DBVPG3780,DBVPG3780_005306-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG3854,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3854,DBVPG3854,DBVPG3854_007083-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG3855,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3855,DBVPG3855,DBVPG3855_004583-T1,25.1,32.6,33.0,1.62e-13,82.4,False,True,False
DBVPG3856,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3856,DBVPG3856,DBVPG3856_010644-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG3857,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3857,DBVPG3857,DBVPG3857_006431-T1,63.2,99.8,99.7,0.0,1777.0,True,True,True
DBVPG3858,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3858,DBVPG3858,DBVPG3858_003304-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG3983,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3983,DBVPG3983,DBVPG3983_007396-T1,63.0,99.8,99.7,0.0,1777.0,True,True,True
DBVPG3984,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3984,DBVPG3984,DBVPG3984_007415-T1,63.0,99.8,99.7,0.0,1777.0,True,True,True
DBVPG4201,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4201,DBVPG4201,DBVPG4201_004934-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG4202,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4202,DBVPG4202,DBVPG4202_004143-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG4203,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4203,DBVPG4203,DBVPG4203_002483-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG4304,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4304,DBVPG4304,DBVPG4304_003052-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG4376,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4376,DBVPG4376,DBVPG4376_002720-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
DBVPG4377,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4377,DBVPG4377,DBVPG4377_003643-T1,63.0,99.8,99.7,0.0,1777.0,True,True,True
DBVPG4378,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4378,DBVPG4378,DBVPG4378_002972-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG4380,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4380,DBVPG4380,DBVPG4380_002090-T1,62.6,99.8,99.7,0.0,1771.0,True,True,True
DBVPG4408,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4408,DBVPG4408,DBVPG4408_005417-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
DBVPG4466,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4466,DBVPG4466,DBVPG4466_005898-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG4534,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4534,DBVPG4534,DBVPG4534_003733-T1,62.9,99.8,99.7,0.0,1777.0,True,True,True
DBVPG4618,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4618,DBVPG4618,DBVPG4618_004171-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
DBVPG4669,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4669,DBVPG4669,DBVPG4669_004105-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
DBVPG4920,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4920,DBVPG4920,DBVPG4920_001786-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG4945,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4945,DBVPG4945,DBVPG4945_006910-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG4946,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4946,DBVPG4946,DBVPG4946_006247-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG4947,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4947,DBVPG4947,DBVPG4947_005233-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG4949,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4949,DBVPG4949,DBVPG4949_004766-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
DBVPG4950,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4950,DBVPG4950,DBVPG4950_004686-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
DBVPG4956,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4956,DBVPG4956,DBVPG4956_003432-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
DBVPG4957,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4957,DBVPG4957,DBVPG4957_004683-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
DBVPG4958,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4958,DBVPG4958,DBVPG4958_003621-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962,DBVPG4962,DBVPG4962_002618-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG4963,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4963,DBVPG4963,DBVPG4963_001221-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG4964,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4964,DBVPG4964,DBVPG4964_003433-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
DBVPG5225,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5225,DBVPG5225,DBVPG5225_005338-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG5226,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5226,DBVPG5226,DBVPG5226_002705-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG5227,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5227,DBVPG5227,DBVPG5227_004234-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG5228,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5228,DBVPG5228,DBVPG5228_003824-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG5229,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5229,DBVPG5229,DBVPG5229_002790-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG5235,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5235,DBVPG5235,DBVPG5235_002322-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG5236,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5236,DBVPG5236,DBVPG5236_003052-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG5757,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5757,DBVPG5757,DBVPG5757_001925-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
DBVPG5758,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5758,DBVPG5758,DBVPG5758_002423-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
DBVPG5759,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5759,DBVPG5759,DBVPG5759_003078-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
DBVPG6091,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6091,DBVPG6091,DBVPG6091_004490-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG6092,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6092,DBVPG6092,DBVPG6092_003687-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG6093,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6093,DBVPG6093,DBVPG6093_001883-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
DBVPG6593,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6593,DBVPG6593,DBVPG6593_003974-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG6660,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6660,DBVPG6660,DBVPG6660_004587-T1,63.3,99.8,99.7,0.0,1770.0,True,True,True
DBVPG6741,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6741,DBVPG6741,DBVPG6741_003171-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG6742,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6742,DBVPG6742,DBVPG6742_003986-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG6743,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6743,DBVPG6743,DBVPG6743_003013-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG6803,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6803,DBVPG6803,DBVPG6803_003889-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG7019,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 7019,DBVPG7019,DBVPG7019_004625-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
DBVPG8043,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 8043,DBVPG8043,DBVPG8043_003830-T1,62.8,99.8,99.7,0.0,1779.0,True,True,True
DH4148,Rhodotorula,Rhodotorula mucilaginosa,DH4148,DH4148,DH4148_002975-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
OM429,Rhodotorula,Rhodotorula mucilaginosa,NRRL Y-2510,OM429,OM429_007096-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN100D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 100D-1,TFCN100D1,TFCN100D1_004851-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN102C1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 102C-1,TFCN102C1,TFCN102C1_002363-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN102C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 102C-2,TFCN102C2,TFCN102C2_002868-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN102D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 102D-1,TFCN102D1,TFCN102D1_002808-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN102D2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 102D-2,TFCN102D2,TFCN102D2_003227-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN105A2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 105A-2,TFCN105A2,TFCN105A2_002676-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN106A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 106A-1,TFCN106A1,TFCN106A1_002412-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN107A6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 107A-6,TFCN107A6,TFCN107A6_002733-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN107C3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 107C-3,TFCN107C3,TFCN107C3_003844-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN110C1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 110C-1,TFCN110C1,TFCN110C1_003378-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN118C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 118C-2,TFCN118C2,TFCN118C2_003081-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN122C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 122C-2,TFCN122C2,TFCN122C2_005727-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN130D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 130D-4,TFCN130D4,TFCN130D4_003775-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN134A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 134A-3,TFCN134A3,TFCN134A3_004486-T1,62.3,99.8,99.7,0.0,1727.0,True,True,True
TFCN137C3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137C-3,TFCN137C3,TFCN137C3_002287-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4,TFCN137D4,TFCN137D4_001151-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN138A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 138A-1,TFCN138A1,TFCN138A1_003831-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN140A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 140A-3,TFCN140A3,TFCN140A3_005798-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN141C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 141C-2,TFCN141C2,TFCN141C2_004364-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN152A1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-1,TFCN152A1,TFCN152A1_006408-T1,62.8,99.8,99.7,0.0,1779.0,True,True,True
TFCN152A12,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-12,TFCN152A12,TFCN152A12_002753-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN152A2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-2,TFCN152A2,TFCN152A2_003273-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN152A5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-5,TFCN152A5,TFCN152A5_005551-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN152C5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152C-5,TFCN152C5,TFCN152C5_004810-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN1702E33410,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E334-10,TFCN1702E33410,TFCN1702E33410_002196-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN1702E3344,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E334-4,TFCN1702E3344,TFCN1702E3344_001372-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN1702E3373,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E337-3,TFCN1702E3373,TFCN1702E3373_010039-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN1702E3901,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-1,TFCN1702E3901,TFCN1702E3901_009655-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN1702E3902,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-2,TFCN1702E3902,TFCN1702E3902_008738-T1,62.6,99.8,99.7,0.0,1758.0,True,True,True
TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1,TFCN17267M1,TFCN17267M1_008891-T1,63.1,99.8,99.7,0.0,1779.0,True,True,True
TFCN17291Y1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-291Y-1,TFCN17291Y1,TFCN17291Y1_007166-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN17325D2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-325D-2,TFCN17325D2,TFCN17325D2_004536-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN17325D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-325D-4,TFCN17325D4,TFCN17325D4_004250-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN17325P1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-325P-1,TFCN17325P1,TFCN17325P1_004833-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN17329Y4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-329Y-4,TFCN17329Y4,TFCN17329Y4_004602-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN17332C1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332C-1,TFCN17332C1,TFCN17332C1_001803-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN17332C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332C-2,TFCN17332C2,TFCN17332C2_002562-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN17332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1,TFCN17332M1,TFCN17332M1_002739-T1,61.6,99.8,99.7,0.0,1704.0,True,True,True
TFCN17332M2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-2,TFCN17332M2,TFCN17332M2_004449-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN17332P1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332P-1,TFCN17332P1,TFCN17332P1_003773-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN17332P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332P-2,TFCN17332P2,TFCN17332P2_003283-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN17333D2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-333D-2,TFCN17333D2,TFCN17333D2_004204-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN17333P6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-333P-6,TFCN17333P6,TFCN17333P6_005236-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN17334C1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334C-1,TFCN17334C1,TFCN17334C1_003235-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
TFCN17334D6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334D-6,TFCN17334D6,TFCN17334D6_011410-T1,63.0,99.8,99.7,0.0,1778.0,True,True,True
