compound,category,formula,neutral_mass,adduct,target_mz
neurosporene,carotenoid_pathway,C40H58,538.4538518502,[M+NH4]+,556.4876774029999
torulene,carotenoid_pathway,C40H54,534.4225517226,[M+Na]+,557.4117724226
zeta-carotene,carotenoid_pathway,C40H60,540.469501914,[M+NH4]+,558.5033274668
gamma-carotene,carotenoid_pathway,C40H56,536.4382017864,[M+Na]+,559.4274224864
beta-carotene,carotenoid_pathway,C40H56,536.4382017864,[M+Na]+,559.4274224864
lycopene,carotenoid_pathway,C40H56,536.4382017864,[M+Na]+,559.4274224864
phytofluene,carotenoid_pathway,C40H62,542.4851519778,[M+NH4]+,560.5189775306
neurosporene,carotenoid_pathway,C40H58,538.4538518502,[M+Na]+,561.4430725502
phytoene,carotenoid_pathway,C40H64,544.5008020416,[M+NH4]+,562.5346275943999
zeta-carotene,carotenoid_pathway,C40H60,540.469501914,[M+Na]+,563.4587226140001
torularhodin,carotenoid_pathway,C40H52O2,564.396730903,[M+H]+,565.4040073549
canthaxanthin,additional_carotenoid,C40H52O2,564.396730903,[M+H]+,565.4040073549
phytofluene,carotenoid_pathway,C40H62,542.4851519778,[M+Na]+,565.4743726778
phytoene,carotenoid_pathway,C40H64,544.5008020416,[M+Na]+,567.4900227416
echinenone,additional_carotenoid,C40H54O1,550.4174663447001,[M+NH4]+,568.4512918975
zeaxanthin,additional_carotenoid,C40H56O2,568.4280310306,[M+H]+,569.4353074825
echinenone,additional_carotenoid,C40H54O1,550.4174663447001,[M+Na]+,573.4066870447001
astaxanthin,additional_carotenoid,C40H52O4,596.3865601472,[M+H-H2O]+,579.3832719132
canthaxanthin,additional_carotenoid,C40H52O2,564.396730903,[M+NH4]+,582.4305564558
torularhodin,carotenoid_pathway,C40H52O2,564.396730903,[M+NH4]+,582.4305564558
zeaxanthin,additional_carotenoid,C40H56O2,568.4280310306,[M+NH4]+,586.4618565833999
canthaxanthin,additional_carotenoid,C40H52O2,564.396730903,[M+Na]+,587.3859516030001
torularhodin,carotenoid_pathway,C40H52O2,564.396730903,[M+Na]+,587.3859516030001
zeaxanthin,additional_carotenoid,C40H56O2,568.4280310306,[M+Na]+,591.4172517306
astaxanthin,additional_carotenoid,C40H52O4,596.3865601472,[M+H]+,597.3938365991
astaxanthin,additional_carotenoid,C40H52O4,596.3865601472,[M+NH4]+,614.4203857
astaxanthin,additional_carotenoid,C40H52O4,596.3865601472,[M+Na]+,619.3757808472001
