GENUS,SPECIES,STRAIN,crtO,crtP,crtQ,crtR,crt_fungal_lcy,crt_fungal_pds,crt_fungal_psy,hgd,laccase,mysA,mysC,mysD,mysE,pks_melanin,scyA,t3hnr,t4hnr,tyrosinase
Rhodotorula,Rhodotorula diobovata,TFCN 7-9-2,1,7,0,0,2,2,2,0,6,1,0,0,15,22,2,30,47,0
Rhodotorula,Rhodotorula diobovata,TFCN 7-9-3,1,8,0,0,2,2,2,0,3,1,0,0,17,24,1,33,48,0
Rhodotorula,Rhodotorula evergladensis,DBVPG 7922,1,11,1,0,2,2,2,0,2,1,0,0,14,21,1,27,42,0
Rhodotorula,Rhodotorula glutinis,DBVPG 6081,1,9,1,0,2,2,2,0,3,1,0,0,18,27,1,24,42,0
Rhodotorula,Rhodotorula graminis,DBVPG 6083,1,9,0,0,2,2,2,0,3,1,0,0,17,20,1,25,40,0
Rhodotorula,Rhodotorula graminis,DBVPG 7021,1,9,0,0,2,2,2,0,3,1,0,0,17,24,1,26,43,0
Rhodotorula,Rhodotorula graminis,NRRL Y-2474,1,9,1,0,2,2,2,0,3,1,0,0,17,25,1,25,43,0
Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10383,1,9,0,0,2,1,2,1,2,1,0,0,16,25,1,35,52,0
Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10753,1,10,0,0,2,1,2,1,2,1,0,0,15,25,1,35,54,0
Rhodotorula,Rhodotorula kratochvilovae,DBVPG 7539,1,10,0,0,2,1,2,1,2,1,0,0,15,24,1,34,52,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10619,1,7,0,0,2,1,2,0,4,1,0,0,14,26,1,25,44,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10780,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,45,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10842,1,7,0,0,2,1,2,0,5,1,0,0,14,23,2,27,42,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10882,1,6,0,1,2,1,2,0,4,1,0,0,14,23,2,28,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10886,1,6,0,0,2,1,2,0,5,1,0,0,12,22,2,22,40,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10937,1,7,0,0,2,1,2,0,6,1,0,0,14,22,2,28,46,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3044,1,8,0,0,2,1,2,0,4,1,0,0,15,22,2,26,42,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3045,1,8,0,0,2,2,2,0,4,1,0,0,14,24,2,28,46,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3090,1,8,0,0,2,1,2,0,4,1,0,0,14,22,2,27,44,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3235,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,27,44,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3236,1,7,0,0,2,1,2,0,4,1,0,0,12,22,2,25,40,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3237,1,7,0,1,2,1,2,0,5,1,0,0,14,22,2,28,46,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3238,1,7,0,0,2,1,2,0,4,1,0,0,14,23,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3381,1,7,0,1,2,1,2,0,5,1,0,0,14,21,1,26,44,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3382,1,6,0,1,2,1,2,0,4,1,0,0,14,22,1,27,45,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383,1,7,0,1,2,1,2,0,4,1,0,0,14,21,1,27,45,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3384,1,7,0,1,2,1,2,0,4,1,0,0,14,22,2,28,46,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3442,1,8,0,0,2,1,2,0,4,1,0,0,14,22,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3443,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3444,2,15,1,0,4,3,4,0,8,2,0,0,28,46,4,52,88,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3774,1,7,0,1,2,1,2,0,5,1,0,0,14,22,1,27,45,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3775,1,7,0,0,2,1,2,0,5,1,0,0,14,22,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776,1,7,0,0,2,1,2,0,5,1,0,0,14,22,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3777,1,7,0,0,2,1,2,0,5,1,0,0,14,22,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3778,1,7,0,0,2,1,2,0,5,1,0,0,14,22,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3780,1,7,0,0,2,1,2,0,4,1,0,0,14,24,2,26,44,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3854,2,13,1,0,4,3,4,0,8,2,0,0,28,46,5,50,83,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3855,0,5,0,0,1,0,1,0,4,1,0,0,12,15,2,21,37,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3856,2,14,0,0,4,2,4,0,8,2,0,0,30,47,5,54,89,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3857,2,14,0,0,4,2,4,0,8,2,0,0,30,46,5,53,91,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3858,1,7,0,0,2,1,2,0,5,1,0,0,14,22,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3983,1,8,0,0,2,1,2,0,4,1,0,0,14,22,2,27,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3984,1,8,0,0,2,1,2,0,5,1,0,0,14,23,2,27,44,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4201,1,7,0,0,2,1,2,0,4,0,0,0,14,23,2,26,45,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4202,1,7,0,0,2,1,2,0,4,1,0,0,14,23,2,26,44,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4203,1,7,0,0,2,1,2,0,4,1,0,0,14,23,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4304,1,7,0,0,2,1,2,0,5,1,0,0,14,23,1,25,42,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4376,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,44,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4377,1,8,0,0,2,1,2,0,4,2,0,0,14,22,2,27,44,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4378,1,7,0,0,2,1,2,0,5,1,0,0,14,23,2,27,44,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4380,2,12,1,1,3,5,3,0,6,2,0,0,29,34,4,49,82,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4408,1,7,0,0,2,1,2,0,4,1,0,0,14,19,2,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4466,1,7,0,0,2,1,2,0,5,1,0,0,14,22,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4534,1,8,0,0,2,1,2,0,4,1,0,0,14,23,2,24,42,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4618,1,7,0,0,2,1,2,0,4,1,0,0,14,24,2,27,46,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4669,1,7,0,0,2,1,2,0,4,1,0,0,14,23,1,24,40,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4920,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4945,1,7,0,0,2,1,2,0,4,1,0,0,14,24,2,26,42,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4946,1,7,0,0,2,1,2,0,4,1,0,0,14,23,2,27,45,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4947,1,7,0,0,2,1,2,0,4,1,0,0,14,23,2,27,44,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4949,1,7,0,0,2,1,2,0,4,1,0,0,14,23,2,25,42,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4950,1,7,0,0,2,1,2,0,4,1,0,0,14,24,2,26,44,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4956,1,6,0,0,2,1,2,0,4,1,0,0,14,21,2,27,44,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4957,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4958,1,7,0,0,2,1,2,0,5,1,0,0,14,23,2,27,44,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4963,1,7,0,0,2,1,2,0,4,1,0,0,14,21,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4964,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,41,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5225,1,7,0,1,2,1,2,0,4,1,0,0,14,23,2,27,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5226,1,7,0,1,2,1,2,0,4,0,0,0,14,24,2,28,45,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5227,1,7,0,1,2,1,2,0,4,1,0,0,14,24,2,28,44,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5228,1,7,0,1,2,1,2,0,4,1,0,0,14,25,2,28,44,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5229,1,7,0,1,2,1,2,0,4,1,0,0,14,24,2,27,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5235,1,8,0,1,2,1,2,0,4,1,0,0,14,24,2,27,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5236,1,7,0,0,2,1,2,0,4,1,0,0,14,22,1,25,42,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5757,1,8,0,0,2,1,2,0,4,1,0,0,15,18,2,25,44,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5758,1,7,0,0,2,1,2,0,4,1,0,0,14,18,2,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5759,1,7,0,0,2,1,2,0,4,1,0,0,14,18,2,25,42,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6091,1,7,0,0,2,1,2,0,5,1,0,0,14,22,2,26,42,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6092,1,7,0,0,2,1,2,0,5,1,0,0,14,22,2,26,44,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6093,1,7,0,0,2,1,2,0,4,1,0,0,14,21,2,23,41,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6593,1,7,0,0,2,1,2,0,4,1,0,0,14,21,2,27,44,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6660,1,4,0,0,2,1,2,0,4,1,0,0,13,21,2,24,42,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6741,1,7,0,0,2,1,2,0,5,1,0,0,14,22,2,26,44,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6742,1,7,0,0,2,1,2,0,4,1,0,0,14,23,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6743,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6803,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 7019,1,7,0,0,2,1,2,0,5,1,0,0,14,21,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 8043,1,8,0,0,2,1,2,0,4,1,0,0,14,22,2,24,43,0
Rhodotorula,Rhodotorula mucilaginosa,DH4148,1,7,0,0,2,1,2,0,5,1,0,0,14,22,2,27,51,0
Rhodotorula,Rhodotorula mucilaginosa,NRRL Y-2510,1,7,0,0,2,2,2,0,4,1,0,0,14,21,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 100D-1,1,6,0,0,2,1,2,0,4,1,0,0,14,22,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 102C-1,1,7,0,0,2,1,2,0,4,1,0,0,14,23,2,27,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 102C-2,1,7,0,0,2,1,2,0,5,1,0,0,12,23,1,20,37,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 102D-1,1,7,0,0,2,1,2,0,4,1,0,0,14,23,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 102D-2,1,7,0,0,2,1,2,0,5,1,0,0,14,22,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 105A-2,1,7,0,0,2,1,2,0,5,1,0,0,14,22,2,26,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 106A-1,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,42,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 107A-6,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,27,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 107C-3,1,7,0,0,2,1,2,0,4,1,0,0,14,23,1,25,42,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 110C-1,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 118C-2,1,6,0,0,2,1,2,0,4,1,0,0,14,22,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 122C-2,1,8,0,0,2,2,2,0,4,1,0,0,14,23,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 130D-4,1,7,0,0,2,1,2,0,4,1,0,0,14,22,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 134A-3,1,6,0,0,2,1,2,0,3,1,0,0,14,21,2,24,41,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 137C-3,1,7,0,0,2,1,2,0,4,1,0,0,14,21,2,26,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,27,45,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 138A-1,1,7,0,0,2,1,2,0,5,1,0,0,14,22,2,26,45,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 140A-3,1,7,0,0,2,1,2,0,4,1,0,0,14,22,1,25,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 141C-2,1,7,0,0,2,1,2,0,5,1,0,0,14,21,2,26,45,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-1,2,16,0,0,4,3,4,0,8,2,0,0,28,44,4,52,87,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-12,1,8,0,0,2,2,2,0,5,1,0,0,14,22,1,25,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-2,1,6,0,0,2,1,2,0,4,1,0,0,14,23,2,26,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-5,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 152C-5,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E334-10,1,7,0,0,2,1,2,0,4,1,0,0,14,22,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E334-4,1,7,0,0,2,1,2,0,4,1,0,0,14,24,2,25,45,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E337-3,2,14,0,0,4,2,4,0,8,2,0,0,29,45,4,50,89,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-1,2,13,1,0,4,3,4,0,8,2,0,0,28,41,4,49,81,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-2,2,14,0,0,4,3,4,0,9,2,0,0,27,42,4,50,81,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1,2,15,1,0,4,3,4,0,8,2,0,0,28,45,3,50,84,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-291Y-1,2,15,0,0,4,3,4,0,8,2,0,0,28,43,4,50,85,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-325D-2,1,7,0,0,2,1,2,0,5,1,0,0,14,22,2,26,45,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-325D-4,1,7,0,0,2,1,2,0,5,1,0,0,14,22,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-325P-1,1,7,0,0,2,1,2,0,5,1,0,0,12,23,1,21,37,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-329Y-4,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,28,45,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332C-1,1,7,0,0,2,1,2,0,5,1,0,0,14,23,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332C-2,1,7,0,0,2,1,2,0,4,1,0,0,14,22,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1,1,6,0,0,2,1,2,0,4,1,0,0,14,23,2,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-2,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,42,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332P-1,1,7,0,0,2,1,2,0,5,0,0,0,14,23,1,25,42,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332P-2,1,7,0,0,2,1,2,0,4,1,0,0,14,23,2,26,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-333D-2,1,7,0,0,2,1,2,0,4,1,0,0,14,23,2,26,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-333P-6,2,14,0,0,4,2,4,0,8,2,0,0,28,46,4,50,86,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334C-1,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,45,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334D-6,2,13,0,0,5,2,5,0,8,2,0,0,29,45,4,51,88,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334Y-2,1,7,0,0,2,1,2,0,5,0,0,0,14,23,1,25,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334Y-3,1,6,0,0,2,1,2,0,4,1,0,0,14,23,1,25,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334Y-5,2,14,0,0,4,2,4,0,9,2,0,0,26,46,4,52,89,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-337P-5,2,14,0,0,5,2,5,0,8,2,0,0,28,44,4,50,88,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-338D-3,1,7,0,0,2,1,2,0,5,1,0,0,14,22,1,24,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-390M-1,2,13,0,0,5,2,5,0,8,2,0,0,28,45,4,49,83,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 172A-1,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,45,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17Y-278-1,1,7,0,0,2,1,2,0,4,1,0,0,14,23,2,28,46,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 181A-1,1,7,0,0,2,1,2,0,4,1,0,0,14,23,2,26,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 1A-14,1,6,0,0,2,1,2,0,3,1,0,0,14,22,2,24,41,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-1,1,7,0,0,2,1,2,0,4,1,0,0,14,23,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-11,1,7,0,0,2,1,2,0,5,1,0,0,14,22,2,27,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-12,1,7,0,0,2,1,2,0,4,1,0,0,14,23,2,27,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-14,1,7,0,0,2,1,2,0,5,1,0,0,14,23,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-17,1,7,0,0,2,1,2,0,4,1,0,0,14,22,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-2,1,6,0,0,2,1,2,0,5,1,0,0,14,23,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-4,1,6,0,0,2,1,2,0,5,1,0,0,14,22,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-5,1,7,0,0,2,1,2,0,4,1,0,0,14,23,2,26,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 211A-3,1,6,0,0,2,1,2,0,4,1,0,0,14,23,1,25,42,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 212C-2,1,7,0,0,2,1,2,0,5,1,0,0,14,22,1,25,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 213-6-2,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,45,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 213-6-4,1,7,0,0,2,1,2,0,5,1,0,0,14,22,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 22C-4,2,13,0,0,4,2,4,0,9,2,0,0,24,43,4,45,77,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E332-1,1,7,0,0,2,1,2,0,5,1,0,0,14,22,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-1,2,14,0,0,4,2,4,0,8,1,0,0,26,44,4,50,86,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-5,1,7,0,0,2,1,2,0,4,1,0,0,14,21,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-7,1,7,0,0,2,1,2,0,4,1,0,0,14,22,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-9,1,7,0,0,2,1,2,0,4,1,0,0,14,22,2,26,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E334-1,2,14,0,0,4,3,4,0,9,2,0,0,29,45,4,49,86,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E390-1,2,14,0,0,4,2,4,0,9,2,0,0,26,40,4,45,78,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-325Y-1,1,7,0,0,2,1,2,0,5,1,0,0,14,23,1,25,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-327D-1,1,7,0,0,2,1,2,0,4,1,0,0,14,23,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-331D-1,2,13,0,0,4,2,4,0,9,2,0,0,24,45,4,44,78,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332C-1,1,7,0,0,2,1,2,0,5,1,0,0,14,22,1,25,42,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332D-1,1,7,0,0,2,1,2,0,5,1,0,0,14,22,1,25,42,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332M-1,1,7,0,0,2,1,2,0,5,1,0,0,14,23,1,25,42,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332P-2,1,7,0,0,2,1,2,0,4,1,0,0,14,23,2,26,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332Y-1,1,7,0,0,2,1,2,0,5,1,0,0,14,20,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333C-2,1,7,0,0,2,1,2,0,4,1,0,0,14,23,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2,1,7,0,0,2,1,2,0,4,1,0,0,14,22,1,25,44,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-10,1,8,1,0,2,2,2,0,4,1,0,0,14,20,2,24,41,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9,1,7,0,0,2,1,2,0,4,1,0,0,14,23,1,25,43,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3,1,6,0,0,2,1,2,0,4,1,0,0,12,22,1,24,42,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334Y-6,1,7,0,0,2,1,2,0,3,1,0,0,14,20,2,24,41,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-335Y-1,1,8,0,0,2,2,2,0,4,1,0,0,14,22,2,26,43,0
