accession,entry_name,protein_name,gene_name,gene_synonyms,organism,go_terms,ec_numbers,interpro,pfam
R4WH05,ACRS2_ALTAL,Highly reducing polyketide synthase ACRTS2,ACRTS2,,Alternaria alternata (Alternaria rot fungus) (Torula alternata),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF21089 (PKS_DH_N)
D9N1A1,ACTS3_ALTAL,Highly reducing polyketide synthase ACTTS3,ACTTS3,,Alternaria alternata (Alternaria rot fungus) (Torula alternata),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF21089 (PKS_DH_N); PF00550 (PP-binding); PF14765 (PS-DH)
A2QX22,ADAA_ASPNC,Non-reducing polyketide synthase adaA,adaA,,Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0019748 (P:secondary metabolic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT)
G3KLH6,ADAA_ASPNG,Non-reducing polyketide synthase adaA,adaA,,Aspergillus niger,GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT)
A0A1Y0BRF1,ADRD_PENRO,Non-reducing polyketide synthase adrD,adrD,,Penicillium roqueforti,GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0008236 (F:serine-type peptidase activity); GO:0017000 (P:antibiotic biosynthetic process); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:0006508 (P:proteolysis); GO:0044550 (P:secondary metabolite biosynthetic process); GO:0016114 (P:terpenoid biosynthetic process),2.3.1,IPR013094 (AB_hydrolase_3); IPR029058 (AB_hydrolase_fold); IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR041068 (HTH_51); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR001375 (Peptidase_S9_cat); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049552 (PKS_DH_N); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR032088 (SAT); IPR016039 (Thiolase-like),PF07859 (Abhydrolase_3); PF00698 (Acyl_transf_1); PF18558 (HTH_51); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08242 (Methyltransf_12); PF00326 (Peptidase_S9); PF21089 (PKS_DH_N); PF00550 (PP-binding); PF16073 (SAT)
B6HV32,ADRD_PENRW,Non-reducing polyketide synthase adrD,adrD,,Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255) (Penicillium chrysogenum),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0031177 (F:phosphopantetheine binding); GO:0008236 (F:serine-type peptidase activity); GO:0017000 (P:antibiotic biosynthetic process); GO:0006633 (P:fatty acid biosynthetic process); GO:1901336 (P:lactone biosynthetic process); GO:0032259 (P:methylation); GO:0030639 (P:polyketide biosynthetic process); GO:0006508 (P:proteolysis); GO:0016114 (P:terpenoid biosynthetic process),2.3.1,IPR013094 (AB_hydrolase_3); IPR029058 (AB_hydrolase_fold); IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR041068 (HTH_51); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR001375 (Peptidase_S9_cat); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049552 (PKS_DH_N); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR032088 (SAT); IPR016039 (Thiolase-like),PF07859 (Abhydrolase_3); PF00698 (Acyl_transf_1); PF18558 (HTH_51); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08242 (Methyltransf_12); PF00326 (Peptidase_S9); PF21089 (PKS_DH_N); PF00550 (PP-binding); PF16073 (SAT)
V5Y0F7,AF161_ALTAL,Reducing polyketide synthase AFT16-1,AFT16-1,,Alternaria alternata (Alternaria rot fungus) (Torula alternata),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR036291 (NAD(P)-bd_dom_sf); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF21089 (PKS_DH_N); PF00550 (PP-binding); PF14765 (PS-DH)
Q5BEJ6,AFOE_EMENI,Iterative polyketide synthase afoE,afoE,,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013120 (FAR_NAD-bd); IPR041068 (HTH_51); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR020806 (PKS_PP-bd); IPR050444 (Polyketide_Synthase); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR029063 (SAM-dependent_MTases_sf); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF18558 (HTH_51); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08242 (Methyltransf_12); PF07993 (NAD_binding_4); PF00550 (PP-binding); PF16073 (SAT)
Q5BEJ4,AFOG_EMENI,Asperfuranone polyketide synthase afoG,afoG,,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:1900554 (P:asperfuranone biosynthetic process); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:0019748 (P:secondary metabolic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR056501 (NAD-bd_HRPKS_sdrA); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF23114 (NAD-bd_HRPKS_sdrA); PF21089 (PKS_DH_N); PF00550 (PP-binding); PF14765 (PS-DH)
Q50LG3,AFT91_ALTAL,Highly reducing polyketide synthase AFT9-1,AFT9-1,,Alternaria alternata (Alternaria rot fungus) (Torula alternata),GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR023213 (CAT-like_dom_sf); IPR039551 (Cho/carn_acyl_trans); IPR042231 (Cho/carn_acyl_trans_2); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR056501 (NAD-bd_HRPKS_sdrA); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF00755 (Carn_acyltransf); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF23114 (NAD-bd_HRPKS_sdrA); PF21089 (PKS_DH_N); PF14765 (PS-DH)
B8N8R0,AFVB_ASPFN,Non-reducing polyketide synthase afvB,afvB,,Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0006633 (P:fatty acid biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR009081 (PP-bd_ACP); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT)
A0A7R7WPZ6,AKMLA_ASPKA,Highly reducing polyketide synthase akmlA,akmlA,,Aspergillus kawachii (White koji mold) (Aspergillus awamori var. kawachi),GO:0004312 (F:fatty acid synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:1901336 (P:lactone biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR036291 (NAD(P)-bd_dom_sf); IPR056501 (NAD-bd_HRPKS_sdrA); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF23114 (NAD-bd_HRPKS_sdrA); PF21089 (PKS_DH_N); PF00550 (PP-binding); PF14765 (PS-DH)
