GENUS,SPECIES,STRAIN,GGPPS,HMGR,crtI,crtR-CBR-type,crtS/crtR-hydroxylase,crtYB,laccase/multicopper-oxidase,tyrosinase
Rhodotorula,Rhodotorula kratochvilovae,DBVPG 7539,3,1,10,8,19,3,7,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10619,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10780,3,1,7,7,12,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10842,3,1,7,7,11,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10882,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10886,2,1,6,7,11,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10937,3,1,7,7,11,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3044,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3045,3,1,8,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3090,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3235,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3236,3,1,6,6,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3237,3,1,8,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3238,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3381,3,1,8,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3382,3,1,8,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383,3,1,8,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3384,3,1,8,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3442,3,1,8,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3443,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3444,7,2,15,15,23,7,23,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3774,3,1,8,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3775,3,1,7,7,11,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776,3,1,7,7,12,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3777,3,1,7,7,11,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3778,3,1,7,7,11,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3780,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3854,6,2,13,16,22,8,24,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3855,2,1,5,7,9,3,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3856,6,2,14,14,22,8,24,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3857,6,2,14,16,22,8,24,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3858,3,1,8,7,11,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3983,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3984,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4201,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4202,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4203,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4304,3,1,7,7,10,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4376,3,1,8,6,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4377,3,1,7,8,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4378,3,1,7,7,10,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4380,6,2,14,10,21,6,18,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4408,3,1,8,7,12,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4466,3,1,7,7,10,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4534,3,1,10,7,11,3,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4618,3,1,7,7,13,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4669,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4920,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4945,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4946,3,1,7,7,13,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4947,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4949,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4950,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4956,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4957,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4958,3,1,7,7,11,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4963,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4964,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5225,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5226,3,1,7,7,12,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5227,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5228,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5229,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5235,3,1,8,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5236,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5757,3,1,8,7,12,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5758,3,1,8,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5759,3,1,8,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6091,3,1,7,7,11,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6092,3,1,7,7,11,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6093,3,1,7,7,11,2,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6593,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6660,3,1,5,7,9,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6741,3,1,7,7,11,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6742,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6743,3,1,7,7,10,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 6803,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 7019,3,1,7,7,10,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,DBVPG 8043,3,1,10,7,10,3,12,0
Rhodotorula,Rhodotorula mucilaginosa,DH4148,3,1,8,7,15,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,NRRL Y-2510,3,1,9,7,11,3,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 100D-1,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 102C-1,3,1,7,7,13,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 102C-2,2,1,7,7,9,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 102D-1,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 102D-2,3,1,7,7,11,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 105A-2,3,1,7,7,11,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 106A-1,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 107A-6,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 107C-3,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 110C-1,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 118C-2,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 122C-2,3,1,7,7,10,4,11,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 130D-4,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 134A-3,3,1,7,8,8,4,9,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 137C-3,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 138A-1,3,1,7,7,11,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 140A-3,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 141C-2,3,1,7,7,10,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-1,6,2,17,14,20,7,25,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-12,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-2,4,1,7,7,12,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-5,3,1,7,8,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 152C-5,3,1,7,7,12,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E334-10,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E334-4,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E337-3,6,2,16,14,22,6,24,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-1,7,2,19,14,19,7,19,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-2,6,2,16,14,21,7,25,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1,7,2,18,14,21,7,24,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-291Y-1,6,2,17,14,21,7,24,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-325D-2,3,1,7,7,12,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-325D-4,3,1,7,7,11,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-325P-1,2,1,7,7,9,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-329Y-4,3,1,7,7,12,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332C-1,3,1,7,7,9,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332C-2,3,1,7,7,9,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1,3,1,7,8,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-2,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332P-1,3,1,8,7,9,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332P-2,3,1,7,7,9,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-333D-2,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-333P-6,6,2,17,14,23,7,23,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334C-1,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334D-6,6,2,18,14,22,7,24,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334Y-2,3,1,7,7,10,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334Y-3,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334Y-5,6,2,17,14,22,7,24,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-337P-5,6,2,17,14,21,7,24,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-338D-3,4,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-390M-1,7,2,18,14,19,7,21,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 172A-1,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 17Y-278-1,3,1,7,7,12,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 181A-1,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 1A-14,3,1,7,7,9,4,9,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-1,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-11,3,1,7,7,11,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-12,3,1,8,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-14,3,1,7,7,10,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-17,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-2,3,1,7,7,10,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-4,3,1,7,7,10,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-5,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 211A-3,3,1,7,6,11,4,11,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 212C-2,3,1,7,8,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 213-6-2,4,1,7,7,12,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 213-6-4,3,1,7,7,10,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 22C-4,5,2,16,14,19,7,25,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E332-1,3,1,7,7,11,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-1,6,2,17,14,22,7,24,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-5,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-7,4,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E333-9,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E334-1,6,2,17,14,22,7,24,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-0-2E390-1,7,2,16,14,19,4,25,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-325Y-1,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-327D-1,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-331D-1,5,2,16,14,18,7,25,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332C-1,3,1,7,7,9,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332D-1,3,1,7,7,9,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332M-1,3,1,7,7,9,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332P-2,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332Y-1,3,1,7,7,9,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333C-2,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-10,3,1,11,7,10,3,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3,2,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334Y-6,3,1,10,7,10,3,9,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-335Y-1,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-337M-3,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-337Y-1,2,1,6,7,9,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-395P-1,3,1,9,7,11,3,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 270H-2,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 273H-1,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 2M-1-4,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 33A-4,3,1,11,7,10,3,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 340-1,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 340-3,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 342-3,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 363-1-2,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 3M-1-1,8,1,10,6,19,4,17,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1,6,2,17,14,20,7,24,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-2,2,1,7,7,9,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-3,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-4,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 4M-1-5,3,1,7,7,10,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 54D-1,6,2,17,14,21,7,24,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 54D-2,2,1,7,7,12,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-12,3,1,7,7,9,4,11,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 86A-3,3,1,7,7,11,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 89D-3,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 98A-10,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 98A-5,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-3,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-5,3,1,7,7,10,4,14,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-7,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 98C-8,3,1,7,7,10,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 98D-11,3,1,7,7,11,4,12,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 98D-7,3,1,7,7,10,4,13,0
Rhodotorula,Rhodotorula mucilaginosa,TFCN 98D-9,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula pacifica,TFCN 1A-1-3,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula pacifica,TFCN 1B-1-2,3,1,7,7,10,4,12,0
Rhodotorula,Rhodotorula paludigena,DBVPG 4610,4,1,10,8,18,3,9,0
Rhodotorula,Rhodotorula paludigena,DBVPG 7316,4,1,7,8,18,3,9,0
Rhodotorula,Rhodotorula paludigena,DBVPG 7323,4,1,9,8,17,3,8,0
Rhodotorula,Rhodotorula paludigena,NRRL Y-12923,4,1,8,8,18,3,9,0
Rhodotorula,Rhodotorula paludigena,TFCN 1A-1-2,3,1,7,8,10,4,12,0
Rhodotorula,Rhodotorula paludigena,TFCN 25-333P-5,4,1,8,8,18,3,9,0
Rhodotorula,Rhodotorula paludigena,TFCN 342-2,4,1,9,7,18,3,9,0
Rhodotorula,Rhodotorula paludigena,TFCN 43A-4,4,1,8,8,18,3,9,0
Rhodotorula,Rhodotorula paludigena,TFCN 48A-10,4,1,8,8,18,3,9,0
Rhodotorula,Rhodotorula paludigena,TFCN 48A-15,4,1,8,8,18,3,9,0
Rhodotorula,Rhodotorula paludigena,TFCN 48A-2,4,1,8,8,18,3,9,0
Rhodotorula,Rhodotorula paludigena,TFCN 48A-3,4,1,8,8,19,3,9,0
Rhodotorula,Rhodotorula paludigena,TFCN 48C-3,4,1,8,8,18,3,9,0
Rhodotorula,Rhodotorula paludigena,TFCN 48D-10,4,1,8,8,18,3,9,0
Rhodotorula,Rhodotorula paludigena,TFCN 48D-4,4,1,8,8,18,3,9,0
Rhodotorula,Rhodotorula paludigena,TFCN 49A-1,4,1,8,8,18,3,9,0
Rhodotorula,Rhodotorula sp. clade I,DBVPG 8058,3,1,9,9,12,3,6,0
Rhodotorula,Rhodotorula sp. clade I,TFCN 17-328C-3,3,1,9,9,12,3,7,0
Rhodotorula,Rhodotorula sp. clade I,TFCN 17-328P-3,3,1,9,9,12,3,7,0
Rhodotorula,Rhodotorula sp. clade I,TFCN 222A-2,3,1,9,9,12,3,11,0
Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333D-1,3,1,10,9,12,3,7,0
Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333D-5,3,1,9,9,12,3,6,0
Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333Y-2,3,1,9,9,12,3,6,0
Rhodotorula,Rhodotorula sp. clade I,TFCN 86C-7,3,1,9,9,12,3,7,0
Rhodotorula,Rhodotorula sp. clade XIII,DBVPG 7947,3,1,9,8,14,3,6,0
Rhodotorula,Rhodotorula sp. clade XI,DBVPG 10348,3,1,8,8,8,3,6,0
Rhodotorula,Rhodotorula sp. clade XI,TFCN 186DK3-2,4,1,8,8,9,3,6,0
Rhodotorula,Rhodotorula sphaerocarpa,NRRL Y-7192,3,1,6,8,10,3,18,0
Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-6,3,1,7,8,11,3,11,0
Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86A-8,3,1,7,8,10,3,11,0
Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-10,3,1,7,8,10,3,12,0
Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-9,3,1,7,8,11,3,11,0
Rhodotorula,Rhodotorula taiwanensis,DBVPG 4530,3,1,8,8,11,3,12,0
Rhodotorula,Rhodotorula taiwanensis,DBVPG 4531,3,1,9,8,9,3,9,0
Rhodotorula,Rhodotorula taiwanensis,TFCN 0520-4-2-1,3,1,8,8,9,3,9,0
Rhodotorula,Rhodotorula taiwanensis,TFCN 0520-4-2-2,3,1,8,8,9,3,9,0
Rhodotorula,Rhodotorula taiwanensis,TFCN 357-1,3,1,8,8,9,3,9,0
Rhodotorula,Rhodotorula taiwanensis,TFCN S22D-1,3,1,8,8,9,3,9,0
Rhodotorula,Rhodotorula toruloides,DBVPG 6121,4,1,7,11,17,3,13,0
Rhodotorula,Rhodotorula toruloides,DBVPG 6739,4,1,10,11,17,3,14,0
Rhodotorula,Rhodotorula toruloides,TFCN 152A-4,4,1,9,10,17,3,18,0
Rhodotorula,Rhodotorula toruloides,TFCN 152A-6,4,1,9,10,18,3,18,0
Rhodotorula,Rhodotorula toruloides,TFCN 152C-3,4,1,9,11,17,3,18,0
Rhodotorula,Rhodotorula toruloides,TFCN 152C-6,3,1,8,8,9,3,9,0
Rhodotorula,Rhodotorula toruloides,TFCN 152D-4,4,1,9,10,17,3,18,0
Rhodotorula,Rhodotorula toruloides,TFCN 152D-6,4,1,10,11,16,3,18,0
