gene,pfam_acc,protein_id,species_prefix,GENUS,SPECIES,STRAIN,full_seq_e_value,full_seq_score
crtYB,PF00494.25,DBVPG3776_000141-T1,DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776,7.8e-47,158.9
crtYB,PF00494.25,DBVPG3776_001961-T1,DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776,1.3e-44,151.6
crtYB,PF00494.25,DBVPG3776_001961-T1,DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776,1.3e-44,151.6
crtYB,PF00494.25,DBVPG3776_004737-T1,DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776,5.1e-41,139.8
crtYB,PF00494.25,DBVPG6739_001150-T1,DBVPG6739,Rhodotorula,Rhodotorula toruloides,DBVPG 6739,1.2e-45,155.2
crtYB,PF00494.25,DBVPG6739_004401-T1,DBVPG6739,Rhodotorula,Rhodotorula toruloides,DBVPG 6739,1.8e-40,138.2
crtYB,PF00494.25,DBVPG6739_007031-T1,DBVPG6739,Rhodotorula,Rhodotorula toruloides,DBVPG 6739,6.7e-39,133.1
crtYB,PF00494.25,TFCN404D1_002738-T1,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1,1.7e-46,158.8
crtYB,PF00494.25,TFCN404D1_000885-T1,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1,6.4e-46,156.9
crtYB,PF00494.25,TFCN404D1_007516-T1,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1,2.6e-44,151.6
crtYB,PF00494.25,TFCN404D1_007516-T1,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1,2.6e-44,151.6
crtYB,PF00494.25,TFCN404D1_012563-T1,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1,2.5e-43,148.4
crtYB,PF00494.25,TFCN404D1_010360-T1,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1,4.7e-42,144.2
crtYB,PF00494.25,TFCN404D1_006224-T1,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1,1.1e-40,139.8
crtYB,PF00494.25,TFCN86C10_000440-T1,TFCN86C10,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-10,7.9e-47,158.6
crtYB,PF00494.25,TFCN86C10_003469-T1,TFCN86C10,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-10,3.8e-44,149.8
crtYB,PF00494.25,TFCN86C10_004262-T1,TFCN86C10,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-10,1.4e-42,144.7
crtYB,PF00494.25,TFCN25334D3_001344-T1,TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3,8e-47,158.8
crtYB,PF00494.25,TFCN25334D3_006942-T1,TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3,1.2e-44,151.6
crtYB,PF00494.25,TFCN25334D3_006942-T1,TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3,1.2e-44,151.6
crtYB,PF00494.25,TFCN25334D3_001557-T1,TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3,5.1e-41,139.8
crtYB,PF00494.25,TFCN25333Y9_000406-T1,TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9,8.1e-47,158.8
crtYB,PF00494.25,TFCN25333Y9_005284-T1,TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9,1.5e-44,151.4
crtYB,PF00494.25,TFCN25333Y9_005284-T1,TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9,1.5e-44,151.4
crtYB,PF00494.25,TFCN25333Y9_004414-T1,TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9,5.2e-41,139.8
crtYB,PF00494.25,TFCN17267M1_000628-T1,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1,1.5e-46,158.8
crtYB,PF00494.25,TFCN17267M1_003699-T1,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1,5.8e-46,156.9
crtYB,PF00494.25,TFCN17267M1_007800-T1,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1,2.3e-44,151.6
crtYB,PF00494.25,TFCN17267M1_007800-T1,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1,2.3e-44,151.6
crtYB,PF00494.25,TFCN17267M1_007812-T1,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1,6.3e-44,150.2
crtYB,PF00494.25,TFCN17267M1_006938-T1,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1,4.4e-42,144.2
crtYB,PF00494.25,TFCN17267M1_006799-T1,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1,9.5e-41,139.8
crtYB,PF00494.25,DBVPG3383_000463-T1,DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383,7.6e-47,158.9
crtYB,PF00494.25,DBVPG3383_007116-T1,DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383,1.3e-44,151.6
crtYB,PF00494.25,DBVPG3383_007116-T1,DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383,1.3e-44,151.6
crtYB,PF00494.25,DBVPG3383_004804-T1,DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383,5.2e-41,139.8
crtYB,PF00494.25,DBVPG4962_000545-T1,DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962,7.8e-47,158.9
crtYB,PF00494.25,DBVPG4962_000823-T1,DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962,1.3e-44,151.6
crtYB,PF00494.25,DBVPG4962_000823-T1,DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962,1.3e-44,151.6
crtYB,PF00494.25,DBVPG4962_006046-T1,DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962,5.1e-41,139.8
crtYB,PF00494.25,DBVPG6081_007696-T1,DBVPG6081,Rhodotorula,Rhodotorula glutinis,DBVPG 6081,2.6e-44,150.7
crtYB,PF00494.25,DBVPG6081_003962-T1,DBVPG6081,Rhodotorula,Rhodotorula glutinis,DBVPG 6081,1.1e-42,145.4
crtYB,PF00494.25,DBVPG6081_006956-T1,DBVPG6081,Rhodotorula,Rhodotorula glutinis,DBVPG 6081,1.3e-42,145.2
crtYB,PF00494.25,TFCN0520421_004107-T1,TFCN0520421,Rhodotorula,Rhodotorula taiwanensis,TFCN 0520-4-2-1,6.4e-47,159.2
crtYB,PF00494.25,TFCN0520421_003130-T1,TFCN0520421,Rhodotorula,Rhodotorula taiwanensis,TFCN 0520-4-2-1,3.3e-43,147.0
crtYB,PF00494.25,TFCN0520421_002410-T1,TFCN0520421,Rhodotorula,Rhodotorula taiwanensis,TFCN 0520-4-2-1,8.7e-42,142.3
crtYB,PF00494.25,TFCN25332D1_000486-T1,TFCN25332D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332D-1,8e-47,158.8
crtYB,PF00494.25,TFCN25332D1_005116-T1,TFCN25332D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332D-1,1.2e-44,151.6
crtYB,PF00494.25,TFCN25332D1_005116-T1,TFCN25332D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332D-1,1.2e-44,151.6
crtYB,PF00494.25,TFCN25332D1_004210-T1,TFCN25332D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332D-1,5.1e-41,139.8
crtYB,PF00494.25,TFCN1702E3902_001442-T1,TFCN1702E3902,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-2,1.5e-46,158.8
crtYB,PF00494.25,TFCN1702E3902_003500-T1,TFCN1702E3902,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-2,5.5e-46,156.9
crtYB,PF00494.25,TFCN1702E3902_012119-T1,TFCN1702E3902,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-2,2.2e-44,151.6
crtYB,PF00494.25,TFCN1702E3902_012119-T1,TFCN1702E3902,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-2,2.2e-44,151.6
crtYB,PF00494.25,TFCN1702E3902_005114-T1,TFCN1702E3902,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-2,2.1e-43,148.4
crtYB,PF00494.25,TFCN1702E3902_004047-T1,TFCN1702E3902,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-2,4.2e-42,144.2
crtYB,PF00494.25,TFCN1702E3902_003796-T1,TFCN1702E3902,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-2,7.1e-41,140.1
crtYB,PF00494.25,TFCN1702E33410_000041-T1,TFCN1702E33410,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E334-10,8.1e-47,158.8
crtYB,PF00494.25,TFCN1702E33410_005773-T1,TFCN1702E33410,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E334-10,1e-44,151.9
crtYB,PF00494.25,TFCN1702E33410_005773-T1,TFCN1702E33410,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E334-10,1e-44,151.9
crtYB,PF00494.25,TFCN1702E33410_001696-T1,TFCN1702E33410,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E334-10,5.2e-41,139.8
crtYB,PF00494.25,DBVPG6083_000030-T1,DBVPG6083,Rhodotorula,Rhodotorula graminis,DBVPG 6083,1.3e-44,151.4
crtYB,PF00494.25,DBVPG6083_006126-T1,DBVPG6083,Rhodotorula,Rhodotorula graminis,DBVPG 6083,1.5e-43,148.0
crtYB,PF00494.25,DBVPG6083_002687-T1,DBVPG6083,Rhodotorula,Rhodotorula graminis,DBVPG 6083,9e-43,145.4
crtYB,PF00494.25,OM441_002948-T1,OM441,Rhodotorula,Rhodotorula graminis,NRRL Y-2474,1.5e-44,151.4
crtYB,PF00494.25,OM441_005229-T1,OM441,Rhodotorula,Rhodotorula graminis,NRRL Y-2474,1.6e-43,148.0
crtYB,PF00494.25,OM441_005595-T1,OM441,Rhodotorula,Rhodotorula graminis,NRRL Y-2474,1e-42,145.4
crtYB,PF00494.25,TFCN25337M3_001282-T1,TFCN25337M3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-337M-3,8.2e-47,158.8
crtYB,PF00494.25,TFCN25337M3_006705-T1,TFCN25337M3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-337M-3,1.3e-44,151.6
crtYB,PF00494.25,TFCN25337M3_006705-T1,TFCN25337M3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-337M-3,1.3e-44,151.6
crtYB,PF00494.25,TFCN25337M3_002823-T1,TFCN25337M3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-337M-3,5.3e-41,139.8
crtYB,PF00494.25,TFCN152C3_002590-T1,TFCN152C3,Rhodotorula,Rhodotorula toruloides,TFCN 152C-3,1.1e-45,155.2
crtYB,PF00494.25,TFCN152C3_005450-T1,TFCN152C3,Rhodotorula,Rhodotorula toruloides,TFCN 152C-3,7.7e-42,142.6
crtYB,PF00494.25,TFCN152C3_004608-T1,TFCN152C3,Rhodotorula,Rhodotorula toruloides,TFCN 152C-3,2.7e-39,134.3
crtYB,PF00494.25,OM440_000980-T1,OM440,Rhodotorula,Rhodotorula sphaerocarpa,NRRL Y-7192,1.9e-46,157.4
crtYB,PF00494.25,OM440_000593-T1,OM440,Rhodotorula,Rhodotorula sphaerocarpa,NRRL Y-7192,6.2e-44,149.1
crtYB,PF00494.25,OM440_005385-T1,OM440,Rhodotorula,Rhodotorula sphaerocarpa,NRRL Y-7192,1.2e-42,144.9
crtYB,PF00494.25,DBVPG7922_005479-T1,DBVPG7922,Rhodotorula,Rhodotorula evergladensis,DBVPG 7922,1.9e-43,147.6
crtYB,PF00494.25,DBVPG7922_006428-T1,DBVPG7922,Rhodotorula,Rhodotorula evergladensis,DBVPG 7922,7.2e-42,142.4
crtYB,PF00494.25,DBVPG7922_000662-T1,DBVPG7922,Rhodotorula,Rhodotorula evergladensis,DBVPG 7922,3.3e-34,117.3
crtYB,PF00494.25,TFCN98A5_001375-T1,TFCN98A5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98A-5,8.1e-47,158.8
crtYB,PF00494.25,TFCN98A5_004372-T1,TFCN98A5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98A-5,1.3e-44,151.6
crtYB,PF00494.25,TFCN98A5_004372-T1,TFCN98A5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98A-5,1.3e-44,151.6
crtYB,PF00494.25,TFCN98A5_002461-T1,TFCN98A5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98A-5,5.2e-41,139.8
crtYB,PF00494.25,TFCN21362_002367-T1,TFCN21362,Rhodotorula,Rhodotorula mucilaginosa,TFCN 213-6-2,7.5e-47,158.8
crtYB,PF00494.25,TFCN21362_004458-T1,TFCN21362,Rhodotorula,Rhodotorula mucilaginosa,TFCN 213-6-2,1.2e-44,151.6
crtYB,PF00494.25,TFCN21362_004458-T1,TFCN21362,Rhodotorula,Rhodotorula mucilaginosa,TFCN 213-6-2,1.2e-44,151.6
crtYB,PF00494.25,TFCN21362_003628-T1,TFCN21362,Rhodotorula,Rhodotorula mucilaginosa,TFCN 213-6-2,4.8e-41,139.8
crtYB,PF00494.25,DBVPG4378_000978-T1,DBVPG4378,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4378,7.7e-47,158.9
crtYB,PF00494.25,DBVPG4378_005520-T1,DBVPG4378,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4378,1.3e-44,151.6
crtYB,PF00494.25,DBVPG4378_005520-T1,DBVPG4378,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4378,1.3e-44,151.6
crtYB,PF00494.25,DBVPG4378_003696-T1,DBVPG4378,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4378,5e-41,139.8
crtYB,PF00494.25,TFCN17332P1_000469-T1,TFCN17332P1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332P-1,8e-47,158.8
crtYB,PF00494.25,TFCN17332P1_004860-T1,TFCN17332P1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332P-1,1.2e-44,151.6
crtYB,PF00494.25,TFCN17332P1_004860-T1,TFCN17332P1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332P-1,1.2e-44,151.6
crtYB,PF00494.25,TFCN17332P1_004058-T1,TFCN17332P1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332P-1,5.1e-41,139.8
crtYB,PF00494.25,DH4148_004662-T1,DH4148,Rhodotorula,Rhodotorula mucilaginosa,DH4148,8.1e-47,158.8
crtYB,PF00494.25,DH4148_003156-T1,DH4148,Rhodotorula,Rhodotorula mucilaginosa,DH4148,1.3e-44,151.6
crtYB,PF00494.25,DH4148_003156-T1,DH4148,Rhodotorula,Rhodotorula mucilaginosa,DH4148,1.3e-44,151.6
crtYB,PF00494.25,DH4148_005091-T1,DH4148,Rhodotorula,Rhodotorula mucilaginosa,DH4148,4.3e-41,140.0
crtYB,PF00494.25,TFCN209614_001194-T1,TFCN209614,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-14,8.1e-47,158.8
crtYB,PF00494.25,TFCN209614_004673-T1,TFCN209614,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-14,1.3e-44,151.6
crtYB,PF00494.25,TFCN209614_004673-T1,TFCN209614,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-14,1.3e-44,151.6
crtYB,PF00494.25,TFCN209614_003513-T1,TFCN209614,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-14,5.2e-41,139.8
crtYB,PF00494.25,DBVPG5757_000228-T1,DBVPG5757,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5757,8.3e-47,158.8
crtYB,PF00494.25,DBVPG5757_003081-T1,DBVPG5757,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5757,1.3e-44,151.6
crtYB,PF00494.25,DBVPG5757_003081-T1,DBVPG5757,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5757,1.3e-44,151.6
crtYB,PF00494.25,DBVPG5757_003692-T1,DBVPG5757,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5757,5.3e-41,139.8
crtYB,PF00494.25,DBVPG3856_012672-T1,DBVPG3856,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3856,1.6e-46,158.8
crtYB,PF00494.25,DBVPG3856_004343-T1,DBVPG3856,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3856,1.7e-46,158.8
crtYB,PF00494.25,DBVPG3856_014064-T1,DBVPG3856,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3856,1.5e-44,152.4
crtYB,PF00494.25,DBVPG3856_014064-T1,DBVPG3856,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3856,1.5e-44,152.4
crtYB,PF00494.25,DBVPG3856_013900-T1,DBVPG3856,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3856,2.6e-44,151.6
crtYB,PF00494.25,DBVPG3856_013900-T1,DBVPG3856,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3856,2.6e-44,151.6
crtYB,PF00494.25,DBVPG3856_001252-T1,DBVPG3856,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3856,2e-43,148.7
crtYB,PF00494.25,DBVPG3856_006600-T1,DBVPG3856,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3856,1.1e-40,139.8
crtYB,PF00494.25,TFCN1A12_001114-T1,TFCN1A12,Rhodotorula,Rhodotorula paludigena,TFCN 1A-1-2,2.8e-46,156.9
crtYB,PF00494.25,TFCN1A12_006355-T1,TFCN1A12,Rhodotorula,Rhodotorula paludigena,TFCN 1A-1-2,1.1e-44,151.6
crtYB,PF00494.25,TFCN1A12_006355-T1,TFCN1A12,Rhodotorula,Rhodotorula paludigena,TFCN 1A-1-2,1.1e-44,151.6
crtYB,PF00494.25,TFCN1A12_002710-T1,TFCN1A12,Rhodotorula,Rhodotorula paludigena,TFCN 1A-1-2,4.7e-41,139.8
crtYB,PF00494.25,TFCN107A6_000399-T1,TFCN107A6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 107A-6,8.3e-47,158.8
crtYB,PF00494.25,TFCN107A6_007105-T1,TFCN107A6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 107A-6,1.3e-44,151.6
crtYB,PF00494.25,TFCN107A6_007105-T1,TFCN107A6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 107A-6,1.3e-44,151.6
crtYB,PF00494.25,TFCN107A6_001886-T1,TFCN107A6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 107A-6,5.3e-41,139.8
crtYB,PF00494.25,TFCN25333C2_000404-T1,TFCN25333C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333C-2,8.1e-47,158.8
crtYB,PF00494.25,TFCN25333C2_006056-T1,TFCN25333C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333C-2,1.3e-44,151.6
crtYB,PF00494.25,TFCN25333C2_006056-T1,TFCN25333C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333C-2,1.3e-44,151.6
crtYB,PF00494.25,TFCN25333C2_004737-T1,TFCN25333C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333C-2,5.2e-41,139.8
crtYB,PF00494.25,TFCN17334D6_003573-T1,TFCN17334D6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334D-6,5.5e-44,150.5
crtYB,PF00494.25,TFCN17334D6_003573-T1,TFCN17334D6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334D-6,5.5e-44,150.5
crtYB,PF00494.25,TFCN17334D6_008019-T1,TFCN17334D6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334D-6,6.3e-44,150.3
crtYB,PF00494.25,TFCN17334D6_005395-T1,TFCN17334D6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334D-6,1.9e-42,145.5
crtYB,PF00494.25,TFCN17334D6_003935-T1,TFCN17334D6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334D-6,1.1e-40,139.7
crtYB,PF00494.25,TFCN17334D6_002815-T1,TFCN17334D6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334D-6,2.4e-36,125.5
crtYB,PF00494.25,TFCN17334D6_003808-T1,TFCN17334D6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334D-6,6.3e-31,107.7
crtYB,PF00494.25,DBVPG4956_000220-T1,DBVPG4956,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4956,8.3e-47,158.8
crtYB,PF00494.25,DBVPG4956_003712-T1,DBVPG4956,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4956,1.3e-44,151.6
crtYB,PF00494.25,DBVPG4956_003712-T1,DBVPG4956,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4956,1.3e-44,151.6
crtYB,PF00494.25,DBVPG4956_002987-T1,DBVPG4956,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4956,5.3e-41,139.8
crtYB,PF00494.25,TFCN86C7_006823-T1,TFCN86C7,Rhodotorula,Rhodotorula sp. clade I,TFCN 86C-7,2.3e-44,150.8
crtYB,PF00494.25,TFCN86C7_006992-T1,TFCN86C7,Rhodotorula,Rhodotorula sp. clade I,TFCN 86C-7,9.3e-44,148.8
crtYB,PF00494.25,TFCN86C7_003645-T1,TFCN86C7,Rhodotorula,Rhodotorula sp. clade I,TFCN 86C-7,2.1e-42,144.4
crtYB,PF00494.25,TFCN25333D5_007001-T1,TFCN25333D5,Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333D-5,1.8e-44,151.1
crtYB,PF00494.25,TFCN25333D5_006233-T1,TFCN25333D5,Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333D-5,8.7e-44,148.9
crtYB,PF00494.25,TFCN25333D5_002572-T1,TFCN25333D5,Rhodotorula,Rhodotorula sp. clade I,TFCN 25-333D-5,2.1e-42,144.4
crtYB,PF00494.25,TFCN211A3_001806-T1,TFCN211A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 211A-3,2.8e-46,156.9
crtYB,PF00494.25,TFCN211A3_004408-T1,TFCN211A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 211A-3,1.1e-44,151.6
crtYB,PF00494.25,TFCN211A3_004408-T1,TFCN211A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 211A-3,1.1e-44,151.6
crtYB,PF00494.25,TFCN211A3_003207-T1,TFCN211A3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 211A-3,4.7e-41,139.8
crtYB,PF00494.25,DBVPG3771_002203-T1,DBVPG3771,Rhodotorula,Rhodotorula dairenensis,DBVPG 3771,9.7e-46,155.1
crtYB,PF00494.25,DBVPG3771_004192-T1,DBVPG3771,Rhodotorula,Rhodotorula dairenensis,DBVPG 3771,5.1e-42,142.9
crtYB,PF00494.25,DBVPG3771_002248-T1,DBVPG3771,Rhodotorula,Rhodotorula dairenensis,DBVPG 3771,2.2e-40,137.6
crtYB,PF00494.25,TFCN25331D1_004122-T1,TFCN25331D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-331D-1,1.5e-46,158.8
crtYB,PF00494.25,TFCN25331D1_000366-T1,TFCN25331D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-331D-1,1.6e-46,158.8
crtYB,PF00494.25,TFCN25331D1_012975-T1,TFCN25331D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-331D-1,2.4e-44,151.6
crtYB,PF00494.25,TFCN25331D1_012975-T1,TFCN25331D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-331D-1,2.4e-44,151.6
crtYB,PF00494.25,TFCN25331D1_005727-T1,TFCN25331D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-331D-1,2.3e-43,148.4
crtYB,PF00494.25,TFCN25331D1_004707-T1,TFCN25331D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-331D-1,4.5e-42,144.2
crtYB,PF00494.25,TFCN25331D1_004229-T1,TFCN25331D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-331D-1,9.7e-41,139.8
crtYB,PF00494.25,TFCN98A10_001663-T1,TFCN98A10,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98A-10,8.1e-47,158.8
crtYB,PF00494.25,TFCN98A10_004648-T1,TFCN98A10,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98A-10,1.3e-44,151.6
crtYB,PF00494.25,TFCN98A10_004648-T1,TFCN98A10,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98A-10,1.3e-44,151.6
crtYB,PF00494.25,TFCN98A10_003689-T1,TFCN98A10,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98A-10,5.2e-41,139.8
crtYB,PF00494.25,TFCN152A2_001654-T1,TFCN152A2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 152A-2,2.8e-46,156.9
