task	fraction	species_a	species_b	n_features_total	mw_sig	plate_sig	clade_sig
64	supernatant	Rhodotorula dairenensis (n=8)	Rhodotorula taiwanensis (n=6)	16332	0	0	DEGENERATE
65	supernatant	Rhodotorula dairenensis (n=8)	Rhodotorula toruloides (n=10)	16332	0	0	DEGENERATE
66	supernatant	Rhodotorula diobovata (n=9)	Rhodotorula graminis (n=3)	16332	0	0	DEGENERATE
67	supernatant	Rhodotorula diobovata (n=9)	Rhodotorula kratochvilovae (n=3)	16332	0	0	DEGENERATE
68	supernatant	Rhodotorula diobovata (n=9)	Rhodotorula mucilaginosa (n=209)	16332	1109	1706	DEGENERATE
69	supernatant	Rhodotorula diobovata (n=9)	Rhodotorula pacifica (n=3)	16332	0	0	DEGENERATE
70	supernatant	Rhodotorula diobovata (n=9)	Rhodotorula paludigena (n=10)	16332	0	0	DEGENERATE
71	supernatant	Rhodotorula diobovata (n=9)	Rhodotorula sp. clade I (n=5)	16332	0	0	DEGENERATE
72	supernatant	Rhodotorula diobovata (n=9)	Rhodotorula sphaerocarpa (n=6)	16332	0	0	DEGENERATE
73	supernatant	Rhodotorula diobovata (n=9)	Rhodotorula taiwanensis (n=6)	16332	0	0	DEGENERATE
74	supernatant	Rhodotorula diobovata (n=9)	Rhodotorula toruloides (n=10)	16332	0	0	DEGENERATE
75	supernatant	Rhodotorula graminis (n=3)	Rhodotorula kratochvilovae (n=3)	16332	0	0	DEGENERATE
76	supernatant	Rhodotorula graminis (n=3)	Rhodotorula mucilaginosa (n=209)	16332	14	0	DEGENERATE
77	supernatant	Rhodotorula graminis (n=3)	Rhodotorula pacifica (n=3)	16332	0	0	DEGENERATE
78	supernatant	Rhodotorula graminis (n=3)	Rhodotorula paludigena (n=10)	16332	0	0	DEGENERATE
79	supernatant	Rhodotorula graminis (n=3)	Rhodotorula sp. clade I (n=5)	16332	0	0	DEGENERATE
80	supernatant	Rhodotorula graminis (n=3)	Rhodotorula sphaerocarpa (n=6)	16332	0	0	DEGENERATE
81	supernatant	Rhodotorula graminis (n=3)	Rhodotorula taiwanensis (n=6)	16332	0	NA	DEGENERATE
82	supernatant	Rhodotorula graminis (n=3)	Rhodotorula toruloides (n=10)	16332	0	0	DEGENERATE
83	supernatant	Rhodotorula kratochvilovae (n=3)	Rhodotorula mucilaginosa (n=209)	16332	13	0	DEGENERATE
84	supernatant	Rhodotorula kratochvilovae (n=3)	Rhodotorula pacifica (n=3)	16332	0	0	DEGENERATE
85	supernatant	Rhodotorula kratochvilovae (n=3)	Rhodotorula paludigena (n=10)	16332	0	0	DEGENERATE
86	supernatant	Rhodotorula kratochvilovae (n=3)	Rhodotorula sp. clade I (n=5)	16332	0	0	DEGENERATE
87	supernatant	Rhodotorula kratochvilovae (n=3)	Rhodotorula sphaerocarpa (n=6)	16332	0	0	DEGENERATE
88	supernatant	Rhodotorula kratochvilovae (n=3)	Rhodotorula taiwanensis (n=6)	16332	0	NA	DEGENERATE
89	supernatant	Rhodotorula kratochvilovae (n=3)	Rhodotorula toruloides (n=10)	16332	0	0	DEGENERATE
90	supernatant	Rhodotorula mucilaginosa (n=209)	Rhodotorula pacifica (n=3)	16332	1	0	0
91	supernatant	Rhodotorula mucilaginosa (n=209)	Rhodotorula paludigena (n=10)	16332	224	782	DEGENERATE
92	supernatant	Rhodotorula mucilaginosa (n=209)	Rhodotorula sp. clade I (n=5)	16332	0	0	DEGENERATE
93	supernatant	Rhodotorula mucilaginosa (n=209)	Rhodotorula sphaerocarpa (n=6)	16332	220	780	DEGENERATE
94	supernatant	Rhodotorula mucilaginosa (n=209)	Rhodotorula taiwanensis (n=6)	16332	989	859	DEGENERATE
95	supernatant	Rhodotorula mucilaginosa (n=209)	Rhodotorula toruloides (n=10)	16332	79	0	DEGENERATE
96	supernatant	Rhodotorula pacifica (n=3)	Rhodotorula paludigena (n=10)	16332	0	0	DEGENERATE
97	supernatant	Rhodotorula pacifica (n=3)	Rhodotorula sp. clade I (n=5)	16332	0	0	DEGENERATE
98	supernatant	Rhodotorula pacifica (n=3)	Rhodotorula sphaerocarpa (n=6)	16332	0	0	DEGENERATE
99	supernatant	Rhodotorula pacifica (n=3)	Rhodotorula taiwanensis (n=6)	16332	0	NA	DEGENERATE
100	supernatant	Rhodotorula pacifica (n=3)	Rhodotorula toruloides (n=10)	16332	0	0	DEGENERATE
101	supernatant	Rhodotorula paludigena (n=10)	Rhodotorula sp. clade I (n=5)	16332	0	0	DEGENERATE
102	supernatant	Rhodotorula paludigena (n=10)	Rhodotorula sphaerocarpa (n=6)	16332	0	0	DEGENERATE
103	supernatant	Rhodotorula paludigena (n=10)	Rhodotorula taiwanensis (n=6)	16332	0	0	DEGENERATE
104	supernatant	Rhodotorula paludigena (n=10)	Rhodotorula toruloides (n=10)	16332	0	0	DEGENERATE
105	supernatant	Rhodotorula sp. clade I (n=5)	Rhodotorula sphaerocarpa (n=6)	16332	0	0	DEGENERATE
106	supernatant	Rhodotorula sp. clade I (n=5)	Rhodotorula taiwanensis (n=6)	16332	0	0	DEGENERATE
107	supernatant	Rhodotorula sp. clade I (n=5)	Rhodotorula toruloides (n=10)	16332	0	0	DEGENERATE
108	supernatant	Rhodotorula sphaerocarpa (n=6)	Rhodotorula taiwanensis (n=6)	16332	0	0	DEGENERATE
109	supernatant	Rhodotorula sphaerocarpa (n=6)	Rhodotorula toruloides (n=10)	16332	0	0	DEGENERATE
110	supernatant	Rhodotorula taiwanensis (n=6)	Rhodotorula toruloides (n=10)	16332	0	0	DEGENERATE
